R     CMi ,M         , 7.25 ,11.6  ,2441323.      ,  337.78        ,48 
S     CMi ,M         , 6.6  ,13.2  ,2443911.      ,  332.94        ,49 
T     CMi ,M         , 9.5  ,15.1  ,2442045.      ,  328.3         ,47 
U     CMi ,M         , 8.0  ,14.0  ,2443150.      ,  413.88        ,52 
V     CMi ,M         , 7.4  ,15.1  ,2442737.      ,  366.10        ,39 
X     CMi ,RRAB      ,12.5  ,13.6  ,2428257.272   ,    0.363527    ,19 
Y     CMi ,RRAB      ,14.1  ,15.2  ,2425242.65    ,    0.4865      ,19 
Z     CMi ,SR        ,14.0  ,15.2  ,2425210.      ,  140.          ,50 
RR    CMi ,SR        ,12.9  ,14.6  ,2425270.      ,  128.          ,   
RS    CMi ,EA/SD     ,13.8  ,15.4  ,2425242.565   ,    5.02775     ,04 
RT    CMi ,EA        ,14.2  ,14.9  ,2425275.56    ,    1.25883     ,13 
RV    CMi ,RRAB      ,12.7  ,14.2  ,2425235.55    ,    0.62551     ,21 
RX    CMi ,EA        ,14.1  ,15.0  ,2425235.61    ,    8.59865     ,09 
RY    CMi ,EA/SD     ,11.9  ,14.9  ,2425323.51    ,    3.265211    ,11 
RZ    CMi ,SR        ,13.6  ,15.2  ,2425328.      ,  190.          ,47 
SS    CMi ,SR        ,13.0  ,14.5  ,2425345.      ,  265.          ,   
SU    CMi ,SR        ,13.6  ,14.6  ,2425303.      ,  175.          ,   
SX    CMi ,EA        ,13.4  ,14.8  ,2425247.62    ,    3.4304      ,   
SY    CMi ,RRAB      ,14.8  ,16.3  ,2436599.250   ,    0.566       ,14 
SZ    CMi ,SR        ,12.4  ,13.4  ,2425310.      ,  125.          ,   
TT    CMi ,EA        ,14.0  ,14.8  ,2425235.67    ,    0.84555     ,22 
TU    CMi ,EW/KW     ,14.4  ,15.1  ,2425245.604   ,    0.43344     ,   
TV    CMi ,SRA       ,14.7  ,16.8  ,2425231.      ,  140.          ,47 
TW    CMi ,EA/KE     ,14.8  ,15.6  ,2425304.369   ,    1.07926     ,12 
TX    CMi ,EW/KW     ,14.0  ,15.0  ,2436598.611   ,    0.389       ,   
TY    CMi ,EA        ,13.0  ,13.9  ,2425302.52    ,    1.29909     ,19 
TZ    CMi ,EA/DS     ,14.0  ,15.0  ,2425217.53    ,   11.662       ,05 
UW    CMi ,M         ,13.7  ,16.4  ,2425370.      ,  340.          ,   
UX    CMi ,SRA       ,10.2  ,11.6  ,2426735.      ,  150.5         ,   
UY    CMi ,EA        ,13.8  ,15.4  ,2425532.63    ,   22.242       ,   
UZ    CMi ,EW/DW     ,11.6  ,12.1  ,2425243.69    ,    0.761950    ,   
VV    CMi ,M         ,11.6  ,19.   ,2425356.      ,  334.          ,   
VW    CMi ,SR        ,13.2  ,14.3  ,2425325.      ,  109.          ,37 
VX    CMi ,M         ,11.8  ,16.4  ,2425362.      ,  272.7         ,   
VY    CMi ,CEP:      ,14.6  ,15.8  ,2425299.5     ,    6.460       ,15 
VZ    CMi ,M         ,12.   ,15.5  ,2434824.      ,  284.6         ,   
WW    CMi ,M         ,13.0  ,15.5  ,2435184.      ,  176.40        ,   
WX    CMi ,M         ,11.0  ,15.8  ,2436120.      ,  420.1         ,25 
WY    CMi ,M         ,13.0  ,16.0  ,2427732.      ,  274.          ,   
WZ    CMi ,M         ,13.   ,15.5  ,2427364.      ,  316.          ,   
XZ    CMi ,EA        , 9.7  ,10.42 ,2442444.4017  ,    0.5788095   ,22 
YY    CMi ,EB        , 8.33 , 9.13 ,2428023.147   ,    1.0940197   ,   
YZ    CMi ,BY+UV     , 8.6  ,12.93 ,2441355.178   ,    2.780964    ,   
ZZ    CMi ,SR        ,10.2  ,11.9  ,2428960.      ,  500.          ,   
AA    CMi ,RRAB      ,11.01 ,12.00 ,2436576.435   ,    0.47632310  ,20 
AB    CMi ,EA/SD     ,13.4  ,15.9  ,2430349.52    ,    4.07142     ,11 
AC    CMi ,EA/DW     ,11.   ,11.5  ,2431521.38    ,    0.7887      ,   
AD    CMi ,DSCT      , 9.21 , 9.51 ,2442429.4582  ,    0.12297443  ,37 
AG    CMi ,EA/SD     ,10.9  ,11.9  ,2434698.677   ,    1.6645438   ,16 
AH    CMi ,RRC:      ,12.3  ,12.6  ,2430267.663   ,    0.345845    ,49 
AK    CMi ,EA/SD     ,10.1  ,11.5  ,2443101.672   ,    0.5658975   ,30 
AL    CMi ,RRAB      ,12.   ,13.   ,2436597.356   ,    0.55050     ,17 
AM    CMi ,EB/KE     ,10.0  ,10.7  ,2425244.653   ,    1.0191860   ,   
AN    CMi ,EA/SD     ,14.0  ,15.5  ,2434779.327   ,    1.8223649   ,21 
AO    CMi ,EA/SD     ,14.4  ,15.6  ,2434424.373   ,    0.85310722  ,22 
AV    CMi ,EA        ,11.8  ,12.1  ,2438378.59    ,    1.13888     ,10 
AY    CMi ,EA        ,14.1  ,16.0  ,2431555.37    ,   10.45623     ,10 
AZ    CMi ,DSCTC     , 6.44 , 6.51 ,2440886.0713  ,    0.09526     ,   
BB    CMi ,RRC       ,10.0  ,10.8  ,2425644.400   ,    0.396424    ,40 
BF    CMi ,EA/SD:    ,10.3  ,11.1  ,2444169.571   ,    1.1806866   ,18 
