R     Cap ,M         , 9.4  ,14.9  ,2439014.      ,  345.13        ,44 
T     Cap ,M         , 8.4  ,14.3  ,2439267.      ,  269.28        ,44 
U     Cap ,M         ,10.4  ,15.7  ,2438975.      ,  203.14        ,46 
V     Cap ,M         , 8.2  ,14.4  ,2440395.      ,  275.72        ,42 
W     Cap ,M         ,11.0  ,15.0  ,2438948.      ,  209.67        ,51 
X     Cap ,M         ,10.2  ,15.0  ,2438971.      ,  217.94        ,48 
Y     Cap ,M         ,10.0  ,15.0  ,2416735.      ,  411.76        ,35 
Z     Cap ,M         , 8.6  ,15.0  ,2442017.      ,  181.48        ,49 
RR    Cap ,M         , 7.8  ,15.5  ,2439096.      ,  277.54        ,40 
RU    Cap ,M         , 9.2  ,15.2  ,2438891.      ,  347.37        ,36 
RV    Cap ,RRAB      ,10.22 ,11.57 ,2433883.262   ,    0.44774401  ,   
RW    Cap ,EA/SD:    , 9.8  ,11.0  ,2442664.532   ,    3.392446    ,16 
RX    Cap ,RV        ,11.6  ,13.7  ,2420741.4     ,   67.92        ,22 
SS    Cap ,M         ,11.9  ,16.   ,2434981.      ,  252.6         ,   
ST    Cap ,M         ,12.6  ,15.5  ,2434961.      ,  268.5         ,   
SW    Cap ,M         ,12.6  ,14.5  ,2434290.      ,  344.6         ,   
SZ    Cap ,M         ,13.0  ,16.   ,2434520.      ,  253.0         ,   
TW    Cap ,CWA       , 9.95 ,11.28 ,2444073.10    ,   28.6101      ,20 
TX    Cap ,M         ,10.9  ,14.5  ,2434961.      ,  129.35        ,   
TY    Cap ,EA/SD     ,10.5  ,11.8  ,2444793.452   ,    1.4234498   ,19 
TZ    Cap ,EB:       ,11.8  ,13.6  ,2428777.164   ,    1.99743     ,   
UW    Cap ,EA/KE     ,10.9  ,11.5  ,2443016.360   ,    1.399111    ,14 
UX    Cap ,RRAB      ,13.5  ,14.5  ,2425413.60    ,    0.62553     ,   
UY    Cap ,SR        ,13.5  ,14.3  ,2425500.      ,  139.          ,   
UZ    Cap ,RRAB      ,14.0  ,15.3  ,2425498.40    ,    0.53282     ,   
VV    Cap ,RRAB      ,14.0  ,15.4  ,2425479.40    ,    0.50177     ,   
VW    Cap ,RR        ,12.6  ,13.5  ,2425409.60    ,    0.31426     ,   
VX    Cap ,CWB       ,14.2  ,15.5  ,2425418.656   ,    1.3275583   ,12 
VY    Cap ,RR        ,13.2  ,13.9  ,2425423.60    ,    0.60189     ,   
VZ    Cap ,RRAB      ,14.4  ,15.8  ,2426447.55    ,    0.64464     ,   
WW    Cap ,RRAB      ,14.3  ,15.9  ,2425447.55    ,    0.46572     ,   
WX    Cap ,RR        ,14.7  ,15.8  ,2425439.50    ,    0.85524     ,   
WY    Cap ,RRAB      ,13.7  ,14.9  ,2425413.60    ,    0.46564     ,   
WZ    Cap ,EW/KW     ,14.0  ,14.7  ,2425424.58    ,    0.313086    ,   
YZ    Cap ,RRC       ,11.02 ,11.60 ,2443729.741   ,    0.2734563   ,40 
AA    Cap ,SR        ,10.5  ,11.5  ,2430629.      ,   72.9         ,41 
AF    Cap ,EA        ,10.1  ,10.8  ,2438252.290   ,    6.03145     ,10 
AP    Cap ,ACV       , 7.60 , 7.65 ,2442619.827   ,    2.67        ,   
del   Cap ,EA        , 2.81 , 3.05 ,2435656.913   ,    1.0227688   ,08 
