R     Cru ,DCEP      , 6.40 , 7.23 ,2434514.629   ,    5.82575     ,28 
S     Cru ,DCEP      , 6.22 , 6.92 ,2434973.520   ,    4.68997     ,34 
T     Cru ,DCEP      , 6.32 , 6.83 ,2434541.340   ,    6.73331     ,34 
U     Cru ,M         ,10.3  ,14.   ,2440020.      ,  342.6         ,   
V     Cru ,M         ,10.4  ,13.90 ,2415539.      ,  376.5         ,   
W     Cru ,EB/GS     , 9.04 ,10.38 ,2440731.6     ,  198.53        ,   
X     Cru ,DCEP      , 8.10 , 8.70 ,2434939.562   ,    6.21997     ,31 
Y     Cru ,M         ,10.8  ,16.0  ,2414040.      ,  214.          ,   
Z     Cru ,SRA       ,10.8  ,13.5  ,2418050.      ,  341.          ,   
ST    Cru ,M         ,10.7  ,13.7  ,2421010.      ,  440.          ,   
SU    Cru ,DCEP      , 9.38 ,10.10 ,2435075.766   ,   12.8476      ,34 
SV    Cru ,DCEP      ,11.76 ,12.50 ,2434575.26    ,    7.00427     ,30 
SW    Cru ,RRAB      ,11.82 ,12.65 ,2426030.453   ,    0.3277799   ,18 
SX    Cru ,EA/SD:    ,12.5  ,13.6  ,2423988.21    ,    0.901374    ,21 
SY    Cru ,EA/SD     ,12.4  ,14.0  ,2424290.20    ,    4.2013      ,10 
SZ    Cru ,EA/DM:    ,10.9  ,11.6  ,2424288.28    ,    1.9740      ,17 
TT    Cru ,EA/SD:    ,10.1  ,11.0  ,2424264.52    ,    2.95201     ,17 
TU    Cru ,EB/AR     ,11.0  ,11.9  ,2423971.27    ,    3.1000      ,   
TV    Cru ,EA/SD     ,13.5  ,14.4  ,2424691.679   ,    1.615336    ,14 
TW    Cru ,EW/KW     ,12.4  ,12.9  ,2424776.1574  ,    0.3881358   ,   
TX    Cru ,EA/GS:    ,13.6  ,14.1  ,2425381.56    ,   61.50        ,20 
TY    Cru ,DCEP      ,13.77 ,14.29 ,2434916.28    ,    4.98851     ,34 
TZ    Cru ,EA        ,11.8  ,12.4  ,2424791.045   ,    1.045570    ,15 
UU    Cru ,EA/SD:    ,13.4  ,14.3  ,2424834.187   ,    3.55272     ,11 
UV    Cru ,EA/DS     ,13.0  ,14.0  ,2424478.843   ,   16.120       ,06 
UW    Cru ,EA/DM:    ,12.3  ,13.1  ,2425362.155   ,    6.354527    ,07 
UX    Cru ,EA/DM:    ,11.7  ,12.5  ,2426043.119   ,   12.29745     ,07 
UY    Cru ,EA/SD     ,12.7  ,13.5  ,2424917.373   ,    1.40443     ,15 
UZ    Cru ,EA/GS     ,11.1  ,11.6  ,2424943.58    ,   56.252       ,05 
VV    Cru ,DCEP      ,13.0  ,13.6  ,2426010.60    ,    6.12115     ,28 
VW    Cru ,DCEP      , 9.32 , 9.94 ,2440799.40    ,    5.26522     ,28 
VX    Cru ,DCEP      ,11.42 ,12.42 ,2441101.27    ,   12.2126      ,32 
VY    Cru ,EW/K      ,13.1  ,13.6  ,2424776.017   ,    0.695599    ,   
VZ    Cru ,EA/SD     ,12.9  ,14.0  ,2424775.902   ,    0.562905    ,23 
WW    Cru ,EA/KE     ,12.7  ,13.3  ,2424955.312   ,    1.147618    ,11 
WX    Cru ,EA/DS     ,13.3  ,14.6  ,2425025.86    ,   60.288       ,06 
WY    Cru ,EA        ,13.0  ,13.6  ,2425092.37    ,    4.506645    ,13 
WZ    Cru ,RRAB      ,13.4  ,14.0  ,2424251.902   ,    0.451254    ,17 
XX    Cru ,EA/DM:    ,13.3  ,13.7  ,2425216.658   ,    1.64283     ,23 
XY    Cru ,EA/SD     ,11.6  ,12.4  ,2424537.884   ,    1.024005    ,14 
XZ    Cru ,EA        ,12.6  ,13.1  ,2425241.395   ,    0.8247965   ,21 
YY    Cru ,EW/K      ,12.8  ,13.0  ,2425275.192   ,    0.5172918   ,   
YZ    Cru ,EB/K      ,13.0  ,13.5  ,2425074.364   ,    0.836736    ,   
ZZ    Cru ,EB/DM     , 9.65 ,10.1  ,2429262.748   ,    1.862194    ,   
AA    Cru ,EA/DM     ,10.8  ,11.4  ,2425331.485   ,    1.89382     ,10 
AB    Cru ,EA/DM     , 8.56 , 9.2  ,2429235.019   ,    3.4132987   ,19 
AC    Cru ,EB/K      ,11.3  ,12.1  ,2424918.533   ,    0.9041954   ,   
AD    Cru ,DCEP      ,10.64 ,11.45 ,2443344.123   ,    6.39789     ,30 
AE    Cru ,EA/D      , 9.0  , 9.7  ,2430399.114   ,    3.4781475   ,12 
AF    Cru ,DCEP      ,10.57 ,11.10 ,2441786.576   ,    9.297       ,21 
AG    Cru ,DCEP      , 7.73 , 8.58 ,2434908.770   ,    3.83728     ,27 
AH    Cru ,SR        ,13.4  ,14.4  ,2425363.      ,   83.          ,   
AI    Cru ,EA/KE     , 9.55 ,10.30 ,2433466.3358  ,    1.4177073   ,20 
AK    Cru ,M         ,13.6  ,15.5  ,2427599.      ,  275.          ,   
AL    Cru ,M         ,11.0  ,13.   ,2430504.      ,  328.          ,   
AM    Cru ,EA/DM     ,10.7  ,11.2  ,2428008.320   ,    2.086905    ,09 
AN    Cru ,EA/SD     ,10.6  ,12.3  ,2434421.565   ,    3.25737     ,12 
AQ    Cru ,EB/KE     ,13.2  ,13.9  ,2425836.194   ,    1.1550028   ,   
AR    Cru ,EA/SD     ,12.6  ,14.3  ,2425225.125   ,    5.84559     ,12 
AS    Cru ,EA/DM:    ,13.7  ,14.3  ,2424807.15    ,   18.361       ,12 
AT    Cru ,EA/DS     ,12.4  ,13.5  ,2424550.60    ,   33.925       ,10 
AU    Cru ,SRA       ,12.4  ,13.7  ,2426480.      ,   35.2         ,   
AV    Cru ,EA/SD:    ,14.1  ,15.2  ,2425029.671   ,    4.25642     ,14 
AW    Cru ,EA/DM:    ,13.4  ,13.9  ,2424962.248   ,    2.452896    ,15 
AX    Cru ,SRA       ,11.9  ,13.4  ,2426092.      ,   56.6         ,   
AY    Cru ,EA/SD     ,11.1  ,12.2  ,2424802.076   ,    1.598383    ,18 
AZ    Cru ,SRA       ,11.8  ,13.1  ,2426122.      ,   37.2         ,   
BB    Cru ,EA/DM:    ,13.9  ,14.5  ,2424522.15    ,    6.01884     ,04 
BC    Cru ,EA/KE     ,13.6  ,14.0  ,2425037.172   ,    1.56116     ,09 
BD    Cru ,EA/SD     ,12.1  ,13.3  ,2425623.317   ,    1.984223    ,18 
BE    Cru ,EA/AR:    ,12.5  ,13.2  ,2425165.531   ,    2.220947    ,09 
BF    Cru ,EW/KW     ,12.0  ,12.5  ,2425702.3681  ,    0.49880632  ,   
BG    Cru ,DCEPS     , 5.34 , 5.58 ,2440393.66    ,    3.3428      ,47 
BH    Cru ,M         , 7.2  ,10.0  ,2440858.      ,  421.          ,   
BR    Cru ,ACV       , 8.70 , 8.82 ,2443014.000   ,    2.8730      ,50 
BX    Cru ,DCEP      ,12.20 ,12.66 ,2441773.692   ,   19.537       ,   
lam   Cru ,BCEP:     , 4.62 , 4.64,2441779.081   ,    0.3951      ,   
