R     Gem ,M         , 6.0  ,14.0  ,2443325.      ,  369.91        ,36 
S     Gem ,M         , 8.0  ,14.7  ,2443578.      ,  293.23        ,42 
T     Gem ,M         , 8.0  ,15.0  ,2444710.      ,  287.79        ,50 
V     Gem ,M         , 7.8  ,14.9  ,2442694.      ,  274.8         ,45 
W     Gem ,DCEP      , 6.54 , 7.38 ,2442755.191   ,    7.913779    ,30 
X     Gem ,M         , 7.5  ,13.8  ,2443553.      ,  264.16        ,49 
RR    Gem ,RRAB      ,10.62 ,11.99 ,2441357.205   ,    0.3973106   ,13 
RT    Gem ,M         ,11.   ,16.   ,2435130.      ,  350.4         ,   
RU    Gem ,EA/DS     ,12.1  ,13.2  ,2434077.15    ,    8.67080     ,13 
RV    Gem ,M         ,11.2  ,16.   ,2434342.      ,  287.6         ,   
RW    Gem ,EA/SD:    , 9.53 ,11.76 ,2418302.655   ,    2.8654972   ,15 
RX    Gem ,EA/DS     , 9.20 ,10.81 ,2440555.782   ,   12.2086588   ,09 
RY    Gem ,EA/DS     , 8.69 ,11.04 ,2439732.6328  ,    9.300567    ,10 
RZ    Gem ,DCEP      , 9.49 ,10.46 ,2442714.970   ,    5.529286    ,22 
SS    Gem ,RVA       , 9.3  ,10.7  ,2434365.      ,   89.31        ,19 
ST    Gem ,M         ,11.0  ,15.5  ,2443854.      ,  246.23        ,47 
SU    Gem ,RVB       , 9.8  ,14.1  ,2440683.3     ,   50.00        ,   
SV    Gem ,EA/SD:    ,10.55 ,12.0  ,2418662.488   ,    4.0061216   ,15 
SW    Gem ,SRA       , 8.6  ,10.5  ,2432360.      ,  680.          ,   
SX    Gem ,EA/SD:    ,11.0  ,11.9  ,2419031.270   ,    1.366877    ,13 
SZ    Gem ,RRAB      ,10.98 ,12.25 ,2427194.027   ,    0.5011365   ,12 
TX    Gem ,EA/SD:    ,10.0  ,11.3  ,2419848.412   ,    2.800014    ,11 
TY    Gem ,M         ,13.0  ,16.3  ,2434820.      ,  408.2         ,   
TZ    Gem ,EA/SD     ,13.4  ,15.6  ,2428495.75    ,    1.6777103   ,14 
UU    Gem ,M         ,13.3  ,17.   ,2434800.      ,  433.          ,   
UX    Gem ,M         ,12.7  ,16.   ,2430215.      ,  466.          ,   
UY    Gem ,M         ,12.2  ,15.3  ,2433300.      ,  325.0         ,40 
UZ    Gem ,M         ,11.8  ,16.2  ,2435370.      ,  349.0         ,   
VV    Gem ,M         ,12.0  ,16.2  ,2435520.      ,  252.9         ,35 
VX    Gem ,M         ,10.8  ,15.1  ,2441280.      ,  379.4         ,   
WW    Gem ,EB/KE     , 9.9  ,10.5  ,2425984.257   ,    1.237811    ,   
WZ    Gem ,M         , 9.0  ,15.0  ,2438048.      ,  330.8         ,50 
XX    Gem ,M         ,11.9  ,15.5  ,2437779.      ,  384.05        ,   
XY    Gem ,M         ,11.2  ,15.3  ,2437731.      ,  340.97        ,29 
YY    Gem ,EA/DM+UV  , 8.91 , 9.60 ,2424595.8172  ,    0.81428254  ,07 
ZZ    Gem ,M         ,12.4  ,16.0  ,2433999.      ,  317.0         ,49 
AA    Gem ,DCEP      , 9.36 ,10.11 ,2437397.250   ,   11.30235     ,47 
AC    Gem ,EB/DM:    ,11.0  ,11.8  ,2438440.354   ,    1.66182414  ,   
AD    Gem ,DCEP      , 9.45 ,10.23 ,2441694.911   ,    3.787980    ,28 
AE    Gem ,EA/DS     ,10.5  ,12.3  ,2435893.28    ,   11.4568      ,05 
AF    Gem ,EA/SD     ,10.54 ,11.83 ,2427162.3095  ,    1.24350348  ,20 
AH    Gem ,EW/KW     ,14.4  ,14.9  ,2425283.446   ,    0.3368      ,   
