U     Pup ,M         , 8.5  ,15.0  ,2438882.      ,  318.44        ,41 
V     Pup ,EB/SD     , 4.35 , 4.92 ,2445367.60633 ,    1.4544859   ,   
W     Pup ,M         , 7.15 ,13.6  ,2444956.      ,  119.7         ,47 
X     Pup ,DCEP      , 7.82 , 9.24 ,2441108.8     ,   25.9610      ,15 
Z     Pup ,M         , 7.2  ,15.3  ,2443075.      ,  508.6         ,38 
RR    Pup ,EA/SD:    ,10.34 ,11.37 ,2429115.580   ,    6.42963328  ,13 
RS    Pup ,DCEP      , 6.52 , 7.67 ,2435734.426   ,   41.3876      ,24 
RV    Pup ,M         , 9.3  ,13.0  ,2430093.      ,  187.96        ,50 
RW    Pup ,M         , 8.8  ,14.5  ,2442360.      ,  340.88        ,47 
SS    Pup ,M         ,12.6  ,15.7  ,2426031.      ,  391.          ,   
ST    Pup ,CWA       , 9.28 ,10.68 ,2444023.96    ,   19.          ,   
SU    Pup ,M         , 9.3  ,14.0  ,2431385.      ,  339.8         ,   
SV    Pup ,M         , 9.0  ,13.1  ,2436284.      ,  166.52        ,   
SW    Pup ,EA/SD:    , 9.0  ,10.1  ,2419282.068   ,    2.7473405   ,13 
SX    Pup ,RRAB      ,13.0  ,14.1  ,2429631.438   ,    0.4918204   ,15 
SY    Pup ,M         ,13.0  ,17.5  ,2424180.      ,  270.          ,   
TT    Pup ,EA        ,13.5  ,14.8  ,2429640.28    ,    2.595785    ,15 
TU    Pup ,M         , 9.3  ,14.2  ,2440763.      ,  238.95        ,49 
TY    Pup ,EW/KE     , 8.40 , 8.89 ,2434412.106   ,    0.819235    ,   
TZ    Pup ,M         ,12.0  ,15.8  ,2425351.      ,  317.          ,53 
UU    Pup ,M         ,11.8  ,15.5  ,2425287.      ,  282.          ,53 
UV    Pup ,SRA       ,11.4  ,13.9  ,2426656.      ,  193.          ,47 
UW    Pup ,M         ,13.0  ,16.0  ,2425567.      ,  422.          ,   
UX    Pup ,SR        ,12.6  ,13.7  ,2426630.      ,   69.7         ,   
UZ    Pup ,EB/KE     , 9.35 ,10.34 ,2444613.69829 ,    0.79485120  ,   
VV    Pup ,XPM+ELL   ,13.9  ,18.0  ,2427889.6474  ,    0.0697468256,   
VW    Pup ,DCEP      ,11.00 ,11.75 ,2443521.291   ,    4.28537     ,22 
VX    Pup ,CEP(B)    , 7.73 , 8.59 ,2436237.953   ,    3.01087     ,50 
VY    Pup ,EB/DW     ,10.8  ,11.4  ,2426990.434   ,    0.816759    ,   
VZ    Pup ,DCEP      , 8.92 ,10.35 ,2441121.19    ,   23.1710      ,17 
WW    Pup ,DCEP      ,10.03 ,11.03 ,2441047.29    ,    5.516724    ,31 
WX    Pup ,DCEP      , 8.76 , 9.44 ,2435042.184   ,    8.937050    ,31 
WY    Pup ,DCEP      ,10.18 ,10.96 ,2440925.40    ,    5.25080     ,25 
WZ    Pup ,DCEP      , 9.85 ,10.76 ,2434889.465   ,    5.027286    ,27 
XX    Pup ,RRAB      ,10.49 ,11.77 ,2441773.255   ,    0.517181    ,13 
XY    Pup ,EA/DS     , 9.3  ,11.4  ,2426417.805   ,   13.77830     ,10 
XZ    Pup ,EA/SD     , 7.75 ,10.26 ,2442412.19458 ,    2.1923631   ,21 
YY    Pup ,EA/DS     , 9.7  ,11.1  ,2424832.540   ,   27.95491     ,07 
ZZ    Pup ,EA/SD     , 9.43 ,11.05 ,2426783.107   ,    6.33811     ,10 
AA    Pup ,EA/D:     ,10.4  ,11.6  ,2425652.59    ,    7.0671      ,10 
AB    Pup ,M         ,11.   ,13.   ,2433356.      ,  272.6         ,   
AD    Pup ,DCEP      , 9.27 ,10.36 ,2441126.18    ,   13.5940      ,25 
AE    Pup ,EA        ,13.2  ,14.3  ,2426359.76    ,    5.96544     ,10 
AF    Pup ,EW/KW     ,13.3  ,13.5  ,2426161.875   ,    0.3836778   ,   
AG    Pup ,EB        ,10.7  ,11.8  ,2426097.315   ,    4.779264    ,   
AH    Pup ,EA        ,10.3  ,11.3  ,2425913.930   ,    2.0247      ,17 
AI    Pup ,EA        ,13.5  ,14.0  ,2425950.406   ,    0.773126    ,21 
AK    Pup ,RRAB      ,12.4  ,14.0  ,2425998.376   ,    0.512053    ,14 
AL    Pup ,RRAB      ,13.3  ,14.7  ,2425997.418   ,    0.57630     ,10 
AM    Pup ,RRAB      ,13.4  ,14.6  ,2427802.478   ,    0.558866    ,15 
AN    Pup ,EA        ,10.49 ,11.27 ,2441753.375   ,    2.668238    ,16 
AO    Pup ,M         ,10.2  ,15.2  ,2425907.      ,  390.5         ,   
AP    Pup ,DCEP      , 7.02 , 7.78 ,2440689.21    ,    5.0843102   ,51 
AQ    Pup ,DCEP      , 8.08 , 9.39 ,2444676.57    ,   30.104       ,17 
AS    Pup ,M         , 9.0  ,12.8  ,2435470.      ,  324.65        ,50 
AT    Pup ,DCEP      , 7.53 , 8.41 ,2440741.22    ,    6.6650      ,29 
AU    Pup ,EB/KE     , 8.50 , 9.46 ,2439112.9551  ,    1.12640327  ,   
AV    Pup ,EW/DW     ,10.5  ,11.1  ,2431178.131   ,    0.5563389   ,   
AW    Pup ,EA/SD     ,10.2  ,10.9  ,2427601.919   ,    0.68108     ,35 
AY    Pup ,EW/KW     ,11.6  ,12.5  ,2440650.345   ,    0.46896148  ,   
AZ    Pup ,EB        , 9.7  ,10.2  ,2428110.870   ,    0.86737053  ,   
BB    Pup ,RRAB      ,11.57 ,12.68 ,2438810.776   ,    0.4805440   ,15 
