S     Scl ,M         , 5.5  ,13.6  ,2442345.      ,  362.57        ,48 
T     Scl ,M         , 8.47 ,13.5  ,2441985.      ,  202.42        ,49 
U     Scl ,M         , 8.3  ,15.21 ,2441430.      ,  333.73        ,39 
V     Scl ,M         , 8.7  ,15.0  ,2440378.      ,  296.1         ,48 
X     Scl ,M         ,10.1  ,14.7  ,2441425.      ,  261.63        ,50 
RT    Scl ,EB/SD:    ,10.18 ,10.89 ,2443450.6332  ,    0.51156012  ,   
RU    Scl ,RRAB      , 9.35 ,10.75 ,2431122.839   ,    0.49333878  ,12 
RW    Scl ,RRAB      ,12.1  ,14.2  ,2424731.866   ,    0.451707676 ,18 
RX    Scl ,RR        ,14.0  ,15.1  ,2424744.805   ,    0.54453     ,   
RZ    Scl ,RR        ,14.8  ,16.2  ,2424765.850   ,    0.46062     ,   
SS    Scl ,RR        ,13.9  ,14.5  ,2424744.775   ,    0.4187      ,   
ST    Scl ,RR        ,12.9  ,14.5  ,2424744.800   ,    0.51455     ,   
SV    Scl ,RRC       ,11.12 ,11.66 ,2441918.555   ,    0.37760     ,35 
SW    Scl ,SRC       , 7.3  , 9.3  ,2440037.      ,  146.          ,   
SX    Scl ,RR        ,14.7  ,15.8  ,2425482.50    ,    0.52943     ,   
SY    Scl ,M         ,12.15 ,16.3  ,2440451.      ,  411.          ,   
SZ    Scl ,EW/KW     ,12.98 ,13.68 ,2444406.8677  ,    0.32082757  ,   
TT    Scl ,SR        ,11.30 ,14.02 ,2425470.      ,  133.3         ,   
TU    Scl ,E/KE:     ,13.89 ,14.5  ,2425446.60    ,    1.1567      ,   
TV    Scl ,RR        ,14.3  ,15.4  ,2425449.60    ,    0.59724     ,   
TW    Scl ,RR        ,13.5  ,14.4  ,2425441.60    ,    0.38110     ,   
TX    Scl ,RR        ,12.5  ,13.7  ,2425446.60    ,    0.72777     ,   
TY    Scl ,RR        ,14.3  ,15.8  ,2425530.35    ,    0.65020     ,   
TZ    Scl ,RR        ,14.6  ,15.6  ,2425479.45    ,    0.58293     ,   
UU    Scl ,E         ,14.86 ,16.4  ,2425538.20    ,    3.447       ,   
UV    Scl ,RRAB      ,12.92 ,13.90 ,2425854.323   ,    0.520549    ,25 
UW    Scl ,RRAB      ,13.7  ,14.4  ,2425852.336   ,    0.575096    ,15 
UZ    Scl ,RRAB      ,11.62 ,12.83 ,2439112.335   ,    0.449119    ,11 
VV    Scl ,EB:/DM:   , 8.35 , 8.50 ,2436498.450   ,    2.47962     ,   
VW    Scl ,RRAB      ,10.4  ,11.4  ,2427809.381   ,    0.5109147   ,13 
VX    Scl ,RRAB      ,11.55 ,12.32 ,2441614.354   ,    0.637334    ,14 
VZ    Scl ,EA+NL     ,15.6  ,18.4  ,2441209.8175  ,    0.14462220  ,20 
WW    Scl ,RRAB      ,13.15 ,13.89 ,2441225.840   ,    0.78660     ,20 
WX    Scl ,RRC       ,13.06 ,13.70 ,2441222.750   ,    0.35478     ,40 
WY    Scl ,RRAB      ,12.32 ,13.59 ,2441217.739   ,    0.46369     ,12 
AE    Scl ,RRAB      ,11.78 ,12.92 ,2441217.730   ,    0.55009     ,12 
AL    Scl ,EA/DM     , 6.06 , 6.33 ,2443698.5118  ,    2.445088    ,09 
