R     Ari ,M         , 7.4  ,13.7  ,2444505.      ,  186.78        ,45 
S     Ari ,M         , 9.8  ,15.8  ,2443443.      ,  292.15        ,45 
T     Ari ,SRA       , 7.5  ,11.3  ,2443830.      ,  316.6         ,49 
U     Ari ,M         , 7.2  ,15.2  ,2442835.      ,  371.13        ,40 
X     Ari ,RRAB      , 8.97 , 9.95 ,2437583.570   ,    0.6511426   ,13 
Z     Ari ,M         ,11.   ,14.   ,2442642.      ,  339.09        ,   
RR    Ari ,EA:       , 6.42 , 6.84 ,2436493.2     ,   47.9         ,08 
RS    Ari ,EA/DS     ,10.7  ,12.1  ,2424020.353   ,    8.803205    ,10 
RT    Ari ,M         ,11.0  ,16.5  ,2437168.      ,  262.81        ,   
RU    Ari ,M         ,11.4  ,15.2  ,2424064.      ,  353.5         ,40 
RV    Ari ,DSCT      ,11.85 ,12.26 ,2435017.5124  ,    0.093128264 ,38 
RW    Ari ,RRC       ,12.12 ,12.60 ,2443408.404   ,    0.354341    ,42 
RX    Ari ,EA/DM:    , 9.40 , 9.93,2438398.5697  ,    1.029626    ,18 
SS    Ari ,EW/KW     ,10.37 ,10.92 ,2439028.395   ,    0.4059936   ,   
ST    Ari ,SRB       , 9.0  ,10.6  ,2428434.      ,   99.0         ,   
SX    Ari ,SXARI     , 5.67 , 5.81 ,2437667.728   ,    0.7278925   ,25 
SY    Ari ,RRAB      ,12.5  ,13.5  ,2436105.346   ,    0.5666815   ,15 
SZ    Ari ,EA/DM     ,11.1  ,11.6  ,2426414.301   ,    1.717543    ,13 
TU    Ari ,RRAB      ,14.5  ,15.5  ,2436823.606   ,    0.4716555   ,31 
TV    Ari ,RRAB      ,13.   ,13.5  ,2436825.519   ,    0.3667018   ,07 
TX    Ari ,EA        ,11.4  ,12.6  ,2428409.496   ,    2.691324    ,11 
UW    Ari ,BCEP      , 6.10 , 6.23,2438379.296   ,    0.15275     ,   
VY    Ari ,BY+UV     , 6.83 , 7.01 ,2442035.108   ,    7.854       ,   
gam   Ari ,ACV       , 4.62 , 4.66,2440998.99    ,    2.6095      ,50 
