R     Per ,M         , 8.1  ,14.8  ,2445339.      ,  209.89        ,49 
U     Per ,M         , 7.4  ,12.8  ,2445066.      ,  320.26        ,46 
Y     Per ,M         , 8.1  ,11.3  ,2445245.      ,  248.60        ,48 
Z     Per ,EA/SD     , 9.7  ,12.4  ,2445659.245   ,    3.0563066   ,14 
RR    Per ,M         , 8.1  ,15.1  ,2444944.      ,  389.62        ,45 
RT    Per ,EA/SD     ,10.46 ,11.74 ,2433376.0583  ,    0.84940032  ,16 
RV    Per ,EA/SD     ,10.3  ,12.7  ,2442046.921   ,    1.9734926   ,15 
RW    Per ,EA/D      , 9.68 ,11.36 ,2436701.0854  ,   13.198904    ,08 
RX    Per ,M         , 9.0  ,13.5  ,2442642.      ,  422.08        ,   
RY    Per ,EA/SD     , 8.50 ,10.25 ,2427070.708   ,    6.8635663   ,13 
RZ    Per ,M         , 8.7  ,14.0  ,2445498.      ,  355.25        ,47 
ST    Per ,EA/SD     , 9.52 ,11.40 ,2442436.588   ,    2.648315    ,13 
SV    Per ,DCEP      , 8.49 , 9.37 ,2443839.296   ,   11.129318    ,39 
SX    Per ,DCEP      ,10.70 ,11.54 ,2441847.979   ,    4.289967    ,25 
SY    Per ,SRA       , 8.7  ,11.70,2437635.      ,  474.          ,54 
TU    Per ,RRAB      ,11.94 ,13.05 ,2438772.590   ,    0.6070749   ,16 
TW    Per ,M         ,10.6  ,13.5  ,2439426.      ,  335.14        ,   
TY    Per ,M         ,10.6  ,15.0  ,2442312.      ,  364.65        ,   
UX    Per ,DCEP      ,11.02 ,12.07 ,2437402.945   ,    4.565815    ,26 
UY    Per ,DCEP      ,10.80 ,11.74 ,2444945.845   ,    5.365106    ,26 
VW    Per ,M         ,12.0  ,16.   ,2435770.      ,  279.8         ,47 
VX    Per ,DCEP      , 8.99 , 9.69 ,2443758.994   ,   10.88904     ,49 
VY    Per ,DCEP      ,10.80 ,11.66 ,2444912.75    ,    5.531830    ,26 
WW    Per ,M         ,12.5  ,16.5  ,2441216.      ,  274.4         ,40 
WX    Per ,M:        ,13.   ,16.   ,2421850.      ,  240.          ,   
WY    Per ,EA/SD     ,11.5  ,14.2  ,2446002.360   ,    3.3271615   ,10 
XZ    Per ,EA/SD     ,11.4  ,13.4  ,2443507.47742 ,    1.15163412  ,23 
AA    Per ,SRA       ,10.4  ,11.7  ,2424890.      ,  130.4         ,55 
AB    Per ,EA/SD     ,10.4  ,11.4  ,2422987.207   ,    7.1602886   ,12 
AD    Per ,SRC       , 9.7  ,11.2  ,2441603.      ,  362.5         ,67 
AG    Per ,EA/DM     , 6.69 , 7.00 ,2444584.583   ,    2.02870904  ,12 
AH    Per ,M         ,12.3  ,16.   ,2429940.      ,  311.5         ,   
AI    Per ,M         ,11.9  ,16.3  ,2438642.      ,  231.0         ,   
AK    Per ,M         ,12.2  ,16.   ,2434360.      ,  287.5         ,   
AL    Per ,M         ,11.5  ,15.5  ,2425238.      ,  145.          ,   
AM    Per ,M         ,13.3  ,16.0  ,2425314.      ,  250.          ,   
AN    Per ,RRAB      ,14.7  ,15.4  ,2425235.565   ,    0.602818    ,   
AP    Per ,M         ,13.6  ,18.5  ,2425300.      ,  410.5         ,   
AQ    Per ,M         ,13.7  ,16.5  ,2429729.      ,  154.3         ,   
AR    Per ,RRAB      , 9.92 ,10.83 ,2427236.9179  ,    0.42554892  ,16 
AS    Per ,DCEP      , 9.17 ,10.14 ,2441723.934   ,    4.972516    ,25 
AU    Per ,M         ,13.4  ,16.5  ,2435884.      ,  309.7         ,   
AW    Per ,DCEP      , 7.04 , 7.89 ,2442709.059   ,    6.463589    ,25 
AX    Per ,ZAND      , 9.4  ,13.6  ,2436679.4     ,  681.6         ,   
AY    Per ,EA/DS:    , 9.8  ,10.6  ,2427152.25    ,   11.77664     ,06 
BF    Per ,SR        ,15.1  ,16.7  ,2425355.      ,  240.          ,   
BG    Per ,M:        ,16.1  ,16.9  ,2425970.      ,  219.          ,   
BH    Per ,M:        ,15.1  ,16.4  ,2425332.      ,  271.          ,   
BM    Per ,DCEP      , 9.65 ,11.02 ,2435784.26    ,   22.9519      ,13 
BN    Per ,SRB       ,14.0  ,15.2  ,2426390.      ,  277.          ,   
BO    Per ,EA/D:     ,12.0  ,12.3  ,2430764.405   ,    4.580152    ,07 
BP    Per ,EB        ,11.7  ,12.0  ,2428422.540   ,    1.978914    ,   
BV    Per ,SRA       ,12.4  ,14.3  ,2429300.      ,  320.          ,   
BW    Per ,SRA       ,10.   ,11.   ,2430674.      ,  117.4         ,46 
BY    Per ,EA/SD     ,13.2  ,14.8  ,2445942.557   ,    1.152635    ,15 
BZ    Per ,M         ,13.7  ,17.8  ,2430773.      ,  298.6         ,50 
CC    Per ,EB/SD     ,14.0  ,15.4  ,2429231.46    ,    2.47015     ,   
CH    Per ,EA/SD     ,14.9  ,17.1  ,2443755.511   ,    1.314649    ,10 
