; Default constellation file for Cartes du Ciel
;
; Use the program ConvConstL.exe to prepare this file for use 
; with Cartes du Ciel.
;
; Each line describe a line to draw from star HR1 to star HR2.
; The HR number (or BSC number) can be found on the chart using the BSC catalog
; the constelation name is not used but just added for convenience
; when editing this file.
;
;Cn    HR1    HR2
;--  -----  -----

AND    337    603
AND     15    165
AND   8762   8961
AND   8961    269
AND    154     15
AND    165    337
AND    269    335
AND    269    154
ANT   4104   4273
ANT   4104   3765
APS   5470   6020
APS   6020   6102
APS   6020   6163
APS   6102   6163
AQL   7176   7235
AQL   7193   7236
AQL   7235   7525
AQL   7236   7377
AQL   7377   7525
AQL   7447   7236
AQL   7525   7557
AQL   7557   7602
AQL   7570   7447
AQL   7602   7710
AQL   7710   7570
AQR   7950   8232
AQR   8232   8402
AQR   8402   8518
AQR   8518   8559
AQR   8559   8539
AQR   8559   8597
AQR   8559   8698
AQR   8679   8709
AQR   8698   8679
AQR   8709   8812
AQR   8812   8906
AQR   8834   8698
AQR   8865   8834
AQR   8906   9002
AQR   8988   8865
AQR   9002   8988
ARA   6285   6229
ARA   6285   6295
ARA   6461   6285
ARA   6461   6462
ARA   6462   6500
ARA   6510   6461
ARA   6743   6510
ARI    546    553
ARI    553    617
ARI    617    951
AUR   1577   1641
AUR   1641   1708
AUR   1708   2077
AUR   1791   1577
AUR   2088   1708
AUR   2088   2095
AUR   2077   2091
AUR   2095   1791
AUR   2091   2088
BOO   5235   5200
BOO   5340   5235
BOO   5340   5429
BOO   5340   5478
BOO   5351   5404
BOO   5429   5435
BOO   5435   5351
BOO   5435   5602
BOO   5506   5340
BOO   5602   5681
BOO   5681   5506
CAE   1443   1502
CAE   1502   1503
CAE   1503   1652
CAM   1148   1542
CAM   1542   1603
CAM   1542   2165
CAM   1603   1568
CAM   2165   2511
CAP   7747   7776
CAP   7776   7936
CAP   7936   7980
CAP   7980   8080
CAP   8075   7754
CAP   8080   8204
CAP   8167   8075
CAP   8204   8260
CAP   8260   8322
CAP   8278   8167
CAP   8322   8278
CAR   4037   3685
CAR   4110   4140
CAR   4140   4199
CAR   4199   4037
CAR   2326   3117
CAR   3117   3307
CAR   3307   3659
CAR   3307   3734
CAR   3685   3890
CAR   3699   4110
CAR   3890   3699
CAS    403    542
CAS     21    168
CAS    168    264
CAS    264    403
CEN   4390   4621
CEN   4467   4390
CEN   4621   4819
CEN   4819   5028
CEN   5028   5288
CEN   5132   4819
CEN   5132   5267
CEN   5231   5132
CEN   5267   5459
CEN   5288   5440
CEN   5440   5231
CEN   5440   5576
CEP   8162   8465
CEP   8238   8162
CEP   8238   8694
CEP   8465   8694
CEP   8694   8974
CEP   8974   8238
CET    334    402
CET    402    539
CET    509    585
CET    539    509
CET    539    681
CET    539    811
CET    681    779
CET    718    804
CET    779    804
CET    804    911
CET    813    718
CET    896    813
CET    911    896
CET     74    188
CET    188    334
CIR   5463   5670
CIR   5463   5704
CMA   2491   2294
CMA   2491   2653
CMA   2618   2282
CMA   2646   2618
CMA   2653   2693
CMA   2657   2491
CMA   2693   2646
CMA   2693   2827
CMI   2943   2845
CNC   3449   3475
CNC   3461   3249
CNC   3461   3449
CNC   3572   3461
