U     Crt ,M         , 9.5  ,13.5  ,2428269.      ,  169.          ,45 
V     Crt ,EA/KE:    , 9.9  ,10.53 ,2441397.3323  ,    0.7020361   ,18 
W     Crt ,RRAB      ,10.74 ,12.08 ,2439644.289   ,    0.41201459  ,13 
X     Crt ,RRAB      ,11.12 ,11.76 ,2441798.339   ,    0.73283324  ,18 
Y     Crt ,M         ,10.2  ,15.0  ,2428991.      ,  158.36        ,50 
Z     Crt ,EA/SD:    ,10.5  ,11.5  ,2431206.325   ,    3.051864    ,14 
RS    Crt ,EA        ,11.21 ,11.9  ,2431211.390   ,    0.8168      ,30 
RT    Crt ,M         ,10.8  ,14.   ,2427459.      ,  342.7         ,   
RV    Crt ,EA        , 9.2  , 9.7  ,2442537.7087  ,    1.170494    ,   
RW    Crt ,SRB       , 8.71 , 8.94 ,2440683.      ,   77.          ,   
RY    Crt ,SRB       , 9.24 , 9.80 ,2440652.      ,   80.          ,   
SS    Crt ,SRB       , 8.54 , 8.82 ,2440692.      ,   65.          ,   
SV    Crt ,ACV       , 6.32 , 6.35 ,2440373.62    ,    5.90513     ,   
SX    Crt ,EA/DM     ,13.7  ,14.2  ,2442507.393   ,    1.898945    ,10 
