R     Hyi ,DCEP      ,14.43 ,15.31 ,2425565.20    ,   10.093       ,   
S     Hyi ,E/SD:     ,12.0  ,13.0  ,2425452.56    ,    0.90312     ,   
T     Hyi ,RR        ,13.0  ,14.3  ,2425531.40    ,    0.56875     ,   
U     Hyi ,EB/SD     ,13.9  ,15.2  ,2425851.55    ,    0.70108     ,   
V     Hyi ,RR        ,13.8  ,15.2  ,2425477.50    ,    0.59396     ,   
W     Hyi ,M         ,13.0  ,16.1  ,2426200.      ,  281.          ,   
X     Hyi ,M         ,12.8  ,16.0  ,2426000.      ,  308.5         ,   
Y     Hyi ,EA/SD     ,10.4  ,14.0  ,2425481.50    ,    3.53597     ,   
Z     Hyi ,RR        ,15.0  ,16.3  ,2424789.60    ,    0.45038     ,   
RR    Hyi ,SR        ,13.3  ,14.3  ,2425800.      ,  194.          ,   
RS    Hyi ,M         ,10.0  ,16.0  ,2425850.      ,  215.5         ,   
RT    Hyi ,EW/KW     ,13.2  ,14.1  ,2425480.50    ,    0.284038    ,   
RU    Hyi ,RV        ,14.8  ,16.2  ,2424780.      ,  157.          ,   
RV    Hyi ,EA        ,11.8  ,12.8  ,2425477.40    ,    7.19505     ,   
RW    Hyi ,RR        ,12.5  ,13.3  ,2425481.50    ,    0.55577     ,   
RX    Hyi ,RRAB      ,14.1  ,15.5  ,2425483.45    ,    0.61966     ,20 
RY    Hyi ,M         ,11.0  ,15.5  ,2426650.      ,  319.          ,   
RZ    Hyi ,DCEP      ,13.45 ,14.23 ,2431734.237   ,   15.17007     ,46 
SS    Hyi ,RR        ,14.8  ,16.2  ,2425439.60    ,    0.54888     ,   
ST    Hyi ,DCEP      ,12.58 ,13.70 ,2430561.604   ,   33.326668    ,17 
SU    Hyi ,RR        ,12.5  ,13.8  ,2425441.60    ,    0.34835     ,   
SV    Hyi ,RR        ,14.5  ,15.8  ,2425444.65    ,    0.53890     ,   
SW    Hyi ,RR        ,13.8  ,15.5  ,2425530.40    ,    0.48760     ,   
SX    Hyi ,RR        ,12.5  ,13.5  ,2425469.50    ,    0.31067     ,   
SZ    Hyi ,RR        ,14.8  ,16.0  ,2425441.63    ,    0.44108     ,   
TW    Hyi ,RRAB      ,12.56 ,13.39 ,2439465.506   ,    0.675380    ,14 
TX    Hyi ,RR        ,14.9  ,15.8  ,2427722.35    ,    0.482601    ,   
TY    Hyi ,RR        ,13.8  ,15.2  ,2427718.550   ,    0.63054     ,   
TZ    Hyi ,E         ,13.2  ,13.9  ,2427413.30    ,    0.68586     ,   
UU    Hyi ,SR        ,13.1  ,14.3  ,2427400.      ,  224.5         ,   
UV    Hyi ,EA        ,12.4  ,13.4  ,2427426.30    ,    0.81705     ,   
UW    Hyi ,RR        ,13.8  ,15.2  ,2427473.25    ,    0.5405      ,   
VV    Hyi ,RR        ,14.0  ,15.4  ,2426715.44    ,    0.480324    ,   
VX    Hyi ,EA/SD     ,11.9  ,13.8  ,2426711.40    ,    3.2322      ,   
WY    Hyi ,M         ,12.0  ,15.6  ,2427450.      ,  231.          ,   
WZ    Hyi ,RRAB      ,14.3  ,15.4  ,2426945.391   ,    0.5402149   ,20 
XY    Hyi ,CWA       ,16.1  ,16.9  ,2436792.      ,   22.          ,   
XZ    Hyi ,RRAB      ,16.2  ,16.8  ,2436760.634   ,    0.5946      ,40 
YY    Hyi ,RRAB      ,15.8  ,16.5  ,2436765.590   ,    0.4007      ,20 
YZ    Hyi ,RRAB      ,14.4  ,15.2  ,2436780.540   ,    0.4900      ,20 
AA    Hyi ,EA/KE:    ,12.0  ,12.6  ,2428694.700   ,    1.150272    ,18 
AB    Hyi ,RRAB      ,16.2  ,16.7  ,2436737.630   ,    0.3693      ,20 
AC    Hyi ,RRAB      ,14.9  ,16.0  ,2436737.640   ,    0.6143      ,20 
AD    Hyi ,RRAB      ,15.0  ,16.4  ,2436735.640   ,    0.4766      ,30 
AE    Hyi ,RR        ,15.7  ,16.4  ,2436758.670   ,    0.726       ,40 
AF    Hyi ,RRC       ,15.8  ,16.3  ,2436759.610   ,    0.3782      ,50 
AG    Hyi ,RRAB      ,15.8  ,16.2  ,2436778.520   ,    0.3776      ,20 
AH    Hyi ,DCEP      ,14.76 ,15.29 ,2445291.4     ,    8.379       ,40 
AI    Hyi ,DCEP      ,14.42 ,15.19 ,2429808.570   ,   12.466963    ,33 
AK    Hyi ,RRAB      ,16.1  ,16.9  ,2436764.670   ,    0.5393      ,50 
BB    Hyi ,RRC       ,11.76 ,12.32 ,2441993.430   ,    0.287131    ,35 
