R     Lib ,M         , 9.8  ,15.9  ,2439221.      ,  241.85        ,44 
S     Lib ,M         , 7.5  ,13.0  ,2441883.      ,  192.9         ,49 
T     Lib ,M         ,10.2  ,15.6  ,2438474.      ,  237.50        ,41 
U     Lib ,M         , 9.0  ,15.0  ,2439124.      ,  226.59        ,44 
V     Lib ,M         , 9.0  ,15.9  ,2439214.      ,  255.30        ,42 
W     Lib ,M         ,10.5  ,15.5  ,2438945.      ,  205.50        ,45 
X     Lib ,M         ,10.0  ,14.5  ,2438470.      ,  164.38        ,40 
Y     Lib ,M         , 7.6  ,14.7  ,2444017.      ,  275.7         ,41 
Z     Lib ,M         ,10.4  ,14.0  ,2427689.      ,  298.6         ,   
RR    Lib ,M         , 7.8  ,15.0  ,2438784.      ,  277.01        ,47 
RS    Lib ,M         , 7.0  ,13.0  ,2442154.      ,  217.65        ,48 
RT    Lib ,M         , 8.2  ,14.7  ,2439193.      ,  251.16        ,45 
RU    Lib ,M         , 7.2  ,14.4  ,2441840.      ,  316.56        ,46 
RV    Lib ,EA/D/RS   , 9.02 , 9.50 ,2430887.236   ,   10.722164    ,14 
RW    Lib ,M         , 8.84 ,14.26 ,2441530.      ,  203.31        ,48 
RX    Lib ,CWA       ,11.65 ,12.78 ,2444131.88    ,   24.933       ,37 
RY    Lib ,RRAB      ,12.   ,14.   ,2426126.578   ,    0.48300422  ,   
RZ    Lib ,RRAB      ,12.5  ,14.1  ,2427602.340   ,    0.5963275   ,08 
SS    Lib ,EA/KE:    ,10.4  ,11.3  ,2441155.660   ,    1.4379983   ,20 
SV    Lib ,M         ,10.2  ,11.5  ,2433852.      ,  402.66        ,   
SW    Lib ,M         ,12.3  ,17.6  ,2435690.      ,  291.8         ,   
SX    Lib ,M         ,10.2  ,15.8  ,2441900.      ,  332.9         ,   
SZ    Lib ,EB:       ,12.5  ,13.5  ,2442504.7     ,    6.65        ,   
TT    Lib ,M         ,10.9  ,16.   ,2433354.      ,  278.3         ,   
TU    Lib ,M         ,11.4  ,14.5  ,2411188.      ,  287.          ,   
TV    Lib ,RRAB      ,11.23 ,12.51 ,2420017.3015  ,    0.269624031 ,13 
TW    Lib ,M         ,11.6  ,17.   ,2426120.      ,  135.5         ,   
TY    Lib ,EA/SD     ,11.2  ,13.6  ,2445105.422   ,    3.2016741   ,09 
TZ    Lib ,M         ,11.3  ,16.0  ,2428332.      ,  183.6         ,   
UU    Lib ,M         ,12.   ,15.   ,2431242.      ,  287.          ,   
UV    Lib ,M         ,12.7  ,18.3  ,2436703.      ,  189.96        ,40 
UW    Lib ,SRD       , 9.05 ,10.64 ,2441920.      ,   84.726       ,   
UX    Lib ,RRAB      ,12.5  ,13.5  ,2426174.421   ,    0.48317104  ,   
UY    Lib ,RRAB      ,13.0  ,14.0  ,2425867.503   ,    0.49324075  ,   
UZ    Lib ,FKCOM     , 9.16 , 9.62 ,2443222.15    ,    4.75        ,   
VV    Lib ,RRAB      ,12.3  ,13.6  ,2426093.533   ,    0.4781301   ,30 
VW    Lib ,M         ,13.0  ,16.5  ,2428687.      ,  155.          ,   
VY    Lib ,RRAB      ,11.12 ,12.14 ,2441144.370   ,    0.5339412   ,14 
VZ    Lib ,EW/KW     ,10.13 ,10.63 ,2444788.59010 ,    0.35826334  ,   
WW    Lib ,SRA       ,11.5  ,13.0  ,2428020.      ,   81.5         ,   
