R     Vir ,M         , 6.1  ,12.1  ,2445872.      ,  145.63        ,50 
S     Vir ,M         , 6.3  ,13.2  ,2445046.      ,  375.10        ,45 
T     Vir ,M         , 9.0  ,14.8  ,2440277.      ,  339.47        ,36 
U     Vir ,M         , 7.4  ,13.5  ,2444736.      ,  206.64        ,47 
V     Vir ,M         , 8.1  ,15.0  ,2444667.      ,  250.08        ,42 
W     Vir ,CWA       , 9.46 ,10.75 ,2432697.783   ,   17.2736      ,38 
Y     Vir ,M         , 8.3  ,15.0  ,2445805.      ,  218.43        ,46 
Z     Vir ,M         , 9.9  ,15.1  ,2442496.      ,  305.71        ,39 
RR    Vir ,M         ,10.7  ,15.6  ,2438146.      ,  217.52        ,47 
RS    Vir ,M         , 7.0  ,14.6  ,2445753.      ,  353.95        ,37 
RU    Vir ,M         , 9.0  ,14.2  ,2437773.      ,  433.2         ,49 
RV    Vir ,M         ,10.2  ,15.1  ,2440635.      ,  265.87        ,41 
SS    Vir ,SRA       , 6.0  , 9.6  ,2445361.      ,  364.14        ,48 
ST    Vir ,RRAB      ,10.84 ,12.08 ,2440736.374   ,    0.4108280   ,12 
SU    Vir ,M         , 8.4  ,14.5  ,2444278.      ,  208.6         ,48 
SV    Vir ,M         , 9.3  ,12.5  ,2442506.      ,  295.33        ,   
SY    Vir ,M         , 9.6  ,13.4  ,2438440.      ,  236.65        ,57 
TX    Vir ,RRAB      ,12.7  ,14.4  ,2425661.558   ,    0.623562    ,   
UU    Vir ,RRAB      , 9.89 ,11.07 ,2441797.461   ,    0.47560652  ,17 
UV    Vir ,RRAB      ,11.35 ,12.35 ,2439992.720   ,    0.5870824   ,20 
UW    Vir ,EA/SD     , 8.98 ,12.3  ,2444345.413   ,    1.8107755   ,14 
UY    Vir ,EA/DM     , 8.00 , 8.8  ,2430020.667   ,    1.9945051   ,16 
UZ    Vir ,RRAB      ,12.2  ,13.9  ,2425004.399   ,    0.458844    ,24 
VV    Vir ,EB/SD:    ,11.9  ,13.2  ,2431221.218   ,    0.44613577  ,   
VX    Vir ,RRAB      ,13.1  ,14.0  ,2419865.337   ,    0.5430115   ,22 
VY    Vir ,M         ,10.5  ,14.7  ,2444717.      ,  280.04        ,   
VZ    Vir ,RRC       ,12.2  ,12.8  ,2445388.651   ,    0.3396113   ,42 
WW    Vir ,RRAB      ,11.9  ,13.5  ,2436722.344   ,    0.6515827   ,20 
WY    Vir ,RRAB      ,13.0  ,14.20 ,2444010.360   ,    0.609354    ,14 
WZ    Vir ,SR        ,10.2  ,12.3  ,2428209.      ,  135.          ,   
XX    Vir ,CWB       ,11.55 ,12.78 ,2443287.50    ,    1.3482051   ,12 
XY    Vir ,M         ,12.7  ,15.5  ,2432670.      ,  258.1         ,   
YZ    Vir ,CWA       ,12.7  ,13.8  ,2444024.23    ,   14.4687      ,40 
ZZ    Vir ,RRAB      ,13.7  ,14.9  ,2443600.488   ,    0.684050    ,22 
AB    Vir ,SR        ,11.9  ,13.4  ,2425743.      ,  313.          ,   
AD    Vir ,RRAB      ,12.0  ,13.65 ,2436893.285   ,    0.5522151   ,10 
