R     Vul ,M         , 7.0  ,14.3  ,2445586.      ,  136.73        ,49 
S     Vul ,DCEP      , 8.69 , 9.42 ,2444147.2     ,   68.464       ,29 
T     Vul ,DCEP      , 5.41 , 6.09 ,2441705.121   ,    4.435462    ,32 
U     Vul ,DCEP      , 6.73 , 7.54 ,2444939.58    ,    7.990676    ,33 
X     Vul ,DCEP      , 8.33 , 9.22 ,2435309.977   ,    6.319588    ,30 
Y     Vul ,RRAB      ,14.2  ,16.0  ,2438939.413   ,    0.44945164  ,10 
Z     Vul ,EA/SD     , 7.25 , 8.90 ,2442947.4777  ,    2.454934    ,18 
RR    Vul ,EA        ,10.0  ,11.4  ,2435035.437   ,    5.05070     ,09 
RS    Vul ,EA/SD:    , 6.79 , 7.83 ,2432808.257   ,    4.4776635   ,14 
RU    Vul ,SRA       , 8.1  ,12.7  ,2443440.      ,  173.6         ,47 
RV    Vul ,M         ,13.   ,16.   ,2426270.      ,  424.0         ,   
RW    Vul ,M         ,12.   ,15.   ,2439022.      ,  208.55        ,   
RX    Vul ,M         ,11.   ,15.   ,2427520.      ,  457.          ,   
SS    Vul ,M         ,13.5  ,17.   ,2427370.      ,  171.          ,   
SV    Vul ,DCEP      , 6.72 , 7.79 ,2443086.89    ,   45.0121      ,23 
SX    Vul ,M         ,12.2  ,17.   ,2426315.      ,  425.4         ,   
SY    Vul ,EA/SD     ,13.   ,16.   ,2416293.463   ,    7.80187     ,15 
SZ    Vul ,M         ,12.   ,16.5  ,2425928.      ,  253.6         ,   
TT    Vul ,M         ,12.8  ,16.5  ,2428855.      ,  146.9         ,   
TU    Vul ,M         ,10.3  ,16.   ,2427391.      ,  300.2         ,   
UW    Vul ,M         ,11.   ,15.0  ,2426540.      ,  365.5         ,   
VV    Vul ,EA/SD     ,12.0  ,13.9  ,2445151.57    ,    3.411361    ,18 
VX    Vul ,SRA       ,13.   ,15.   ,2425905.      ,  218.          ,   
VY    Vul ,EB/SD:    ,14.2  ,15.1  ,2428020.452   ,    0.8843484   ,   
WX    Vul ,M         ,11.   ,14.   ,2426189.      ,  280.7         ,   
