R     Aql ,M         , 5.5  ,12.0  ,2443458.      ,  284.2         ,42 
S     Aql ,SRA       , 8.9  ,12.8  ,2443855.      ,  146.45        ,48 
U     Aql ,DCEP      , 6.08 , 6.86 ,2434922.31    ,    7.02393     ,30 
W     Aql ,M         , 7.3  ,14.3  ,2439116.      ,  490.43        ,37 
X     Aql ,M         , 8.3  ,15.5  ,2441487.      ,  347.04        ,46 
Y     Aql ,E/KE      , 5.02 , 5.06,2438607.445   ,    1.30227     ,   
Z     Aql ,M         , 8.2  ,14.8  ,2441938.      ,  129.226       ,47 
RR    Aql ,M         , 7.8  ,14.5  ,2441764.      ,  394.78        ,30 
RS    Aql ,M         , 8.7  ,15.4  ,2439193.      ,  410.12        ,48 
RT    Aql ,M         , 7.6  ,14.5  ,2443290.      ,  327.11        ,42 
RU    Aql ,M         , 8.7  ,14.8  ,2439171.      ,  274.24        ,42 
RV    Aql ,M         , 8.1  ,15.0  ,2442618.      ,  218.60        ,47 
RX    Aql ,M         ,13.   ,17.5  ,2416729.      ,  206.          ,   
RY    Aql ,M         ,11.4  ,15.   ,2435010.      ,  353.2         ,   
RZ    Aql ,M         ,12.1  ,14.5  ,2429479.      ,  336.75        ,   
SS    Aql ,M         ,13.3  ,16.   ,2416795.      ,  148.          ,   
ST    Aql ,M         ,12.5  ,15.   ,2434990.      ,  248.7         ,   
SU    Aql ,M         ,12.4  ,16.   ,2431000.      ,  393.          ,   
SV    Aql ,M         ,10.6  ,15.0  ,2439170.      ,  252.89        ,   
SW    Aql ,M         ,13.3  ,16.   ,2429490.      ,  247.0         ,   
SX    Aql ,M         ,12.7  ,16.   ,2427327.      ,  309.5         ,   
SY    Aql ,M         , 8.3  ,15.4  ,2442651.      ,  355.92        ,37 
SZ    Aql ,DCEP      , 7.92 , 9.26 ,2435528.937   ,   17.137939    ,37 
TT    Aql ,DCEP      , 6.46 , 7.70 ,2437236.10    ,   13.7546      ,34 
TU    Aql ,M         ,10.3  ,16.   ,2442930.      ,  270.39        ,   
TV    Aql ,M         , 9.9  ,14.0  ,2440434.      ,  243.22        ,   
TW    Aql ,SRD       , 9.9  ,11.4  ,2427588.      ,   64.6         ,41 
UV    Aql ,SRA       ,11.1  ,12.4  ,2430906.      ,  385.5         ,   
UX    Aql ,M:        ,14.0  ,15.7  ,2423645.      ,  375.          ,   
UZ    Aql ,M         ,13.9  ,17.0  ,2436833.      ,  285.9         ,   
VV    Aql ,M:        ,12.4  ,15.5  ,2421821.      ,  259.          ,   
VY    Aql ,M         ,11.   ,16.   ,2436103.      ,  333.2         ,   
VZ    Aql ,CWB       ,13.20 ,14.04 ,2438231.625   ,    1.668239    ,30 
WW    Aql ,M         ,11.5  ,15.   ,2434314.      ,  174.5         ,   
WX    Aql ,SRB       ,11.5  ,12.6  ,2430584.      ,  107.          ,45 
WY    Aql ,M         ,12.5  ,15.0  ,2427552.      ,  388.          ,   
WZ    Aql ,M         ,11.1  ,14.0  ,2434600.      ,  316.4         ,   
XY    Aql ,M         , 9.5  ,17.   ,2438663.      ,  423.4         ,   
XZ    Aql ,EA/SD:    ,10.1  ,11.4  ,2441903.461   ,    2.139181    ,14 
YZ    Aql ,EA/SD:    ,10.5  ,14.2  ,2434222.639   ,    4.67230     ,15 
ZZ    Aql ,M         ,12.7  ,17.1  ,2438246.      ,  145.50        ,45 
AA    Aql ,RRAB      ,11.00 ,12.34 ,2424347.3966  ,    0.36178688  ,17 
AC    Aql ,SRA       ,13.4  ,15.7  ,2436450.      ,  159.93        ,32 
AD    Aql ,RVA       ,11.5  ,13.5  ,2427628.      ,   65.4         ,   
AE    Aql ,M         ,14.1  ,17.8  ,2426203.      ,  222.5         ,   
AF    Aql ,M:        ,15.0  ,16.5  ,2424037.      ,  461.          ,   
AG    Aql ,M         ,14.5  ,16.5  ,2423536.      ,  182.          ,   
AH    Aql ,M         ,13.7  ,17.0  ,2432508.      ,  190.          ,   
AI    Aql ,SRA       ,13.6  ,15.1  ,2434188.      ,  103.          ,   
AK    Aql ,M         ,10.8  ,17.0  ,2438656.      ,  298.0         ,   
AL    Aql ,EA/DS     ,11.2  ,13.4  ,2438296.313   ,   20.98630     ,10 
AM    Aql ,M         ,12.6  ,17.   ,2420323.      ,  210.          ,50 
AN    Aql ,M         ,14.0  ,17.0  ,2429886.      ,  189.          ,   
AO    Aql ,M         ,12.8  ,17.2  ,2440055.      ,  285.9         ,25 
AP    Aql ,M:        ,15.0  ,16.5  ,2438973.      ,  263.          ,   
AQ    Aql ,M         ,14.6  ,16.5  ,2428036.      ,  278.25        ,   
AU    Aql ,SRA       ,13.5  ,14.8  ,2436423.      ,  124.84        ,45 
AV    Aql ,M         ,13.8  ,16.5  ,2436386.      ,  440.1         ,   
AW    Aql ,M         ,13.2  ,18.0  ,2423612.      ,  267.5         ,   
AX    Aql ,M         ,12.6  ,17.4  ,2438977.      ,  284.52        ,   
AY    Aql ,RRAB      ,15.2  ,16.4  ,2436402.453   ,    0.4658136   ,30 
BB    Aql ,M         ,13.4  ,17.0  ,2428740.      ,  230.86        ,48 
BC    Aql ,CEP       ,14.2  ,15.7  ,2438889.618   ,    2.90513     ,30 
BD    Aql ,M         ,14.6  ,16.5  ,2439052.      ,  315.03        ,   
BE    Aql ,M         ,13.0  ,16.6  ,2438230.      ,  212.93        ,45 
BF    Aql ,M         ,13.7  ,16.5  ,2436873.5     ,  288.49        ,   
BG    Aql ,M         ,14.2  ,16.5  ,2436797.5     ,  253.43        ,   
BI    Aql ,M         ,13.1  ,16.5  ,2438814.      ,  412.01        ,   
BK    Aql ,M         ,13.1  ,17.6  ,2436403.      ,  278.48        ,28 
BL    Aql ,M         ,13.2  ,16.1  ,2436420.      ,  157.32        ,46 
BM    Aql ,M:        ,13.7  ,15.3  ,2415562.      ,  236.7         ,   
BP    Aql ,M         ,13.0  ,16.5  ,2438892.      ,  193.40        ,38 
BQ    Aql ,M         ,13.4  ,15.0  ,2437887.      ,  235.66        ,49 
BT    Aql ,M         ,12.4  ,16.5  ,2438925.6     ,  292.52        ,30 
BV    Aql ,M         ,14.0  ,16.5  ,2438983.      ,  204.55        ,45 
BY    Aql ,SRA       ,14.1  ,16.2  ,2438149.      ,  187.25        ,40 
BZ    Aql ,M         ,14.2  ,17.   ,2437835.      ,  311.          ,   
CD    Aql ,M         ,12.7  ,15.5  ,2436390.      ,  227.03        ,   
CH    Aql ,RR        ,11.5  ,12.5  ,2436050.335   ,    0.38918702  ,   
CL    Aql ,M:        ,12.8  ,16.6  ,2436375.      ,  369.          ,   
CN    Aql ,M         ,11.5  ,15.0  ,2417094.      ,  358.          ,   
CO    Aql ,M         ,13.2  ,16.0  ,2438957.      ,  168.64        ,   
CP    Aql ,SRA       ,14.2  ,16.3  ,2439046.      ,  103.57        ,50 
CQ    Aql ,SRA       ,14.0  ,16.0  ,2436379.      ,  237.8         ,   
CR    Aql ,RRAB      ,13.7  ,15.5  ,2437525.396   ,    0.4562249   ,20 
CS    Aql ,M         ,13.2  ,15.5  ,2438961.      ,  255.68        ,   
CT    Aql ,M         ,13.5  ,16.3  ,2438949.      ,  226.72        ,42 
CU    Aql ,M         ,11.8  ,15.8  ,2436418.      ,  199.22        ,49 
