R     Boo ,M         , 6.2  ,13.1  ,2444518.      ,  223.40        ,46 
S     Boo ,M         , 7.8  ,13.8  ,2444116.      ,  270.73        ,44 
V     Boo ,SRA       , 7.0  ,12.0  ,2444780.      ,  258.01        ,49 
Z     Boo ,M         , 8.2  ,15.0  ,2441096.      ,  281.14        ,39 
RR    Boo ,M         , 8.3  ,13.9  ,2443047.      ,  194.70        ,48 
RS    Boo ,RRAB      , 9.69 ,10.84 ,2441770.490   ,    0.37733896  ,17 
RT    Boo ,M         , 8.3  ,13.9  ,2442722.      ,  273.86        ,49 
RU    Boo ,RRAB      ,12.97 ,14.18 ,2438592.386   ,    0.4926701   ,13 
RZ    Boo ,SRA       ,11.6  ,13.9  ,2434412.      ,  211.0         ,   
SS    Boo ,EA/DM/RS  ,10.28 ,10.95 ,2420707.369   ,    7.606133    ,10 
ST    Boo ,RRAB      ,10.49 ,11.41 ,2419181.486   ,    0.622290687 ,19 
SU    Boo ,EA/DM:    ,11.96 ,12.72 ,2421071.397   ,    1.561248    ,13 
SV    Boo ,RRAB      ,12.78 ,13.52 ,2437812.5105  ,    0.5814420   ,17 
SW    Boo ,RRAB      ,11.76 ,12.88 ,2442570.760   ,    0.51352810  ,13 
SX    Boo ,SRA       ,12.0  ,13.7  ,2425072.      ,  153.          ,   
SZ    Boo ,RRAB      ,11.92 ,13.05 ,2427640.231   ,    0.5228198   ,12 
TU    Boo ,EW/KW     ,11.8  ,12.5  ,2433066.404   ,    0.3242868   ,   
TV    Boo ,RRC       ,10.71 ,11.30 ,2424609.515   ,    0.31255936  ,35 
TW    Boo ,RRAB      ,10.63 ,11.68 ,2426891.268   ,    0.53227315  ,13 
TX    Boo ,EA/SD:    ,12.4  ,13.2  ,2431235.408   ,    3.412946    ,06 
TY    Boo ,EW/KW     ,10.81 ,11.47 ,2434480.425   ,    0.3171477   ,   
TZ    Boo ,EW/KW     ,10.41 ,11.00 ,2439632.8418  ,    0.2971620   ,   
UU    Boo ,RRAB      ,11.50 ,12.81 ,2436084.410   ,    0.4569205   ,10 
UW    Boo ,EA/SD     ,10.4  ,11.4  ,2442404.713   ,    1.0047108   ,14 
UY    Boo ,RRAB      ,10.25 ,11.35 ,2441835.694   ,    0.6508365   ,14 
VW    Boo ,EW/KW     ,10.5  ,11.08 ,2431173.406   ,    0.3423253   ,   
VX    Boo ,RRAB      ,13.5  ,14.9  ,2436407.406   ,    0.59127     ,25 
WW    Boo ,RRAB      ,12.8  ,14.0  ,2419483.529   ,    0.47926659  ,   
WZ    Boo ,RRAB      ,13.3  ,14.1  ,2439600.5881  ,    0.504494    ,10 
XX    Boo ,RR        ,12.3  ,13.0  ,2429366.646   ,    0.5814016   ,38 
XY    Boo ,EW/KW     ,10.3  ,10.61 ,2439953.9621  ,    0.37054663  ,   
YY    Boo ,EA/SD     ,12.   ,13.5  ,2441806.437   ,    3.933094    ,   
YZ    Boo ,DSCT      ,10.30 ,10.80 ,2442146.3546  ,    0.10409156  ,31 
ZZ    Boo ,EA/DM     , 6.79 , 7.44 ,2438565.9192  ,    4.9917440   ,06 
AC    Boo ,EW/KW     ,10.0  ,10.62 ,2425776.431   ,    0.35242943  ,   
AD    Boo ,EB/SD:    , 9.8  ,10.4  ,2441434.448   ,    1.0344014   ,   
AE    Boo ,RRC       ,10.44 ,10.88 ,2430388.203   ,    0.3148921   ,45 
AF    Boo ,RRAB      ,16.0  ,17.5  ,2437766.540   ,    0.530177    ,10 
AG    Boo ,RRAB      ,14.2  ,16.0  ,2435601.50    ,    0.5221015   ,14 
AH    Boo ,RRAB      ,13.0  ,15.1  ,2437669.540   ,    0.55433     ,10 
AK    Boo ,EW/KE     ,15.8  ,16.3  ,2437823.588   ,    0.69339     ,   
AL    Boo ,M         ,13.6  ,16.5  ,2437870.      ,  168.          ,   
AM    Boo ,RRAB      ,13.6  ,15.5  ,2437668.550   ,    0.464373    ,10 
AN    Boo ,RRAB      ,14.2  ,16.0  ,2437823.400   ,    0.53249     ,08 
AP    Boo ,RRAB      ,15.5  ,16.7  ,2437820.424   ,    0.55525     ,10 
AR    Boo ,EW/KW:    ,13.5  ,14.5  ,2436661.36    ,    0.4167230   ,   
AS    Boo ,RRAB      ,14.5  ,16.0  ,2436687.32    ,    0.4924987   ,   
AT    Boo ,RRAB      ,14.3  ,16.0  ,2437766.550   ,    0.515153    ,10 
AU    Boo ,RRAB      ,15.4  ,16.2  ,2437818.500   ,    0.651265    ,12 
AW    Boo ,RRAB      ,14.7  ,16.6  ,2437818.430   ,    0.52706     ,08 
AX    Boo ,RRAB      ,15.2  ,16.3  ,2437818.480   ,    0.587125    ,12 
AY    Boo ,RRAB      ,13.4  ,15.6  ,2437669.580   ,    0.614335    ,12 
AZ    Boo ,RRAB      ,14.8  ,16.5  ,2437668.520   ,    0.48926     ,10 
BB    Boo ,RRAB      ,14.8  ,16.4  ,2437823.460   ,    0.47275     ,08 
BC    Boo ,RRAB      ,15.5  ,17.2  ,2436692.320   ,    0.578795    ,25 
BD    Boo ,RRAB      ,13.8  ,14.9  ,2436692.34    ,    0.548583    ,15 
BE    Boo ,RRAB      ,15.0  ,15.7  ,2437669.520   ,    0.31062     ,15 
BF    Boo ,RRAB      ,14.8  ,15.7  ,2436669.40    ,    0.817796    ,25 
BG    Boo ,EW:/KE:   ,13.5  ,14.3  ,2436664.18    ,    0.640082    ,   
BH    Boo ,RRAB      ,14.0  ,15.5  ,2436658.37    ,    0.600915    ,10 
BI    Boo ,RRAB      ,15.3  ,16.0  ,2434146.45    ,    0.5762165   ,12 
BK    Boo ,EW:/KE:   ,14.9  ,15.4  ,2436657.32    ,    0.6854      ,   
BL    Boo ,CWB       ,14.45 ,15.06 ,2442218.792   ,    0.821295    ,42 
BM    Boo ,RRAB      ,14.3  ,15.6  ,2436715.355   ,    0.501587    ,20 
BN    Boo ,RRAB      ,15.4  ,16.4  ,2437131.341   ,    0.5196619   ,17 
BO    Boo ,RRAB      ,14.5  ,15.7  ,2436669.26    ,    0.571775    ,25 
BP    Boo ,ACV       , 5.34 , 5.36,2440725.336   ,    1.30488     ,   
BQ    Boo ,RRAB      ,14.3  ,16.0  ,2437669.480   ,    0.62031     ,10 
BR    Boo ,RRC       ,14.6  ,15.5  ,2437669.600   ,    0.30456     ,30 
BS    Boo ,RRC       ,16.0  ,16.7  ,2437669.620   ,    0.296149    ,25 
BT    Boo ,RRAB      ,15.9  ,16.5  ,2437668.550   ,    0.67456     ,10 
BW    Boo ,EA/DM     , 7.13 , 7.46 ,2440362.9026  ,    3.332821    ,06 
BX    Boo ,ACV       , 6.33 , 6.41 ,2438544.72    ,    2.8881      ,   
CK    Boo ,EW/KW     , 8.99 , 9.26 ,2442896.8759  ,    0.3551501   ,   
CM    Boo ,RRAB      ,11.6  ,12.4  ,2435901.540   ,    0.60908     ,10 
CO    Boo ,M:        ,12.5  ,13.5  ,2436380.      ,  279.          ,   
i     Boo ,EW/KW     , 5.8  , 6.40 ,2439852.4903  ,    0.2678159   ,   
