R     Cen ,M         , 5.3  ,11.8  ,2441942.      ,  546.2         ,   
T     Cen ,SRA       , 5.5  , 9.0  ,2443242.      ,   90.44        ,47 
U     Cen ,M         , 7.0  ,14.0  ,2439941.      ,  220.28        ,47 
V     Cen ,DCEP      , 6.43 , 7.21 ,2440308.60    ,    5.493839    ,26 
W     Cen ,M         , 7.60 ,13.7  ,2441786.      ,  201.57        ,47 
X     Cen ,M         , 7.0  ,13.8  ,2441709.      ,  315.1         ,41 
RR    Cen ,EW/KE:    , 7.27 , 7.68 ,2424231.0981  ,    0.60569029  ,   
RS    Cen ,M         , 7.75 ,14.1  ,2441966.      ,  164.37        ,46 
RT    Cen ,M         , 8.1  ,13.6  ,2442098.      ,  255.02        ,47 
RU    Cen ,RV        , 8.7  ,10.7  ,2428015.51    ,   64.727       ,   
RV    Cen ,M         , 7.0  ,10.8  ,2440960.      ,  446.0         ,56 
RW    Cen ,SRA       , 8.6  ,10.3  ,2438134.      ,  185.2         ,53 
RX    Cen ,M         , 8.7  ,15.   ,2442114.      ,  327.90        ,38 
RY    Cen ,M         ,10.5  ,16.4  ,2428739.      ,  327.5         ,   
RZ    Cen ,EB/KE:    , 8.95 , 9.60 ,2429342.942   ,    1.8759517   ,   
SS    Cen ,EA/SD     , 9.4  ,11.0  ,2429552.475   ,    2.4787192   ,14 
ST    Cen ,EA/DM:    ,10.62 ,11.34 ,2443173.056   ,    1.2234184   ,22 
SU    Cen ,EA/SD:    , 9.1  ,10.0  ,2429253.830   ,    5.35432828  ,15 
SV    Cen ,EB/KE:    , 8.71 , 9.98 ,2444061.0600  ,    1.658500    ,   
SW    Cen ,EA/SD     ,10.0  ,12.2  ,2429236.591   ,    5.2195375   ,13 
SY    Cen ,EA/SD     ,11.2  ,12.2  ,2427892.6234  ,    6.631357    ,11 
SZ    Cen ,EA/D      , 8.3  , 8.9  ,2441386.7466  ,    4.107983    ,15 
TT    Cen ,M         ,11.5  ,16.5  ,2425380.      ,  462.          ,   
TU    Cen ,M         , 9.5  ,14.5  ,2428214.      ,  293.90        ,   
TW    Cen ,M         , 8.8  ,12.6  ,2429310.      ,  269.27        ,43 
TX    Cen ,DCEP      , 9.85 ,11.14 ,2434964.000   ,   17.0936      ,38 
UU    Cen ,M         ,10.4  ,14.4  ,2415121.      ,  368.          ,   
UV    Cen ,M         ,10.1  ,13.5  ,2429157.      ,  274.3         ,   
UZ    Cen ,CEP(B)    , 8.30 , 9.12 ,2440746.1     ,    3.33434     ,27 
VV    Cen ,M         ,10.2  ,17.1  ,2410160.      ,  199.          ,   
VW    Cen ,DCEP      , 9.67 ,10.72 ,2444023.17    ,   15.03618     ,38 
VX    Cen ,SR        , 9.5  ,12.8  ,2429800.      ,  307.8         ,   
VZ    Cen ,EA        , 8.34 , 8.6  ,2429125.519   ,    4.9287012   ,20 
WZ    Cen ,EB/SD:    ,13.7  ,14.8  ,2428034.27    ,    3.61155     ,   
XX    Cen ,DCEP      , 7.30 , 8.31 ,2440366.24    ,   10.954348    ,49 
XZ    Cen ,M         , 7.8  ,10.7  ,2430136.      ,  290.7         ,   
AB    Cen ,EA/DS     ,10.6  ,13.2  ,2423885.15    ,   46.853       ,08 
