R     Cet ,M         , 7.2  ,14.   ,2443768.      ,  166.24        ,43 
S     Cet ,M         , 7.6  ,14.7  ,2442650.      ,  320.45        ,47 
T     Cet ,SRC       , 5.0  , 6.9  ,2440562.      ,  158.9         ,   
U     Cet ,M         , 6.8  ,13.4  ,2442137.      ,  234.76        ,44 
V     Cet ,M         , 8.6  ,14.8  ,2438792.      ,  257.82        ,45 
W     Cet ,M         , 7.1  ,14.8  ,2438578.      ,  351.31        ,   
X     Cet ,M         , 8.4  ,13.0  ,2441953.      ,  177.14        ,49 
Z     Cet ,M         , 8.4  ,14.2  ,2441679.      ,  184.81        ,48 
RR    Cet ,RRAB      , 9.10 ,10.10 ,2433181.404   ,    0.55302814  ,12 
RU    Cet ,RRAB      ,10.83 ,12.13 ,2439826.411   ,    0.586280    ,18 
RV    Cet ,RRAB      ,10.35 ,11.22 ,2439113.363   ,    0.623403    ,20 
RW    Cet ,EA/SD     ,10.43 ,11.4  ,2442229.3883  ,    0.9752009   ,21 
RX    Cet ,RRAB      ,11.01 ,11.75 ,2440125.799   ,    0.5736918   ,20 
RY    Cet ,M         ,10.5  ,13.5  ,2425795.      ,  374.          ,   
RZ    Cet ,RRAB      ,11.24 ,12.36 ,2433906.892   ,    0.51061074  ,16 
SS    Cet ,EA/SD     , 9.4  ,13.0  ,2442451.329   ,    2.973976    ,13 
ST    Cet ,RR        ,13.4  ,15.0  ,2425197.334   ,    0.5265382   ,42 
SU    Cet ,RRAB      ,13.7  ,15.2  ,2425197.349   ,    0.5426428   ,21 
SV    Cet ,EW/KE     ,14.5  ,14.9  ,2425887.425   ,    0.5841870   ,   
TT    Cet ,EW/KE:    ,10.8  ,11.32 ,2432545.830   ,    0.4859565   ,   
TU    Cet ,EA/SD     ,10.8  ,11.8  ,2428507.240   ,    4.39117     ,14 
TV    Cet ,EA/DM     , 8.60 , 9.32 ,2441275.962   ,    9.1032884   ,03 
TW    Cet ,EW/KW     ,10.43 ,11.18 ,2442373.378   ,    0.3168519   ,   
TX    Cet ,EB/KE     ,10.90 ,11.47 ,2443082.6343  ,    0.74084025  ,   
TY    Cet ,EW/KE     ,11.62 ,12.1  ,2427414.006   ,    0.647364    ,   
TZ    Cet ,SR        ,10.0  ,10.47 ,2429220.      ,   95.          ,   
UU    Cet ,RRAB      ,11.54 ,12.36 ,2441208.576   ,    0.606081    ,20 
UX    Cet ,RRAB      ,14.0  ,15.1  ,2443427.55    ,    0.595       ,10 
UY    Cet ,SRB       , 9.8  ,11.4  ,2426755.      ,  440.          ,53 
UZ    Cet ,SRA       , 9.6  ,10.6  ,2426615.      ,  121.74        ,   
VV    Cet ,EW/KE     ,10.3  ,11.0  ,2431328.483   ,    0.522390    ,   
VW    Cet ,EB/KW:    ,11.6  ,12.1  ,2435111.396   ,    0.486       ,   
VX    Cet ,EA/SD:    ,11.   ,11.5  ,2426955.895   ,    2.7207954   ,06 
VY    Cet ,EW/KW     ,11.10 ,11.72 ,2435429.021   ,    0.3408097   ,   
VZ    Cet ,*         , 9.5  ,12.   ,2433300.      , 4750.          ,50 
WY    Cet ,EA/SD:    , 9.6  ,10.4  ,2426619.350   ,    1.939675    ,13 
WZ    Cet ,EA/DM     ,10.8  ,11.4  ,2426308.350   ,    6.645088    ,14 
XY    Cet ,EA/DM     , 8.65 , 9.54 ,2438372.949   ,    2.780712    ,10 
YY    Cet ,EB/KE:    , 9.   , 9.4  ,2427333.500   ,    1.117455    ,   
AA    Cet ,EW/KE     , 6.2  , 6.7  ,2441268.689   ,    0.53616996  ,   
AB    Cet ,ACV:      , 5.71 , 5.88 ,2433226.69    ,    2.997814    ,50 
AZ    Cet ,RRAB      ,13.5  ,14.5  ,2443425.478   ,    0.5488      ,12 
BB    Cet ,ACV       , 6.63 , 6.64 ,2442620.629   ,    1.4788      ,30 
del   Cet ,BCEP      , 4.05 , 4.10 ,2438338.4763  ,    0.16113668  ,   
omi   Cet ,M         , 2.0  ,10.1  ,2444839.      ,  331.96        ,38 
