S     CrB ,M         , 5.8  ,14.1  ,2444604.      ,  360.26        ,35 
T     CrB ,NR        , 2.0  ,10.8  ,2431860.      ,29000.          ,   
U     CrB ,EA/SD     , 7.66 , 8.79 ,2416747.9718  ,    3.45220133  ,14 
V     CrB ,M         , 6.9  ,12.6  ,2443763.      ,  357.63        ,41 
W     CrB ,M         , 7.8  ,14.3  ,2444192.      ,  238.40        ,45 
X     CrB ,M         , 8.5  ,14.2  ,2443719.      ,  241.17        ,46 
Z     CrB ,M         , 8.8  ,15.5  ,2442514.      ,  250.68        ,42 
RS    CrB ,SRA       , 8.7  ,11.6  ,2434825.      ,  332.2         ,47 
RT    CrB ,EA/AR:/RS ,10.20 ,10.82 ,2428273.243   ,    5.1171590   ,08 
RU    CrB ,SRA       ,10.6  ,11.7  ,2425812.      ,  436.          ,52 
RV    CrB ,RRC       ,11.14 ,11.70 ,2442926.334   ,    0.331565    ,36 
RW    CrB ,EA/SD:    ,10.22 ,10.78 ,2440751.7302  ,    0.7264114   ,20 
RY    CrB ,SRB       , 9.2  ,10.4  ,2431344.      ,   90.          ,52 
SU    CrB ,RRAB      ,13.4  ,14.8  ,2427666.394   ,    0.5730086   ,10 
SZ    CrB ,RRAB      ,12.5  ,14.0  ,2436288.5371  ,    0.448619    ,10 
TU    CrB ,EA/SD:    ,12.8  ,13.6  ,2436322.550   ,    1.6136929   ,   
TV    CrB ,RRAB      ,10.6  ,12.2  ,2431618.537   ,    0.5846145   ,15 
TW    CrB ,EB/KE     ,10.5  ,11.3  ,2437898.3681  ,    0.58887327  ,   
TZ    CrB ,RS+DSCT:  , 5.69 , 5.74,2423869.561   ,    1.139789    ,   
alf   CrB ,EA/DM     , 2.21 , 2.32 ,2423163.770   ,   17.359907    ,03 
bet   CrB ,ACV       , 3.65 , 3.72 ,2440335.0     ,   18.487       ,   
