R     Lyn ,M         , 7.2  ,14.3  ,2445175.      ,  378.75        ,44 
S     Lyn ,M         , 8.5  ,14.8  ,2444966.      ,  296.34        ,45 
T     Lyn ,M         , 8.8  ,13.5  ,2443200.      ,  406.0         ,47 
U     Lyn ,M         , 8.8  ,15.0  ,2445111.      ,  433.6         ,42 
W     Lyn ,M         , 7.5  ,14.0  ,2442050.      ,  295.2         ,   
X     Lyn ,M         , 9.5  ,16.   ,2445045.      ,  320.8         ,   
RR    Lyn ,EA/DM     , 5.52 , 6.03 ,2433153.8623  ,    9.945079    ,04 
RS    Lyn ,SR        ,10.2  ,11.6  ,2426790.      ,  285.          ,   
RT    Lyn ,M         ,10.5  ,13.   ,2437691.      ,  394.6         ,   
RU    Lyn ,M         ,11.0  ,16.0  ,2438377.      ,  243.47        ,   
RV    Lyn ,EA/SD     ,13.0  ,15.6  ,2429556.8163  ,    2.30751     ,10 
RW    Lyn ,RRAB      ,12.18 ,13.60 ,2425981.503   ,    0.498567    ,15 
RX    Lyn ,SRA       ,11.1  ,13.3  ,2434442.      ,  145.3         ,   
RY    Lyn ,EA/SD     ,11.4  ,13.3  ,2442887.443   ,    1.434988    ,10 
RZ    Lyn ,EB/KE     ,10.6  ,11.3  ,2425643.310   ,    1.146918    ,   
SW    Lyn ,EA/DW     , 9.51 ,10.20 ,2443975.390   ,    0.6440634   ,12 
SX    Lyn ,EA/SD     ,10.0  ,11.4  ,2445439.424   ,    2.0224715   ,10 
SY    Lyn ,SR        ,10.7  ,12.9  ,2425938.      ,   79.02        ,   
SZ    Lyn ,DSCT      , 9.08 , 9.72 ,2438124.39824 ,    0.120534920 ,30 
TT    Lyn ,RRAB      , 9.42 ,10.21 ,2436651.3560  ,    0.597434355 ,17 
TU    Lyn ,EA/GS:    ,11.4  ,11.8  ,2425912.523   ,   38.9461      ,04 
TV    Lyn ,RRC       ,11.24 ,11.66 ,2440950.922   ,    0.24065119  ,42 
TW    Lyn ,RRAB      ,11.0  ,12.3  ,2445022.458   ,    0.481860    ,17 
TY    Lyn ,EA/SD:    ,10.0  ,10.8  ,2426024.325   ,    4.331655    ,10 
TZ    Lyn ,ACV       , 6.65 , 6.79 ,2437311.12    ,    6.80054     ,56 
UU    Lyn ,EB/DM     ,11.54 ,12.33 ,2444674.0481  ,    0.46846016  ,   
UV    Lyn ,EW/KW     , 9.41 , 9.81 ,2440271.5032  ,    0.41498088  ,   
