S     Lyr ,M         , 9.8  ,15.6  ,2442924.      ,  438.40        ,40 
U     Lyr ,M         , 8.3  ,13.5  ,2442492.      ,  451.72        ,52 
V     Lyr ,M         , 8.2  ,15.7  ,2445209.      ,  373.53        ,33 
W     Lyr ,M         , 7.3  ,13.0  ,2445084.      ,  197.88        ,48 
Y     Lyr ,RRAB      ,12.58 ,13.90 ,2415020.2535  ,    0.50269589  ,14 
Z     Lyr ,M         , 9.2  ,15.3  ,2445266.      ,  291.70        ,49 
RR    Lyr ,RRAB      , 7.06 , 8.12 ,2442923.4193  ,    0.56686776  ,19 
RS    Lyr ,M         , 9.2  ,15.8  ,2442919.      ,  301.41        ,48 
RT    Lyr ,M         , 9.1  ,15.2  ,2445119.      ,  253.70        ,45 
RU    Lyr ,M         , 9.5  ,15.9  ,2445121.      ,  371.84        ,45 
RV    Lyr ,EA/SD     ,11.5  ,14.6  ,2445526.431   ,    3.599050    ,12 
RW    Lyr ,M         , 9.8  ,16.0  ,2444486.      ,  503.75        ,38 
RX    Lyr ,M         ,10.9  ,16.0  ,2444585.      ,  247.82        ,45 
RY    Lyr ,M         , 9.0  ,15.6  ,2445306.      ,  325.79        ,40 
RZ    Lyr ,RRAB      ,10.6  ,12.03 ,2441183.426   ,    0.5112423   ,14 
SS    Lyr ,M         , 8.4  ,14.0  ,2445090.      ,  346.33        ,   
ST    Lyr ,M         ,10.6  ,18.   ,2444433.      ,  300.5         ,   
SU    Lyr ,M         ,12.9  ,17.0  ,2440795.      ,  417.79        ,   
SV    Lyr ,M         ,12.1  ,15.   ,2438937.      ,  301.3         ,44 
SW    Lyr ,M:        ,13.   ,15.   ,2413868.      ,  225.          ,   
SX    Lyr ,M         ,12.1  ,15.   ,2427982.      ,  279.3         ,   
SZ    Lyr ,SRA       ,10.3  ,12.5  ,2432121.      ,  133.1         ,43 
TT    Lyr ,EA/SD     , 9.34 ,11.43 ,2438605.2644  ,    5.243727    ,14 
TV    Lyr ,M         ,10.0  ,13.9  ,2438439.      ,  262.31        ,   
TW    Lyr ,M         , 9.5  ,14.9  ,2443039.      ,  376.71        ,   
TX    Lyr ,M         ,10.4  ,13.   ,2438231.      ,  223.35        ,   
TY    Lyr ,M         , 9.0  ,14.6  ,2442677.      ,  333.71        ,35 
TZ    Lyr ,EB/D      ,10.87 ,11.85 ,2444784.4093  ,    0.5288269   ,   
UU    Lyr ,M         ,11.5  ,16.1  ,2437945.      ,  248.          ,   
UV    Lyr ,M         ,11.0  ,17.3  ,2442341.      ,  235.2         ,46 
UW    Lyr ,M         ,12.3  ,18.5  ,2442505.      ,  233.34        ,30 
UX    Lyr ,RRAB      ,14.47 ,15.39 ,2440381.88    ,    0.5273741   ,10 
UZ    Lyr ,EA/SD     , 9.9  ,11.0  ,2443689.9415  ,    1.8912727   ,15 
VX    Lyr ,M         ,11.4  ,17.0  ,2425344.      ,  294.          ,53 
VZ    Lyr ,M         ,12.   ,16.   ,2428052.      ,  246.4         ,   
WW    Lyr ,RRAB      ,13.0  ,14.1  ,2435019.353   ,    0.51576489  ,17 
WX    Lyr ,M         ,14.5  ,17.8  ,2444803.      ,  246.2         ,   
WY    Lyr ,M         ,11.   ,15.   ,2425258.      ,  281.7         ,   
WZ    Lyr ,M         ,10.6  ,15.   ,2444568.      ,  376.64        ,   
XZ    Lyr ,M         ,12.5  ,17.   ,2429844.      ,  281.8         ,   
YY    Lyr ,SRA       ,12.6  ,15.4  ,2425122.      ,  136.6         ,50 
ZZ    Lyr ,RRAB      ,13.2  ,14.3  ,2429051.444   ,    0.446833    ,41 
AA    Lyr ,EB/SD     ,13.4  ,14.0  ,2429733.583   ,    1.073329    ,   
AB    Lyr ,M         ,11.   ,15.   ,2439212.      ,  216.5         ,   
AC    Lyr ,M         ,13.2  ,17.6  ,2442684.      ,  181.0         ,48 
AD    Lyr ,M         ,12.   ,16.   ,2429300.      ,  190.7         ,   
AE    Lyr ,SR        , 9.3  ,11.2  ,2429234.      ,   57.8         ,48 
AF    Lyr ,M         ,13.9  ,17.   ,2425428.      ,  222.8         ,   
AH    Lyr ,EB/SD     ,12.0  ,13.0  ,2427845.436   ,    1.0307101   ,   
AI    Lyr ,M         ,11.2  ,17.2  ,2442583.      ,  236.98        ,40 
AK    Lyr ,EA/SD     ,12.8  ,14.1  ,2427902.604   ,    2.0854648   ,18 
AL    Lyr ,CWA       ,11.76 ,12.8  ,2436862.05    ,   12.9916      ,50 
AM    Lyr ,M         ,13.7  ,19.   ,2435326.      ,  348.3         ,   
AN    Lyr ,M         ,11.0  ,17.   ,2437872.      ,  224.2         ,48 
AO    Lyr ,M         ,11.5  ,17.2  ,2432097.      ,  293.          ,45 
AP    Lyr ,SR        ,12.   ,14.   ,2426725.      ,  180.          ,   
AQ    Lyr ,RRAB      ,12.3  ,13.51 ,2435695.098   ,    0.3571424   ,16 
AR    Lyr ,SR        ,13.5  ,15.3  ,2429193.      ,  260.          ,   
AS    Lyr ,M         ,13.1  ,16.0  ,2425407.      ,  327.          ,51 
AU    Lyr ,M         ,13.6  ,17.   ,2425390.      ,  350.          ,   
AW    Lyr ,RRAB      ,13.0  ,14.1  ,2425331.636   ,    0.497447    ,16 
AX    Lyr ,M         ,12.6  ,17.5  ,2431597.      ,  250.7         ,48 
AZ    Lyr ,SR        ,14.2  ,16.4  ,2425493.      ,  243.7         ,40 
BB    Lyr ,M         ,14.0  ,17.   ,2425307.      ,  322.7         ,   
BC    Lyr ,M         ,13.5  ,16.5  ,2425305.      ,  251.          ,   
BD    Lyr ,M         ,13.5  ,16.5  ,2429365.      ,  298.          ,   
BE    Lyr ,M         ,12.3  ,17.   ,2425281.      ,  276.5         ,   
BF    Lyr ,SR        ,14.4  ,16.2  ,2429126.      ,  106.          ,   
BG    Lyr ,M         ,13.7  ,19.   ,2425361.      ,  306.          ,   
BH    Lyr ,RRAB      ,13.6  ,14.6  ,2437164.365   ,    0.6128864   ,12 
BI    Lyr ,M         ,12.0  ,16.5  ,2425303.      ,  249.8         ,   
BK    Lyr ,M         ,11.7  ,16.9  ,2425412.      ,  251.          ,37 
BL    Lyr ,M         ,11.5  ,16.9  ,2442586.      ,  279.07        ,17 
BM    Lyr ,M         ,12.7  ,16.4  ,2425402.      ,  155.          ,43 
BN    Lyr ,EA/SD     ,14.7  ,16.4  ,2425331.658   ,    2.282287    ,   
BO    Lyr ,M         ,14.0  ,19.   ,2425519.      ,  245.          ,   
BP    Lyr ,M         ,12.5  ,16.5  ,2425441.      ,  319.3         ,   
BQ    Lyr ,RRAB      ,13.2  ,14.1  ,2429436.470   ,    0.435040    ,23 
BR    Lyr ,M         ,13.0  ,17.0  ,2425496.      ,  216.2         ,41 
BS    Lyr ,M         ,13.7  ,17.   ,2425321.      ,  326.          ,   
BT    Lyr ,M         ,12.5  ,16.9  ,2433843.      ,  167.3         ,   
BV    Lyr ,EA        ,12.1  ,12.8  ,2432881.235   ,    1.8296477   ,13 
BW    Lyr ,SRA       ,13.8  ,15.5  ,2435021.4     ,   81.13        ,   
BX    Lyr ,M         ,13.5  ,20.   ,2435277.      ,  320.7         ,   
BY    Lyr ,SRB       ,14.7  ,15.7  ,2435078.      ,  107.4         ,58 
BZ    Lyr ,M         ,13.3  ,17.   ,2437863.      ,  292.2         ,   
CC    Lyr ,CWA       ,11.65 ,12.45 ,2444045.09    ,   24.16        ,21 
CD    Lyr ,EA/SD     ,14.7  ,16.9  ,2425323.649   ,    4.832198    ,09 
CE    Lyr ,M         ,11.7  ,14.5  ,2425772.      ,  318.          ,   
CG    Lyr ,RRAB      ,12.9  ,14.1  ,2425389.423   ,    0.5089557   ,20 
CH    Lyr ,M         ,14.1  ,20.   ,2425518.      ,  254.          ,   
CI    Lyr ,RRAB      ,13.6  ,14.7  ,2436353.198   ,    0.469206    ,20 
CK    Lyr ,M         ,13.0  ,16.7  ,2425496.      ,  343.          ,46 
CL    Lyr ,RRAB      ,13.8  ,15.5  ,2429322.643   ,    0.490753    ,15 
CN    Lyr ,RRAB      ,11.07 ,11.76 ,2444486.3338  ,    0.41138232  ,22 
