T     Mon ,DCEP      , 5.58 , 6.62 ,2443784.615   ,   27.024649    ,27 
U     Mon ,RVB       , 6.1  , 8.8  ,2438496.      ,   91.32        ,22 
V     Mon ,M         , 6.0  ,13.9  ,2444972.      ,  340.5         ,46 
X     Mon ,SRA       , 6.8  ,10.2  ,2442446.      ,  155.8         ,51 
Y     Mon ,M         , 8.6  ,14.9  ,2440637.      ,  227.9         ,49 
RR    Mon ,M         , 8.4  ,15.8  ,2440290.      ,  394.70        ,39 
RS    Mon ,M         , 9.82 ,12.7  ,2438703.      ,  263.79        ,   
RU    Mon ,EA/DM     ,10.33 ,11.18 ,2441743.1947  ,    3.584749    ,06 
RW    Mon ,EA/SD     , 9.26 ,11.51 ,2433680.4481  ,    1.90609412  ,15 
RX    Mon ,M         , 9.6  ,13.0  ,2435800.      ,  345.7         ,   
RY    Mon ,SRA       , 7.5  , 9.2  ,2427440.      ,  455.7         ,43 
RZ    Mon ,M         ,13.0  ,18.0  ,2437622.      ,  278.2         ,   
ST    Mon ,M         ,11.3  ,16.7  ,2435127.      ,  397.5         ,35 
SV    Mon ,DCEP      , 7.61 , 8.88 ,2443794.338   ,   15.232780    ,38 
SY    Mon ,M         , 9.6  ,17.0  ,2438438.      ,  422.17        ,   
SZ    Mon ,RVA       , 9.66 ,10.75 ,2440550.0     ,   32.685       ,   
TT    Mon ,M         , 8.0  ,13.5  ,2438323.      ,  323.17        ,   
TU    Mon ,EA/SD     , 9.0  ,11.7  ,2434068.1230  ,    5.0490291   ,15 
TV    Mon ,EA/SD     ,12.0  ,13.9  ,2444225.475   ,    4.179742    ,10 
TW    Mon ,CEP       ,13.6  ,14.4  ,2425301.979   ,    7.0969      ,32 
TX    Mon ,DCEP      ,10.67 ,11.36 ,2435838.977   ,    8.701731    ,36 
TY    Mon ,DCEP      ,12.5  ,13.4  ,2431901.142   ,    4.0226946   ,30 
TZ    Mon ,DCEP      ,10.43 ,11.18 ,2437633.801   ,    7.42818     ,30 
UU    Mon ,EA/SD     ,12.8  ,14.1  ,2432939.433   ,    1.04981616  ,26 
UV    Mon ,RR:       ,12.9  ,14.0  ,2432965.359   ,    0.4156799   ,30 
UW    Mon ,RRAB      ,13.1  ,14.3  ,2430344.404   ,    0.58236414  ,20 
UX    Mon ,EA+DSCT:  , 8.22 , 9.16 ,2433328.8533  ,    5.9045505   ,17 
UY    Mon ,DCEPS     , 9.22 , 9.62 ,2444681.34    ,    2.39813     ,43 
UZ    Mon ,M         ,11.7  ,16.0  ,2436251.      ,  272.9         ,44 
