R     Mus ,DCEP      , 5.93 , 6.73 ,2426496.288   ,    7.510211    ,30 
S     Mus ,DCEP      , 5.89 , 6.49 ,2440299.42    ,    9.66007     ,49 
U     Mus ,M         ,10.5  ,14.0  ,2413323.      ,  356.          ,   
RT    Mus ,DCEP      , 8.57 , 9.32 ,2443290.39    ,    3.086131    ,27 
RY    Mus ,RRAB      ,15.2  ,16.3  ,2442478.773   ,    0.750101    ,12 
RZ    Mus ,M         ,13.0  ,16.2  ,2426166.      ,  333.7         ,   
ST    Mus ,RRAB      ,14.3  ,15.4  ,2438536.278   ,    0.4633682   ,13 
SY    Mus ,ZAND      ,10.2  ,12.7  ,2436460.      ,  621.8         ,   
TT    Mus ,EA/SD:    ,11.9  ,12.7  ,2423995.242   ,    3.53479     ,17 
TU    Mus ,EB/KE     , 8.17 , 8.75 ,2441699.8270  ,    1.3872833   ,   
TV    Mus ,EW/KW     ,11.0  ,11.3  ,2424161.9711  ,    0.4457010   ,   
TW    Mus ,EW/KW     ,12.0  ,12.4  ,2424260.344   ,    0.4179484   ,   
TX    Mus ,RRAB      ,12.4  ,12.8  ,2424260.264   ,    0.473226    ,20 
TY    Mus ,M         ,11.9  ,14.5  ,2423950.      ,  173.          ,   
TZ    Mus ,DCEP      ,11.16 ,12.12 ,2424259.37    ,    4.944885    ,27 
UU    Mus ,DCEP      , 9.13 ,10.28 ,2436208.270   ,   11.63641     ,37 
UV    Mus ,EA/SD     ,10.2  ,11.4  ,2423943.338   ,    2.003273    ,15 
UW    Mus ,EA/SD     ,11.7  ,12.8  ,2423977.27    ,    6.2886      ,14 
UX    Mus ,DCEP      ,13.8  ,14.5  ,2426479.44    ,    7.14220     ,15 
UY    Mus ,EB/SD     ,11.7  ,13.0  ,2424293.41    ,    0.56244     ,   
UZ    Mus ,EA/SD     ,12.0  ,13.7  ,2423945.32    ,    2.4620      ,14 
VW    Mus ,EA/DM     ,13.5  ,14.1  ,2424776.888   ,    3.705654    ,11 
VX    Mus ,EA/SD:    ,11.0  ,11.7  ,2424775.073   ,    3.11175     ,18 
VY    Mus ,M         ,14.0  ,16.5  ,2425430.      ,  194.6         ,   
WW    Mus ,M         ,13.8  ,16.5  ,2426150.      ,  246.0         ,   
WX    Mus ,RRAB      ,14.4  ,16.0  ,2425434.26    ,    0.5742      ,   
WY    Mus ,RRAB      ,13.7  ,15.4  ,2424173.06    ,    0.60562     ,33 
WZ    Mus ,M         ,14.5  ,16.5  ,2426150.      ,  241.8         ,   
XY    Mus ,SRB       ,12.0  ,13.3  ,2426030.      ,  193.          ,   
XZ    Mus ,SR        ,11.2  ,14.0  ,2423960.      ,  111.          ,   
YZ    Mus ,M:        ,14.6  ,16.5  ,2426000.      ,  238.          ,   
ZZ    Mus ,M         ,13.3  ,16.5  ,2426060.      ,  213.          ,   
AA    Mus ,M         ,14.0  ,16.5  ,2425440.      ,  278.7         ,   
AB    Mus ,EA/SD     ,12.8  ,14.5  ,2425412.365   ,    0.96494     ,20 
AC    Mus ,RRAB      ,13.4  ,15.0  ,2425379.36    ,    0.51578     ,33 
AD    Mus ,M:        ,15.1  ,16.5  ,2426110.      ,  230.          ,   
AE    Mus ,SR        ,12.0  ,14.4  ,2426030.      ,  169.          ,   
AF    Mus ,M:        ,14.7  ,16.5  ,2425670.      ,  174.2         ,   
AG    Mus ,EA/SD     ,13.1  ,15.2  ,2438527.719   ,    3.168478    ,11 
AH    Mus ,M         ,13.6  ,16.5  ,2426145.      ,  369.          ,   
