R     Peg ,M         , 6.9  ,13.8  ,2442444.      ,  378.1         ,44 
S     Peg ,M         , 6.9  ,13.8  ,2445311.      ,  319.22        ,47 
T     Peg ,M         , 8.4  ,15.4  ,2445159.      ,  379.4         ,49 
U     Peg ,EW/KW     , 9.23 ,10.07 ,2436511.66823 ,    0.374781439 ,   
V     Peg ,M         , 7.0  ,15.0  ,2444506.      ,  302.35        ,44 
W     Peg ,M         , 7.6  ,13.0  ,2444873.      ,  345.5         ,46 
X     Peg ,M         , 8.8  ,14.4  ,2445244.      ,  201.2         ,50 
Y     Peg ,M         , 8.9  ,16.0  ,2443038.      ,  206.93        ,46 
Z     Peg ,M         , 7.3  ,13.6  ,2445090.      ,  334.8         ,50 
RR    Peg ,M         , 8.5  ,14.9  ,2445290.      ,  264.05        ,43 
RS    Peg ,M         , 8.2  ,14.7  ,2445161.      ,  415.4         ,45 
RT    Peg ,M         , 9.4  ,15.4  ,2445599.      ,  215.0         ,44 
RV    Peg ,M         , 9.0  ,15.5  ,2442049.      ,  396.8         ,38 
RW    Peg ,M         , 8.8  ,14.6  ,2445457.      ,  208.43        ,48 
RZ    Peg ,M         , 7.6  ,13.6  ,2445248.      ,  438.7         ,44 
SS    Peg ,M         , 8.0  ,13.6  ,2445177.      ,  424.8         ,   
SU    Peg ,M         , 8.1  ,11.5  ,2426610.      ,  198.4         ,   
SW    Peg ,M         , 8.0  ,14.0  ,2438750.      ,  396.33        ,42 
SX    Peg ,M         , 9.7  ,15.   ,2445186.      ,  303.6         ,43 
TT    Peg ,SRA       , 9.3  ,11.2  ,2437178.      ,  154.          ,   
TU    Peg ,M         , 8.2  ,14.6  ,2445137.      ,  321.6         ,45 
TV    Peg ,M         , 9.   ,14.   ,2438550.      ,  247.10        ,   
TY    Peg ,EA/SD     ,10.1  ,12.0  ,2440451.784   ,    3.092220    ,14 
TZ    Peg ,M         ,10.1  ,14.0  ,2438647.      ,  211.9         ,47 
UU    Peg ,M         ,11.1  ,14.   ,2434612.      ,  456.5         ,   
UX    Peg ,EA/SD     ,10.7  ,12.0  ,2440425.479   ,    1.544617    ,14 
VV    Peg ,RRAB      ,11.13 ,12.31 ,2439389.474   ,    0.4883871   ,13 
VW    Peg ,EA        , 9.9  ,10.6  ,2417815.560   ,    1.170648    ,12 
