R     Sco ,M         , 9.8  ,15.5  ,2444678.      ,  224.61        ,46 
S     Sco ,M         , 9.5  ,15.5  ,2441463.      ,  177.92        ,50 
W     Sco ,M         ,10.5  ,15.4  ,2439162.      ,  221.27        ,47 
X     Sco ,M         ,10.2  ,15.0  ,2439135.      ,  199.86        ,50 
Y     Sco ,M:        ,10.9  ,15.0  ,2434531.      ,  351.88        ,45 
Z     Sco ,M         , 8.7  ,13.4  ,2441750.      ,  343.03        ,49 
RR    Sco ,M         , 5.0  ,12.4  ,2445418.      ,  281.45        ,47 
RS    Sco ,M         , 6.2  ,13.0  ,2444676.      ,  319.91        ,42 
RT    Sco ,M         , 7.0  ,15.2  ,2439252.      ,  449.04        ,41 
RU    Sco ,M         , 7.8  ,13.7  ,2439980.      ,  370.75        ,54 
RV    Sco ,DCEP      , 6.61 , 7.49 ,2434925.38    ,    6.06133     ,24 
RW    Sco ,M         , 8.8  ,15.5  ,2439078.      ,  388.45        ,40 
RX    Sco ,M         ,11.2  ,16.   ,2440838.      ,  235.7         ,40 
RY    Sco ,DCEP      , 7.51 , 8.44 ,2428256.45    ,   20.31322     ,37 
RZ    Sco ,M         , 8.0  ,12.8  ,2444698.      ,  156.60        ,45 
SV    Sco ,M         , 8.7  ,14.9  ,2439606.      ,  262.0         ,49 
SW    Sco ,M         ,10.8  ,13.0  ,2428410.      ,  260.86        ,   
SY    Sco ,M         ,10.5  ,15.0  ,2429458.      ,  234.9         ,   
SZ    Sco ,M         ,11.1  ,13.0  ,2430110.      ,  320.86        ,   
TU    Sco ,M         ,10.1  ,13.0  ,2434906.      ,  373.04        ,   
TW    Sco ,M         ,12.8  ,15.0  ,2440783.      ,  199.8         ,40 
TY    Sco ,M         ,12.8  ,15.0  ,2413700.      ,  291.          ,   
TZ    Sco ,M         ,13.0  ,15.0  ,2440409.      ,  205.0         ,   
UU    Sco ,RRC       ,12.5  ,13.4  ,2440060.240   ,    0.36533     ,20 
UX    Sco ,SRA       ,12.5  ,14.5  ,2440706.      ,  201.8         ,40 
UY    Sco ,M:        ,12.9  ,14.9  ,2423572.      ,  151.3         ,   
VW    Sco ,M         ,14.3  ,16.   ,2423572.      ,  257.6         ,   
VY    Sco ,M         ,13.0  ,15.5  ,2440350.      ,  245.          ,   
VZ    Sco ,M         ,11.0  ,15.5  ,2440784.      ,  217.7         ,30 
WW    Sco ,M         ,10.6  ,14.7  ,2419944.      ,  431.          ,   
WY    Sco ,CEP       ,13.2  ,14.5  ,2440737.140   ,   12.9191      ,40 
WZ    Sco ,M         ,13.3  ,16.   ,2440670.      ,  161.67        ,30 
XZ    Sco ,M:        ,13.   ,16.   ,2416240.      ,  300.          ,   
YY    Sco ,M         ,10.4  ,17.0  ,2436395.      ,  327.43        ,   
ZZ    Sco ,M         ,12.0  ,17.0  ,2443995.      ,  209.3         ,   
AB    Sco ,EB:/D:    ,12.5  ,13.0  ,2429844.18    ,   10.636       ,   
AD    Sco ,M         ,13.8  ,16.5  ,2424340.      ,  227.4         ,   
AE    Sco ,M         ,12.2  ,16.4  ,2424730.      ,  174.5         ,   
AG    Sco ,M         ,13.2  ,16.8  ,2424680.      ,  163.2         ,   
AH    Sco ,SRC       , 8.1  ,12.0  ,2429769.      ,  713.6         ,46 
AL    Sco ,EA/SD     ,11.2  ,13.5  ,2425086.135   ,    1.532249    ,14 
AR    Sco ,DSCT      ,14.1  ,14.6  ,2444025.413   ,    0.1485354   ,40 
AT    Sco ,SRA       ,12.9  ,15.2  ,2440713.      ,  130.1         ,   
AU    Sco ,RRAB      ,13.5  ,14.5  ,2440764.238   ,    0.63368780  ,20 
BB    Sco ,M         ,12.8  ,17.0  ,2424650.      ,  182.5         ,   
BC    Sco ,M         ,13.9  ,17.0  ,2424730.      ,  146.3         ,   
BD    Sco ,M         ,12.6  ,16.5  ,2423550.      ,  305.          ,   
BF    Sco ,RR        ,13.7  ,15.4  ,2424623.700   ,    0.4244      ,   
BH    Sco ,SR        ,14.   ,15.50,2424988.      ,  153.          ,   
BI    Sco ,M         ,14.2  ,17.5  ,2424710.      ,  151.4         ,   
BK    Sco ,M         ,10.4  ,15.0  ,2433044.      ,  197.7         ,   
BL    Sco ,M         ,11.0  ,17.0  ,2429550.      ,  396.3         ,   
BN    Sco ,M         ,12.5  ,16.   ,2427910.      ,  616.          ,   
BS    Sco ,EA/SD     ,11.5  ,13.2  ,2439301.468   ,    7.6223759   ,10 
BT    Sco ,RRAB      ,13.0  ,13.6  ,2429440.320   ,    0.5486875   ,21 
BY    Sco ,M         ,14.   ,17.   ,2440760.      ,  245.1         ,   
CF    Sco ,EW        ,13.3  ,13.8  ,2440396.4521  ,    0.4835616   ,   
CK    Sco ,M         ,13.5  ,16.5  ,2424680.      ,  283.          ,   
CM    Sco ,M         ,13.8  ,16.   ,2423909.      ,  292.          ,   
CN    Sco ,SR        ,15.   ,16.5  ,2413805.      ,  210.          ,   
CQ    Sco ,CWA       ,11.94 ,13.00 ,2444151.19    ,   30.447       ,36 
CR    Sco ,M         ,12.9  ,16.7  ,2431227.      ,  266.          ,   
DK    Sco ,M         ,13.7  ,16.5  ,2424680.      ,  115.3         ,   
DQ    Sco ,RR        ,15.9  ,16.5  ,2424654.750   ,    0.4146      ,   
EF    Sco ,RRAB      ,14.8  ,16.2  ,2424699.690   ,    0.6056      ,   
EG    Sco ,M         ,13.9  ,16.5  ,2424640.      ,  227.5         ,   
EH    Sco ,M         ,14.0  ,16.5  ,2423910.      ,  217.2         ,   
EP    Sco ,M         ,14.0  ,16.5  ,2424700.      ,  240.7         ,   
EV    Sco ,M         ,13.7  ,16.5  ,2424730.      ,  350.          ,   
EX    Sco ,M         ,13.6  ,16.5  ,2424690.      ,  181.5         ,   
EZ    Sco ,M         ,13.8  ,16.5  ,2424370.      ,  220.6         ,   
FG    Sco ,SR        ,14.4  ,16.6  ,2424700.      ,  127.9         ,   
FI    Sco ,M         ,14.4  ,16.5  ,2424640.      ,  200.3         ,   
FM    Sco ,M         ,13.6  ,16.5  ,2424760.      ,  267.7         ,   
FO    Sco ,M         ,13.5  ,17.0  ,2428680.      ,  231.6         ,   
FR    Sco ,M         ,14.0  ,17.0  ,2428790.      ,  202.          ,   
FS    Sco ,M         ,14.4  ,16.5  ,2426480.      ,  262.5         ,   
FT    Sco ,EA/DS     ,13.8  ,16.5  ,2424646.760   ,    9.5872      ,09 
FU    Sco ,EA/DM     ,12.0  ,12.8  ,2426586.250   ,   11.2682      ,06 
FV    Sco ,EA/DM     , 7.95 , 8.72 ,2442954.0424  ,    5.7278964   ,13 
FW    Sco ,M         ,14.2  ,17.0  ,2426460.      ,  339.3         ,   
FX    Sco ,M         ,12.0  ,16.4  ,2426130.      ,  264.          ,   
FY    Sco ,M:        ,15.3  ,16.5  ,2426500.      ,  266.          ,   
