R     Ser ,M         , 5.16 ,14.4  ,2445521.      ,  356.41        ,41 
S     Ser ,M         , 7.0  ,14.1  ,2445433.      ,  371.84        ,43 
T     Ser ,M         , 9.1  ,15.5  ,2445509.      ,  338.12        ,47 
U     Ser ,M         , 7.8  ,14.7  ,2445652.      ,  237.50        ,48 
V     Ser ,EB/SD     , 9.50 ,10.50 ,2429936.459   ,    3.453551    ,   
W     Ser ,EA/GS     , 8.42 ,10.20 ,2426625.493   ,   14.15486     ,20 
Y     Ser ,SRA       , 8.43 , 9.75 ,2427514.      ,  432.7         ,   
Z     Ser ,SRA       , 9.4  ,10.9  ,2423204.      ,   87.57        ,   
RS    Ser ,EW/DW     ,10.8  ,11.5  ,2434921.838   ,    0.598140369 ,   
RU    Ser ,M         ,11.6  ,13.8  ,2432685.      ,  280.0         ,   
RV    Ser ,M         ,12.0  ,17.0  ,2426592.      ,  269.9         ,   
RX    Ser ,M         ,13.3  ,17.3  ,2444060.      ,  219.6         ,   
RZ    Ser ,M         ,14.2  ,17.3  ,2443700.      ,  200.0         ,   
SV    Ser ,M         ,11.0  ,16.0  ,2423930.      ,  373.          ,   
SY    Ser ,M         ,14.3  ,16.8  ,2443698.      ,  211.3         ,20 
TZ    Ser ,CWA       ,13.5  ,15.5  ,2442637.372   ,   21.07467     ,40 
UY    Ser ,M         ,14.5  ,17.7  ,2442960.      ,  204.22        ,   
VW    Ser ,M         ,14.7  ,17.0  ,2442630.      ,  184.          ,50 
VX    Ser ,M         ,12.6  ,17.0  ,2442900.      ,  210.          ,45 
VY    Ser ,RRAB      , 9.73 ,10.46 ,2431225.341   ,    0.71409384  ,20 
VZ    Ser ,M         ,13.6  ,16.   ,2425490.      ,  236.2         ,   
WW    Ser ,M         ,11.4  ,15.8  ,2440739.      ,  365.8         ,   
WX    Ser ,M         ,12.   ,16.   ,2433365.      ,  425.1         ,   
WY    Ser ,M         ,11.9  ,15.0  ,2426160.      ,  399.          ,   
WZ    Ser ,M         ,14.1  ,16.4  ,2425883.      ,  193.          ,   
XX    Ser ,SRA       ,11.5  ,13.3  ,2426103.      ,  171.2         ,40 
XY    Ser ,M         ,11.7  ,15.6  ,2425414.      ,  166.          ,   
XZ    Ser ,SR        ,12.6  ,14.6  ,2425437.      ,  165.          ,   
YY    Ser ,M         ,14.4  ,20.   ,2425495.      ,  250.          ,   
YZ    Ser ,M         ,13.4  ,15.8  ,2425450.      ,  420.          ,   
AA    Ser ,DCEP      ,11.74 ,12.64 ,2444039.34    ,   17.1412      ,37 
AB    Ser ,SR        ,11.8  ,13.2  ,2427623.      ,   69.6         ,   
AD    Ser ,M         ,13.5  ,16.   ,2425835.      ,  175.4         ,   
AE    Ser ,M         ,13.2  ,16.   ,2425835.      ,  264.8         ,   
AG    Ser ,M:        ,13.0  ,17.0  ,2436453.      ,  402.4         ,   
AH    Ser ,M         ,10.0  ,13.7  ,2436682.      ,  283.5         ,   
