R     Sge ,RVB       , 8.0  ,10.4  ,2443830.      ,   70.770       ,   
S     Sge ,DCEP      , 5.24 , 6.04 ,2442678.792   ,    8.382086    ,31 
U     Sge ,EA/SD     , 6.45 , 9.28 ,2417130.4114  ,    3.38061933  ,17 
V     Sge ,E+NL      , 8.6  ,13.9  ,2437889.9154  ,    0.514195    ,   
W     Sge ,M         , 8.8  ,14.4  ,2444423.      ,  278.26        ,   
X     Sge ,SR        , 7.0  , 9.7  ,2425648.      ,  196.          ,50 
Y     Sge ,M         ,13.6  ,16.2  ,2425164.      ,  146.          ,   
Z     Sge ,SRA       ,13.5  ,15.7  ,2439720.      ,  190.8         ,55 
RR    Sge ,M         ,13.5  ,16.   ,2426970.      ,  250.          ,   
RS    Sge ,RVB+EA    ,11.7  ,15.9  ,2444861.      ,   82.395       ,   
RT    Sge ,M         ,12.6  ,16.2  ,2430498.      ,  299.28        ,   
RU    Sge ,M         ,14.1  ,17.0  ,2431022.      ,  256.0         ,   
RV    Sge ,M         ,13.5  ,17.0  ,2430986.      ,  289.3         ,   
RW    Sge ,M         ,13.0  ,16.4  ,2436843.      ,  444.9         ,   
RX    Sge ,M         ,13.0  ,16.5  ,2424026.      ,  439.          ,   
RY    Sge ,M         ,13.2  ,17.2  ,2429408.      ,  333.          ,   
ST    Sge ,M         ,10.0  ,14.9  ,2445691.      ,  192.31        ,42 
SU    Sge ,SRA       ,14.0  ,16.   ,2433207.      ,  240.          ,   
SW    Sge ,M         ,13.0  ,16.1  ,2430562.      ,  301.2         ,   
SX    Sge ,M         ,12.3  ,16.3  ,2430410.      ,  475.6         ,   
SY    Sge ,EA/DM     ,10.5  ,11.2  ,2433040.460   ,    3.53923     ,13 
SZ    Sge ,RRAB      ,14.6  ,15.8  ,2431318.453   ,    0.472334    ,23 
TT    Sge ,M         ,14.9  ,17.4  ,2430950.      ,  279.7         ,   
TU    Sge ,EA/SD     ,13.0  ,15.0  ,2428020.361   ,    4.908918    ,14 
TV    Sge ,M         ,12.9  ,17.   ,2430511.      ,  276.8         ,   
TW    Sge ,M         ,14.6  ,17.5  ,2429170.      ,  264.          ,   
TX    Sge ,M         ,13.5  ,16.2  ,2432524.      ,  156.7         ,   
