S     Vel ,EA/SD     , 7.74 , 9.50 ,2427612.3560  ,    5.9336475   ,10 
T     Vel ,DCEP      , 7.68 , 8.34 ,2440713.28    ,    4.63974     ,30 
V     Vel ,DCEP      , 7.19 , 7.95 ,2440736.25    ,    4.370991    ,30 
W     Vel ,M         , 8.3  ,14.0  ,2440699.      ,  394.72        ,44 
Y     Vel ,M         , 8.0  ,14.2  ,2440437.      ,  449.9         ,40 
Z     Vel ,M         , 7.8  ,14.8  ,2439898.      ,  411.4         ,46 
RR    Vel ,EA/SD:    ,10.7  ,11.6  ,2428171.546   ,    1.8541803   ,13 
RS    Vel ,M         , 9.1  ,12.6  ,2429810.      ,  409.5         ,40 
RT    Vel ,M:        ,10.5  ,12.0  ,2415400.      ,  141.          ,   
RU    Vel ,SR:       ,10.6  ,15.3  ,2428705.      ,  125.          ,52 
RV    Vel ,EA/D:     ,10.6  ,11.4  ,2429231.739   ,    4.82109852  ,13 
RW    Vel ,M         , 8.9  ,13.1  ,2430170.      ,  443.1         ,50 
RX    Vel ,EA/SD     ,10.4  ,11.2  ,2429243.272   ,    3.11182966  ,22 
RY    Vel ,DCEP      , 7.86 , 8.89 ,2444017.94    ,   28.1357      ,22 
RZ    Vel ,DCEP      , 6.42 , 7.64 ,2434845.57    ,   20.398240    ,30 
ST    Vel ,DCEP      , 9.39 ,10.08 ,2440896.70    ,    5.8584249   ,30 
SV    Vel ,DCEP      , 7.91 , 9.12 ,2436195.125   ,   14.09707     ,34 
SW    Vel ,DCEP      , 7.44 , 8.96 ,2440738.24    ,   23.4410      ,15 
SX    Vel ,DCEP      , 7.92 , 8.72 ,2421015.98    ,    9.54993     ,49 
TT    Vel ,EA/SD:    ,10.5  ,11.9  ,2428633.367   ,    2.1083805   ,13 
TV    Vel ,M         ,11.   ,15.   ,2428285.      ,  365.2         ,   
TZ    Vel ,M         ,11.3  ,13.5  ,2428901.      ,  237.4         ,   
UU    Vel ,M         ,11.0  ,14.0  ,2428930.      ,  408.9         ,   
UX    Vel ,M         ,10.   ,17.   ,2420265.      ,  226.          ,   
UZ    Vel ,SRA       ,12.4  ,14.0  ,2424550.      ,  354.          ,   
VV    Vel ,SR        ,12.5  ,14.3  ,2423868.      ,  270.          ,   
VX    Vel ,RRAB      ,13.2  ,14.0  ,2424190.436   ,    0.50940266  ,14 
VZ    Vel ,SRA       ,10.3  ,12.5  ,2415511.      ,  317.          ,   
WW    Vel ,M         ,10.8  ,14.   ,2423173.      ,  187.4         ,   
WX    Vel ,M         ,11.2  ,14.2  ,2428910.      ,  411.5         ,   
XX    Vel ,DCEP      ,10.25 ,11.22 ,2434909.742   ,    6.98457     ,26 
XY    Vel ,EA        ,11.5  ,12.8  ,2423901.375   ,    2.51037     ,11 
YY    Vel ,EA/D      ,10.6  ,11.1  ,2423871.249   ,    4.1636      ,12 
YZ    Vel ,EA/D      ,12.2  ,12.8  ,2426363.458   ,    5.488342    ,07 
ZZ    Vel ,EA/DM     , 9.93 ,10.39 ,2423700.420   ,    2.87615     ,16 
AA    Vel ,EB/DM     , 9.68 , 9.9  ,2423852.212   ,    2.33432     ,   
AB    Vel ,DCEP      ,14.5  ,15.8  ,2425067.59    ,    6.24560     ,16 
AC    Vel ,EB/DM     , 8.6  , 9.11 ,2429342.594   ,    4.5622426   ,   
AD    Vel ,M         ,11.8  ,14.4  ,2424261.      ,  161.          ,   
AE    Vel ,DCEP      , 9.88 ,10.73 ,2440772.20    ,    7.13357     ,33 
AF    Vel ,RRAB      ,10.68 ,11.78 ,2441432.267   ,    0.5273984   ,15 
AG    Vel ,M         ,13.   ,16.   ,2423847.      ,  245.          ,   
AH    Vel ,DCEPS     , 5.50 , 5.89 ,2442035.675   ,    4.227171    ,50 
AK    Vel ,EA        ,13.0  ,13.4  ,2426315.387   ,    0.6409118   ,19 
AL    Vel ,EA/GS/D   , 8.60 , 8.93 ,2442510.04    ,   96.107       ,09 
AM    Vel ,CEP       ,12.90 ,13.6  ,2435535.43    ,    7.52326     ,32 
AN    Vel ,RRAB      ,11.7  ,13.8  ,2426309.496   ,    0.3894864   ,16 
AO    Vel ,EA/DM     , 9.35 , 9.79 ,2424269.333   ,    1.5845993   ,15 
AP    Vel ,CEP(B)    , 9.49 ,10.48 ,2434900.805   ,    3.12776     ,33 
AQ    Vel ,EA/KE:    ,11.5  ,12.0  ,2424358.145   ,    1.042499    ,12 
AR    Vel ,EA/D      ,12.0  ,12.6  ,2424193.324   ,    3.21275     ,12 
AS    Vel ,EA/KE:    , 8.3  , 8.92 ,2426454.440   ,    1.55788874  ,12 
AT    Vel ,EA/DM     ,12.1  ,12.6  ,2426362.27    ,   11.7971      ,07 
AU    Vel ,EA/SD     ,11.9  ,13.6  ,2426166.420   ,    5.67380     ,10 
AV    Vel ,EA/SD     ,11.9  ,14.6  ,2426172.278   ,    3.8805      ,08 
AW    Vel ,EA/DM:    ,11.5  ,12.2  ,2426176.139   ,    1.99246     ,11 
