R     Lup ,M         , 9.4  ,14.0  ,2440840.      ,  235.62        ,48 
S     Lup ,M         , 7.8  ,13.5  ,2441762.      ,  339.73        ,52 
W     Lup ,M         ,10.6  ,13.4  ,2415872.      ,  236.7         ,   
Y     Lup ,M         , 8.2  ,15.2  ,2441520.      ,  396.82        ,37 
RR    Lup ,M         ,11.0  ,14.1  ,2430892.      ,  183.62        ,   
RT    Lup ,M         ,10.5  ,16.5  ,2424228.      ,  364.          ,   
RW    Lup ,M         , 9.9  ,13.0  ,2428766.      ,  197.          ,36 
RX    Lup ,M         ,10.   ,14.   ,2415208.      ,  237.2         ,   
SW    Lup ,M         ,10.3  ,13.5  ,2428924.      ,  377.          ,   
SX    Lup ,EA/SD     ,11.5  ,12.6  ,2434270.290   ,    0.6858441   ,22 
SY    Lup ,M         ,11.8  ,15.2  ,2428706.      ,  410.          ,   
TT    Lup ,M         ,12.2  ,16.2  ,2428730.      ,  139.          ,   
TY    Lup ,M         ,12.6  ,16.5  ,2426940.      ,  335.          ,   
UU    Lup ,M         ,11.7  ,16.5  ,2428695.      ,  481.          ,   
UX    Lup ,CWA       ,12.58 ,13.50 ,2444027.94    ,   16.22        ,47 
VZ    Lup ,RR        ,14.0  ,15.2  ,2429041.470   ,    0.57100     ,   
WZ    Lup ,M         ,12.6  ,15.7  ,2428350.      ,  129.0         ,   
YZ    Lup ,M         ,12.0  ,16.5  ,2428680.      ,  220.          ,   
AA    Lup ,M         ,11.8  ,16.5  ,2428370.      ,  213.          ,   
AH    Lup ,M         ,11.2  ,16.0  ,2428651.      ,  217.          ,   
AU    Lup ,M         ,11.4  ,16.5  ,2428623.      ,  231.          ,   
AX    Lup ,M         ,13.8  ,16.0  ,2424710.      ,  260.          ,   
AY    Lup ,M:        ,14.2  ,16.0  ,2425390.      ,  158.          ,   
AZ    Lup ,M:        ,15.5  ,16.5  ,2425400.      ,  244.          ,   
BB    Lup ,M:        ,14.8  ,16.0  ,2424720.      ,  216.5         ,   
BC    Lup ,M         ,13.0  ,16.0  ,2425380.      ,  268.          ,   
BD    Lup ,M         ,13.1  ,16.0  ,2425715.      ,  257.5         ,   
BE    Lup ,M         ,13.8  ,16.0  ,2424730.      ,  279.          ,   
BF    Lup ,M         ,13.0  ,16.0  ,2425420.      ,  188.4         ,   
