R     Nor ,M         , 6.5  ,13.9  ,2441874.      ,  507.50        ,   
S     Nor ,DCEP      , 6.12 , 6.77 ,2444018.69    ,    9.75411     ,47 
T     Nor ,M         , 6.2  ,13.6  ,2440976.      ,  240.7         ,41 
U     Nor ,DCEP      , 8.63 , 9.83 ,2444788.5     ,   12.64371     ,46 
V     Nor ,SRB       ,10.0  ,11.0  ,2429840.      ,  155.9         ,50 
Z     Nor ,EA/SD     , 9.3  ,10.1  ,2443343.9897  ,    2.556914    ,26 
RR    Nor ,EA/D      , 9.4  ,10.5  ,2444433.5976  ,    3.0275420   ,08 
RS    Nor ,DCEP      , 9.62 ,10.39 ,2435308.21    ,    6.19814     ,29 
RU    Nor ,M         ,11.3  ,13.5  ,2429810.      ,  393.3         ,   
RV    Nor ,CEP       ,12.2  ,13.8  ,2444119.43    ,   32.333       ,28 
RY    Nor ,M         ,12.7  ,16.5  ,2424370.      ,  448.          ,   
SS    Nor ,M         ,12.2  ,16.   ,2424755.      ,  291.          ,   
SU    Nor ,EA/SD     ,11.9  ,13.1  ,2425789.393   ,    1.68639     ,15 
SV    Nor ,EW/KW     ,12.0  ,12.6  ,2425598.599   ,    0.376116    ,   
SW    Nor ,EA/DS     ,10.5  ,12.0  ,2430965.87    ,   29.6349      ,013
SX    Nor ,EA        ,12.1  ,12.2  ,2425582.349   ,    3.74008     ,13 
SY    Nor ,DCEP      , 8.98 , 9.94 ,2440737.43    ,   12.6452      ,35 
SZ    Nor ,EA/KE     ,12.3  ,12.6  ,2425600.121   ,    1.47456     ,18 
TT    Nor ,EA/D      ,12.6  ,12.9  ,2425596.648   ,   37.246       ,25 
TU    Nor ,EB/DM     ,12.4  ,12.7  ,2425603.543   ,    1.6712      ,   
TV    Nor ,EA/DM     , 8.9  , 9.7  ,2425832.231   ,    8.524406    ,02 
TW    Nor ,DCEP      ,11.17 ,12.22 ,2441092.21    ,   10.78618     ,50 
TX    Nor ,EA/SD     ,12.2  ,13.5  ,2425601.900   ,    3.03049     ,16 
TY    Nor ,EA/SD:    ,11.6  ,12.2  ,2425586.795   ,    3.5204      ,15 
