R     Cas ,M         , 4.7  ,13.5  ,2444463.      ,  430.46        ,40 
S     Cas ,M         , 7.9  ,16.1  ,2443870.      ,  612.43        ,43 
T     Cas ,M         , 6.9  ,13.0  ,2444160.      ,  444.83        ,56 
U     Cas ,M         , 8.0  ,15.7  ,2444621.      ,  277.19        ,44 
V     Cas ,M         , 6.9  ,13.4  ,2444605.      ,  228.83        ,48 
W     Cas ,M         , 7.8  ,12.5  ,2444209.      ,  405.57        ,46 
X     Cas ,M         , 9.45 ,13.2  ,2443922.      ,  422.84        ,55 
Y     Cas ,M         , 8.7  ,15.3  ,2444506.      ,  413.48        ,43 
Z     Cas ,M         , 8.5  ,15.4  ,2442376.      ,  495.71        ,39 
RR    Cas ,M         , 9.5  ,14.7  ,2444470.      ,  300.07        ,48 
RS    Cas ,DCEP      , 9.53 ,10.36 ,2442773.487   ,    6.295983    ,27 
RT    Cas ,SRA       ,11.0  ,14.0  ,2429549.      ,  399.8         ,   
RV    Cas ,M         , 7.3  ,16.1  ,2444313.      ,  331.68        ,38 
RW    Cas ,DCEP      , 8.62 , 9.76 ,2435575.227   ,   14.7949      ,37 
RX    Cas ,EB/GS     , 8.64 , 9.49 ,2416250.910   ,   32.31211     ,   
RY    Cas ,DCEP      , 9.38 ,10.39 ,2437344.602   ,   12.13726     ,41 
RZ    Cas ,EA/SD     , 6.18 , 7.72 ,2443200.3063  ,    1.195247    ,17 
SS    Cas ,M         , 8.8  ,13.3  ,2444208.      ,  140.57        ,48 
SU    Cas ,DCEPS     , 5.70 , 6.18 ,2438000.598   ,    1.949319    ,40 
SV    Cas ,SRA       , 9.1  ,12.5  ,2437964.      ,  264.5         ,42 
SW    Cas ,DCEP      , 9.32 ,10.01 ,2442989.590   ,    5.440950    ,31 
SX    Cas ,EA/GS     , 8.96 , 9.83 ,2439009.525   ,   36.56375     ,10 
SY    Cas ,DCEP      , 9.40 ,10.24 ,2441682.230   ,    4.071098    ,25 
SZ    Cas ,DCEPS     , 9.60 ,10.02 ,2439059.47    ,   13.63289     ,44 
TT    Cas ,M         ,13.0  ,16.4  ,2430030.      ,  396.          ,   
TU    Cas ,CEP(B)    , 6.88 , 8.18 ,2441704.839   ,    2.139298    ,31 
TV    Cas ,EA/SD     , 7.22 , 8.22 ,2444602.4534  ,    1.8125956   ,18 
TW    Cas ,EA        , 8.32 , 8.98 ,2442008.3873  ,    1.4283240   ,16 
TX    Cas ,EB/DM     , 9.16 , 9.8  ,2429677.228   ,    2.926870    ,   
TY    Cas ,M         ,11.5  ,17.5  ,2443405.      ,  645.0         ,   
UU    Cas ,EB/DM     ,10.4  ,10.8  ,2428751.72    ,    8.51929     ,   
UW    Cas ,M         ,10.7  ,17.0  ,2439935.      ,  290.48        ,   
UX    Cas ,SRB       ,12.0  ,13.8  ,2427330.      ,  360.          ,   
UY    Cas ,SRA       , 9.8  ,12.0  ,2434035.      ,  102.85        ,38 
UZ    Cas ,DCEP      ,10.93 ,11.73 ,2436982.266   ,    4.259459    ,26 
VV    Cas ,DCEP      ,10.26 ,11.20 ,2442836.853   ,    6.207059    ,26 
VW    Cas ,DCEP      ,10.36 ,11.07 ,2442778.693   ,    5.993859    ,33 
VZ    Cas ,M         , 9.3  ,15.0  ,2444676.      ,  169.24        ,46 
WY    Cas ,M         ,10.0  ,16.9  ,2444310.      ,  476.56        ,39 
XX    Cas ,EA/DM     ,10.0  ,10.7  ,2436527.619   ,    3.0671773   ,20 
XY    Cas ,DCEP      , 9.61 ,10.26 ,2442006.786   ,    4.501697    ,31 
YZ    Cas ,EA/DM     , 5.71 , 6.12 ,2428733.4218  ,    4.467224    ,15 
ZZ    Cas ,EB/KE     ,10.7  ,11.1  ,2433437.495   ,    1.243527    ,   
AB    Cas ,EA+DSCT   ,10.10 ,11.85 ,2442714.4627  ,    1.3668738   ,18 
AC    Cas ,SRA       ,12.7  ,14.7  ,2425698.      ,  165.4         ,   
AD    Cas ,M         ,12.4  ,17.5  ,2440500.      ,  147.21        ,   
AE    Cas ,EA/SD     ,12.7  ,13.5  ,2425411.500   ,    0.759119    ,20 
AF    Cas ,SR        ,14.2  ,18.   ,2425333.      ,  181.          ,   
AG    Cas ,M         ,13.7  ,18.0  ,2429696.      ,  342.2         ,   
AH    Cas ,EA/SD:    ,13.2  ,14.3  ,2425501.401   ,    1.402265    ,10 
AI    Cas ,M         ,13.2  ,18.   ,2427966.      ,  302.5         ,   
AK    Cas ,M         ,13.3  ,18.   ,2425655.      ,  422.4         ,   
AL    Cas ,EW        ,12.9  ,13.6  ,2444490.366   ,    0.50055583  ,   
AN    Cas ,M         ,14.7  ,16.   ,2425326.      ,  313.          ,   
AO    Cas ,ELL/KE    , 6.07 , 6.24 ,2432191.189   ,    3.523487    ,   
AP    Cas ,DCEP      ,11.25 ,11.87 ,2437244.281   ,    6.8470      ,35 
AQ    Cas ,EA/D      ,10.06 ,11.0  ,2426282.50    ,   11.72115     ,18 
AR    Cas ,EA/DM     , 4.82 , 4.96 ,2435792.8948  ,    6.0663309   ,06 
AS    Cas ,CEP(B)    ,11.81 ,12.55 ,2443809.75    ,    3.02125     ,30 
AT    Cas ,EA/SD     ,13.9  ,15.1  ,2427139.027   ,    1.595557    ,13 
AU    Cas ,RR        ,13.4  ,15.0  ,2425553.23    ,    0.52826     ,   
AV    Cas ,M         ,13.5  ,17.8  ,2431027.      ,  322.          ,   
AW    Cas ,DCEP      ,13.2  ,14.3  ,2426972.474   ,    4.27833     ,40 
AX    Cas ,EB        ,12.8  ,13.3  ,2428626.442   ,    0.600376    ,   
AY    Cas ,DCEP      ,11.23 ,11.95 ,2436999.797   ,    2.871294    ,35 
AZ    Cas ,EA/GS     , 9.22 , 9.52 ,2442689.      , 3402.          ,03 
BB    Cas ,M         ,12.1  ,16.6  ,2435350.      ,  340.0         ,35 
BD    Cas ,CWB       ,10.84 ,11.21 ,2441932.032   ,    3.650900    ,47 
BF    Cas ,DCEP      ,13.1  ,14.1  ,2428776.50    ,    3.63029     ,39 
BG    Cas ,EA        ,12.9  ,13.7  ,2428427.421   ,    3.953548    ,13 
BI    Cas ,EB/GS     ,12.10 ,12.84 ,2433218.38    ,   21.533306    ,   
BK    Cas ,RRAB      ,13.3  ,14.8  ,2438317.375   ,    0.3902672   ,20 
BM    Cas ,EB/GS     , 8.78 , 9.31 ,2425772.9     ,  197.28        ,   
BN    Cas ,EA/D      ,13.1  ,13.5  ,2428308.35    ,    3.21579     ,20 
BP    Cas ,DCEP      ,10.55 ,11.33 ,2436991.353   ,    6.272724    ,28 
BR    Cas ,RRAB      ,13.5  ,14.5  ,2438406.183   ,    0.608289    ,15 
BS    Cas ,EW/KW     ,12.2  ,12.6  ,2427984.489   ,    0.4404832   ,   
BT    Cas ,M         ,11.9  ,17.0  ,2438656.      ,  399.          ,   
BU    Cas ,EA/DM     ,11.6  ,12.1  ,2428423.570   ,    2.2551986   ,10 
BV    Cas ,DCEP      ,12.8  ,14.3  ,2428771.214   ,    5.39964     ,20 
BW    Cas ,EA:       ,12.4  ,13.1  ,2425999.26    ,    1.895       ,   
BY    Cas ,DCEPS     ,10.06 ,10.58 ,2441774.191   ,    3.223316    ,50 
BZ    Cas ,EA/SD     ,11.4  ,12.4  ,2429497.316   ,    2.1264317   ,16 
CC    Cas ,EB/DM     , 7.06 , 7.30 ,2443818.166   ,    3.368753    ,   
CD    Cas ,DCEP      ,10.37 ,11.15 ,2437023.312   ,    7.80089     ,34 
CE    CasA,DCEP      ,10.63 ,11.15 ,2437745.602   ,    5.1410583   ,30 
CE    CasB,DCEP      ,10.62 ,11.30 ,2437742.754   ,    4.4793014   ,30 
CF    Cas ,DCEP      ,10.80 ,11.47 ,2437022.191   ,    4.87522     ,29 
CG    Cas ,DCEP      ,10.89 ,11.73 ,2436885.566   ,    4.36554     ,26 
CH    Cas ,DCEP      ,10.37 ,11.45 ,2436912.426   ,   15.08619     ,40 
CL    Cas ,M         ,12.7  ,16.   ,2429956.      ,  318.8         ,   
CM    Cas ,M         ,13.4  ,16.   ,2425652.      ,  250.          ,   
CR    Cas ,EB/SD     ,12.1  ,13.9  ,2440526.26    ,    2.840183    ,   
CS    Cas ,CWA       ,11.46 ,12.88 ,2437948.934   ,   14.73602     ,37 
CT    Cas ,DCEP      ,13.1  ,14.3  ,2428806.4     ,    3.81061     ,30 
CV    Cas ,EA/SD     ,13.9  ,17.5  ,2438317.310   ,    2.587566    ,07 
CW    Cas ,EW/KW     ,11.02 ,11.62 ,2441649.40322 ,    0.3188449   ,   
CX    Cas ,SRA       ,13.   ,14.5  ,2428754.      ,  134.2         ,50 
CY    Cas ,DCEP      ,11.07 ,12.21 ,2440119.466   ,   14.37686     ,34 
CZ    Cas ,DCEP      ,11.30 ,12.11 ,2436905.242   ,    5.66438     ,30 
DD    Cas ,DCEP      , 9.56 ,10.18 ,2442780.493   ,    9.812027    ,50 
DE    Cas ,SRB       ,13.9  ,15.1  ,2428925.      ,  151.          ,   
DF    Cas ,DCEP      ,10.53 ,11.13 ,2441719.622   ,    3.832472    ,30 
DH    Cas ,M         ,13.5  ,16.8  ,2427942.      ,  322.          ,   
DI    Cas ,M         ,11.6  ,17.0  ,2437170.      ,  363.9         ,   
DL    Cas ,DCEP      , 8.63 , 9.26 ,2442780.334   ,    8.000669    ,33 
DN    Cas ,EA/DM     , 9.81 ,10.24 ,2441388.571   ,    2.310955    ,15 
DO    Cas ,EB/KE     , 8.39 , 9.01 ,2433926.4573  ,    0.6846661   ,   
DP    Cas ,EB/KE     ,13.4  ,13.8  ,2427535.480   ,    1.221622    ,   
DT    Cas ,DCEP      ,14.15 ,15.05 ,2434684.20    ,    4.78996     ,25 
DU    Cas ,M         ,12.6  ,17.0  ,2435239.      ,  396.5         ,49 
DV    Cas ,M         ,14.6  ,17.4  ,2428083.      ,  265.6         ,   
DW    Cas ,DCEP      ,10.81 ,11.41 ,2436980.605   ,    4.99776     ,28 
DX    Cas ,M         ,13.0  ,16.5  ,2428256.      ,  352.6         ,49 
DY    Cas ,SRA       ,12.6  ,13.5  ,2428070.      ,  330.          ,48 
DZ    Cas ,EB/KE     ,11.6  ,12.3  ,2428434.556   ,    0.7848916   ,   
EF    Cas ,SR        ,14.0  ,15.8  ,2427990.      ,  386.          ,47 
EG    Cas ,EW        ,12.9  ,13.4  ,2436491.39    ,    0.61145517  ,   
EI    Cas ,EA/SD     ,14.0  ,15.0  ,2433184.46    ,    1.68914     ,14 
EK    Cas ,EA/DM     ,11.9  ,12.5  ,2438388.25    ,    8.678018    ,14 
EL    Cas ,EA        ,13.7  ,14.5  ,2434335.10    ,    5.28224     ,07 
EM    Cas ,SRA       ,13.9  ,17.6  ,2436430.      ,  272.5         ,   
EN    Cas ,EA        ,12.2  ,13.2  ,2428728.48    ,    4.437737    ,20 
EO    Cas ,M         ,12.5  ,17.1  ,2429908.      ,  455.          ,   
