T     Men ,RRAB      ,13.0  ,14.1  ,2430590.575   ,    0.409841    ,21 
U     Men ,SRA       , 8.0  ,10.9  ,2436065.      ,  407.28        ,   
V     Men ,RR        ,13.4  ,14.6  ,2423762.440   ,    0.569       ,   
X     Men ,M         ,11.4  ,15.0  ,2428720.      ,  380.          ,   
Y     Men ,RR        ,14.3  ,15.7  ,2427426.40    ,    0.46675     ,   
Z     Men ,RR        ,13.9  ,15.2  ,2427698.60    ,    0.68781     ,   
RR    Men ,EA/D      ,11.8  ,12.6  ,2438408.350   ,    2.6011      ,19 
RT    Men ,M         ,12.2  ,17.2  ,2431029.      ,  250.44        ,44 
RU    Men ,M         ,12.3  ,15.1  ,2431778.      ,  171.82        ,37 
RV    Men ,RRAB      ,12.2  ,13.8  ,2431172.239   ,    0.542291    ,45 
RX    Men ,RRAB      ,13.8  ,14.7  ,2436381.97    ,    0.456287    ,   
RY    Men ,EA        ,14.3  ,14.9  ,2436381.853   ,    0.3695140   ,   
TX    Men ,RRAB      ,13.3  ,14.4  ,2436382.065   ,    0.583322    ,   
TY    Men ,EW/K      , 8.08 , 8.56 ,2442054.7973  ,    0.46166701  ,   
TZ    Men ,EA/D      , 6.19 , 6.87 ,2439190.34    ,    8.56898     ,04 
UU    Men ,RRAB      ,14.1  ,14.9  ,2436381.864   ,    0.562911    ,   
UV    Men ,RRAB      ,14.0  ,15.1  ,2436382.044   ,    0.631305    ,   
UW    Men ,M         ,11.9  ,15.5  ,2436060.      ,  380.          ,   
UX    Men ,EA/DM     , 8.8  , 9.57 ,2441984.64388 ,    4.181100    ,05 
WY    Men ,RRC       ,19.6  ,20.1  ,2442402.871   ,    0.36218     ,45 
WZ    Men ,RRAB      ,19.3  ,20.2  ,2442402.885   ,    0.51386     ,26 
XX    Men ,RRAB      ,19.3  ,20.3  ,2442403.121   ,    0.52855     ,23 
XY    Men ,EB/KE     ,10.63 ,11.27 ,2442423.0889  ,    0.7766348   ,   
AB    Men ,EA/SD     ,13.3  ,14.2  ,2430640.401   ,    1.404264    ,15 
AC    Men ,RRAB      ,13.8  ,15.1  ,2426452.220   ,    0.553379    ,21 
AF    Men ,SR        ,13.1  ,13.90,2445961.      ,  435.          ,   
AG    Men ,SR:       , 9.3  ,10.80,2446902.      ,  408.          ,   
iot   Men ,ELL:      , 6.00 , 6.05 ,2441979.85    ,    5.288       ,   
