R     Mic ,M         , 8.3  ,13.8  ,2443311.      ,  138.62        ,46 
S     Mic ,M         , 7.8  ,14.8  ,2440485.      ,  209.68        ,43 
U     Mic ,M         , 7.0  ,14.4  ,2439540.      ,  334.29        ,39 
V     Mic ,M         , 9.4  ,14.0  ,2430044.      ,  381.15        ,   
W     Mic ,M         ,10.3  ,15.5  ,2415577.      ,  198.8         ,   
X     Mic ,M         , 9.8  ,14.3  ,2429883.      ,  239.64        ,   
Z     Mic ,RRAB      ,11.23 ,11.86 ,2441597.376   ,    0.5869340   ,15 
RR    Mic ,CWA       ,11.01 ,11.86 ,2444139.57    ,   31.52        ,19 
RS    Mic ,M         ,10.   ,15.5  ,2437567.      ,  228.5         ,   
RX    Mic ,M         , 9.5  ,14.0  ,2435343.      ,  239.75        ,   
RY    Mic ,M         , 9.6  ,14.5  ,2437098.      ,  198.2         ,   
RZ    Mic ,EA/DM     ,11.0  ,11.8  ,2434362.42    ,    3.983051    ,15 
ST    Mic ,RRAB      ,14.0  ,15.4  ,2436807.242   ,    0.58369     ,18 
SV    Mic ,RRAB      ,14.03 ,14.79 ,2442638.400   ,    0.605205    ,20 
SY    Mic ,RRAB      ,13.8  ,15.2  ,2436807.417   ,    0.4805      ,   
SZ    Mic ,E         ,13.4  ,14.0  ,2436731.529   ,    0.4         ,   
TT    Mic ,RRAB      ,12.4  ,13.6  ,2436808.468   ,    0.672435    ,16 
TU    Mic ,RRC       ,15.2  ,15.8  ,2436789.394   ,    0.255436    ,31 
TV    Mic ,EB/AR:    ,11.7  ,12.6  ,2436807.302   ,    2.0762      ,   
TW    Mic ,RR        ,14.5  ,15.1  ,2436728.485   ,    0.64308     ,   
TX    Mic ,RRC       ,15.0  ,15.4  ,2436729.523   ,    0.41247     ,46 
TY    Mic ,RRAB      ,14.08 ,14.93 ,2442631.348   ,    0.540112    ,20 
TZ    Mic ,RRAB      ,13.73 ,14.88 ,2442638.443   ,    0.458611    ,23 
UU    Mic ,RRC       ,12.90 ,13.76 ,2442629.458   ,    0.342702    ,35 
UV    Mic ,RRAB      ,12.6  ,13.8  ,2436728.469   ,    0.473644    ,20 
UW    Mic ,SR        ,14.3  ,15.4  ,2436731.      ,   88.          ,44 
UX    Mic ,RRAB      ,15.44 ,16.58 ,2436818.291   ,    0.536930    ,33 
UZ    Mic ,EW/KW     ,11.9  ,12.4  ,2436724.251   ,    0.440964    ,   
VV    Mic ,RRAB      ,14.2  ,14.9  ,2436732.468   ,    0.550036    ,27 
VW    Mic ,RRAB      ,13.54 ,14.49 ,2442633.445   ,    0.35620     ,20 
VX    Mic ,RRAB      ,13.3  ,14.3  ,2436731.516   ,    0.573368    ,13 
VY    Mic ,EA/DM     , 9.4  , 9.7  ,2438295.265   ,    4.4358      ,10 
VZ    Mic ,RRAB      ,14.46 ,15.76 ,2442664.392   ,    0.474343    ,10 
WX    Mic ,RRAB      ,14.71 ,15.62 ,2442638.451   ,    0.579065    ,20 
WY    Mic ,RRAB      ,13.40 ,14.58 ,2436732.390   ,    0.338120    ,15 
XX    Mic ,RRAB      ,15.24 ,16.79 ,2436808.324   ,    0.66252     ,10 
XY    Mic ,M         ,13.0  ,16.0  ,2436755.      ,  150.          ,   
XZ    Mic ,RRAB      ,12.40 ,13.50 ,2442638.355   ,    0.449208    ,20 
YY    Mic ,RRAB      ,13.7  ,14.6  ,2436789.356   ,    0.54576     ,15 
YZ    Mic ,RRAB      ,12.96 ,14.03 ,2442664.385   ,    0.323834    ,25 
ZZ    Mic ,DSCT(B:)  , 9.27 , 9.69 ,2440442.8443  ,    0.0671835   ,40 
AA    Mic ,RRAB      ,13.17 ,14.40 ,2442633.351   ,    0.485877    ,18 
AB    Mic ,RRC       ,13.9  ,14.5  ,2436678.641   ,    0.353207    ,38 
AC    Mic ,RRC       ,14.2  ,14.8  ,2436730.547   ,    0.461391    ,39 
AD    Mic ,RRAB      ,14.14 ,15.26 ,2442665.359   ,    0.670988    ,13 
AE    Mic ,RRAB      ,13.72 ,15.02 ,2442638.393   ,    0.324142    ,22 
AH    Mic ,EW/KW     ,13.2  ,13.6  ,2436724.479   ,    0.38968     ,   
AI    Mic ,RR        ,13.8  ,14.6  ,2436724.461   ,    0.232034    ,26 
AL    Mic ,RRAB      ,14.2  ,15.7  ,2436728.440   ,    0.309612    ,26 
AN    Mic ,RRAB      ,12.70 ,13.86 ,2442633.359   ,    0.326376    ,15 
AO    Mic ,RRAB      ,14.4  ,15.6  ,2436789.344   ,    0.639462    ,15 
AS    Mic ,RRAB      ,13.8  ,14.8  ,2436724.437   ,    0.38153     ,16 
AU    Mic ,BY+UV     , 8.59 , 8.96 ,2442720.75    ,    4.865       ,   
tet 1 Mic ,ACV       , 4.77 , 4.87 ,2440345.32    ,    2.1215      ,   
