R     Phe ,M         , 7.5  ,14.4  ,2439486.      ,  269.26        ,50 
T     Phe ,M         , 8.7  ,14.6  ,2441070.      ,  281.79        ,37 
U     Phe ,M         ,10.1  ,14.5  ,2429875.      ,  226.3         ,   
V     Phe ,M         , 8.5  ,14.4  ,2440817.      ,  257.00        ,47 
W     Phe ,M         , 8.1  ,14.4  ,2441455.      ,  333.95        ,42 
Z     Phe ,M         ,10.0  ,15.   ,2428844.      ,  255.          ,   
RR    Phe ,M         , 9.4  ,14.0  ,2430423.      ,  426.55        ,   
RS    Phe ,M         ,10.6  ,14.5  ,2424802.      ,  239.          ,   
RT    Phe ,M         ,11.4  ,13.5  ,2424804.      ,  416.          ,   
RU    Phe ,M         ,10.8  ,12.9  ,2428366.      ,  289.          ,   
RV    Phe ,RRAB      ,11.12 ,12.26 ,2441915.525   ,    0.5964182   ,15 
RW    Phe ,E         ,12.4  ,14.0  ,2425859.344   ,    5.4129      ,   
RX    Phe ,RR        ,14.2  ,15.1  ,2424761.75    ,    0.52654     ,   
RY    Phe ,RR        ,15.4  ,16.0  ,2424759.75    ,    0.60650     ,   
RZ    Phe ,RR        ,14.9  ,15.8  ,2424765.80    ,    0.55620     ,   
SV    Phe ,M         ,10.2  ,15.0  ,2428740.      ,  265.          ,   
SW    Phe ,EA/SD     ,10.0  ,11.8  ,2428423.45    ,    2.5531      ,08 
SX    Phe ,SXPHE(B)  , 6.76 , 7.53 ,2438636.6170  ,    0.054964438 ,34 
TV    Phe ,RRAB      ,13.3  ,15.0  ,2436736.589   ,    0.54591     ,15 
TY    Phe ,RRAB      ,14.4  ,15.3  ,2436837.432   ,    0.4898      ,15 
UU    Phe ,RRAB      ,15.6  ,16.7  ,2436758.585   ,    0.59006     ,   
UV    Phe ,RR        ,13.7  ,14.7  ,2436793.500   ,    2.019       ,   
UX    Phe ,RRC       ,15.0  ,15.5  ,2436760.601   ,    0.373143    ,38 
UZ    Phe ,RRAB      ,15.2  ,15.8  ,2436820.521   ,    0.48487     ,25 
VV    Phe ,RRAB      ,14.5  ,15.4  ,2436820.521   ,    0.5265      ,15 
VW    Phe ,EA/DM:    ,10.57 ,11.14 ,2428719.650   ,    1.742160    ,   
VX    Phe ,RRAB      ,14.5  ,15.8  ,2436817.473   ,    0.5515      ,20 
VY    Phe ,RRAB      ,15.1  ,16.4  ,2436806.450   ,    0.593636    ,25 
VZ    Phe ,SR        ,12.5  ,13.5  ,2436830.      ,  150.          ,   
WW    Phe ,EA        ,12.4  ,13.2  ,2436789.445   ,    0.720       ,   
WX    Phe ,EA        ,11.9  ,12.9  ,2436822.535   ,    1.387       ,10 
WY    Phe ,RRAB      ,14.7  ,15.6  ,2436814.376   ,    0.5387      ,10 
WZ    Phe ,RRAB      ,14.4  ,15.4  ,2436734.583   ,    0.51145     ,23 
XX    Phe ,RRAB      ,13.5  ,15.0  ,2436821.562   ,    0.572       ,15 
XZ    Phe ,RRAB      ,14.2  ,15.3  ,2436781.443   ,    0.527       ,15 
YY    Phe ,RRAB      ,13.9  ,15.1  ,2436736.601   ,    0.6203      ,15 
YZ    Phe ,EW/KW     ,12.7  ,13.2  ,2436765.622   ,    0.3052      ,   
AA    Phe ,RRAB      ,13.2  ,13.9  ,2436782.477   ,    0.55965     ,15 
AD    Phe ,EW/KW     ,10.27 ,10.80 ,2444250.598   ,    0.3799252   ,   
AE    Phe ,EW/KW     , 7.56 , 8.25 ,2443732.8819  ,    0.362377    ,   
AG    Phe ,EA/KE:    , 8.87 , 9.36 ,2444170.79481 ,    0.75533809  ,22 
AI    Phe ,EA/DM     , 8.58 , 9.35 ,2443410.6885  ,   24.592325    ,02 
AT    Phe ,SR        ,14.3  ,15.0  ,2436787.      ,   65.          ,   
AU    Phe ,EW/KW     ,12.5  ,13.0  ,2436735.584   ,    0.265814    ,   
zet   Phe ,EA/DM     , 3.91 , 4.42 ,2441643.6890  ,    1.6697671   ,12 
ksi   Phe ,ACV       , 5.68 , 5.78 ,2442314.48    ,    3.9516      ,   
