MPCORB extract of the first 5000 numbered asteroids.
For use with Cartes du Ciel / Skychart software. 
 
MINOR PLANET CENTER ORBIT DATABASE (MPCORB)   File prepared 2012 Mar. 3

This file contains published orbital elements for all numbered and unnumbered
multi-opposition minor planets for which it is possible to make reasonable
predictions.  It also includes published elements for recent one-opposition
minor planets and is intended to be complete through the last issued Daily
Orbit Update MPEC.  As such it is intended to be of interest primarily
to astrometric observers.

   Software programs may include this datafile amongst their datasets, as
   long as this header is included (it is acceptable if it is contained
   in a file separate from the actual data) and that proper attribution
   to the Minor Planet Center is given.  Credit to the individual orbit
   computers is implicit by the inclusion of a reference and the name of
   the orbit computer on each orbit record.  Information on how to obtain
   updated copies of the datafile must also be included.

   The work of the individual astrometric observers, without whom none of
   the work of the Minor Planet Center would be possible, is gratefully
   acknowledged.  Credit to the individual observers is implicit by the
   inclusion of the reference to the publication of their observations in
   all data sets distributed by the Minor Planet Center.

New versions of this file, updated on a daily basis, will be available at:

          http://www.minorplanetcenter.org/iau/MPCORB/MPCORB.DAT

The elements contained within MPCORB are divided into three sections,
separated by blank lines.  The first section contains the numbered objects,
the second section contains the unnumbered objects with perturbed orbit
solutions and the third contains the recent 1-opposition objects with
unperturbed orbit solutions.  Each object's elements are stored on a single
line, the format of which is described at:

          http://www.minorplanetcenter.org/iau/info/MPOrbitFormat.html

A brief header is given below:

Des'n     H     G   Epoch     M        Peri.      Node       Incl.       e            n           a        Reference #Obs #Opp    Arc    rms  Perts   Computer

----------------------------------------------------------------------------------------------------------------------------------------------------------------
00001    3.34  0.12 K123E 242.44438   72.14554   80.35052   10.58785  0.0777898  0.21392550   2.7688176  0 MPO216418  6332  99 1802-2011 0.60 M-v 30h MPCLINUX   0000      (1) Ceres              20111215
00002    4.13  0.11 K123E 224.47817  310.03850  173.12520   34.84268  0.2313469  0.21367050   2.7710201  0 MPO219503  7566  96 1827-2011 0.59 M-v 28h MPCLINUX   0000      (2) Pallas             20111123
00003    5.33  0.32 K123E 167.42159  248.22602  169.90317   12.97943  0.2552218  0.22575220   2.6712512  0 MPO219503  6519  97 1824-2012 0.60 M-v 38h MPCLINUX   0000      (3) Juno               20120113
00004    3.20  0.32 K123E 110.53170  150.08873  103.89537    7.13426  0.0882196  0.27152443   2.3619105  0 MPO216418  6605  88 1827-2011 0.60 M-p 18h MPCLINUX   0000      (4) Vesta              20110727
00005    6.85  0.15 K123E  21.74034  358.80654  141.60955    5.36719  0.1905003  0.23862659   2.5742862  0 MPO219503  1921  71 1845-2012 0.60 M-v 38h MPCLINUX   0000      (5) Astraea            20120203
00006    5.71  0.24 K123E 128.40079  239.33102  138.72579   14.74869  0.2021124  0.26097845   2.4251184  0 MPO216418  5236  84 1848-2011 0.55 M-v 38h MPCLINUX   0007      (6) Hebe               20111129
00007    5.51  0.15 K123E 164.94757  145.31524  259.64046    5.52358  0.2304982  0.26732729   2.3865682  0 MPO219503  4711  78 1848-2011 0.59 M-v 38h MPCLINUX   0000      (7) Iris               20110513
00008    6.49  0.28 K123E 130.35494  285.25189  110.93171    5.88750  0.1563830  0.30174433   2.2014558  0 MPO216418  2026  80 1847-2011 0.68 M-v 38h MPCLINUX   0000      (8) Flora              20111230
00009    6.28  0.17 K123E 302.03019    6.16241   68.94772    5.57549  0.1228462  0.26742483   2.3859879  0 MPO216418  2202  71 1849-2011 0.63 M-v 38h MPCLINUX   0000      (9) Metis              20111026
00010    5.43  0.15 K123E  50.83720  312.92153  283.41394    3.84159  0.1162722  0.17730045   3.1380714  0 MPC 35055  2261 104 1849-1999 0.53 M-v 38h Goffin     0000     (10) Hygiea             19990306
