R     Pav ,M         , 7.5  ,13.8  ,2442009.      ,  229.46        ,48 
S     Pav ,SRA       , 6.6  ,10.4  ,2438859.      ,  380.86        ,49 
T     Pav ,M         , 7.0  ,14.0  ,2439429.      ,  243.62        ,43 
U     Pav ,M         , 8.6  ,12.   ,2417139.      ,  289.7         ,   
W     Pav ,M         , 8.1  ,14.6  ,2440420.      ,  283.35        ,40 
Y     Pav ,SRB       , 8.6  ,10.3  ,2430060.      ,  233.3         ,   
Z     Pav ,SRB       , 9.1  ,10.6  ,2429850.      ,  135.5         ,   
RR    Pav ,M         ,11.0  ,14.   ,2430105.      ,  239.8         ,   
RS    Pav ,CWA       ,10.10 ,11.25 ,2427247.600   ,   19.954       ,38 
RU    Pav ,M         ,13.2  ,16.5  ,2426500.      ,  254.5         ,   
RV    Pav ,RRAB      ,13.6  ,14.7  ,2426240.280   ,    0.66194     ,   
RX    Pav ,M         ,11.   ,15.   ,2423414.      ,  212.1         ,   
RY    Pav ,M         ,11.   ,15.   ,2411894.      ,  236.3         ,   
RZ    Pav ,M         , 9.6  ,16.3  ,2426460.      ,  288.5         ,   
SU    Pav ,M         , 8.6  ,14.2  ,2438685.      ,  245.3         ,   
SV    Pav ,M         ,12.3  ,15.   ,2413823.      ,  210.          ,   
SW    Pav ,RR        ,11.8  ,12.6  ,2424670.63    ,    0.802       ,   
SY    Pav ,M         ,11.3  ,14.3  ,2425440.      ,  193.7         ,   
SZ    Pav ,RRAB      ,13.9  ,15.4  ,2426865.310   ,    0.53439     ,   
TT    Pav ,M         ,14.3  ,16.5  ,2427610.      ,  265.8         ,   
TU    Pav ,E/SD      ,13.6  ,15.8  ,2426598.420   ,    6.32023     ,   
TV    Pav ,DSCT      ,13.0  ,13.5  ,2426868.320   ,    0.174587    ,   
TW    Pav ,SR        ,12.0  ,13.2  ,2427140.      ,  397.          ,   
TX    Pav ,RRAB      ,12.3  ,13.4  ,2427162.550   ,    0.45987     ,   
TY    Pav ,RRAB      ,12.10 ,13.02 ,2441532.333   ,    0.7104005   ,16 
UU    Pav ,RR        ,13.2  ,14.1  ,2427252.510   ,    0.63022     ,   
UW    Pav ,RRAB      ,12.9  ,14.7  ,2427268.340   ,    0.56971     ,   
UX    Pav ,RR        ,13.5  ,14.4  ,2427631.480   ,    0.31337     ,   
UY    Pav ,RRAB      ,15.0  ,16.2  ,2427250.490   ,    0.47836     ,   
UZ    Pav ,SR        ,14.0  ,15.0  ,2426110.      ,  149.3         ,   
VW    Pav ,RRAB      ,12.8  ,14.2  ,2426810.570   ,    0.47876     ,   
