R     PsA ,M         , 8.3  ,14.7  ,2440820.      ,  297.6         ,38 
S     PsA ,M         , 8.0  ,14.5  ,2440696.      ,  271.7         ,42 
W     PsA ,EA/DS     ,11.4  ,13.2  ,2429133.940   ,    8.179318    ,11 
X     PsA ,EW/KW     ,13.0  ,14.3  ,2445252.288   ,    0.3977746   ,   
RS    PsA ,EW        ,14.3  ,15.2  ,2425417.60    ,    0.59336     ,   
RU    PsA ,RR        ,13.2  ,14.8  ,2425412.60    ,    0.5083      ,   
RV    PsA ,M         ,10.5  ,13.0  ,2425540.      ,  361.          ,   
RW    PsA ,EW/KW     ,11.05 ,11.76 ,2434328.4534  ,    0.36045101  ,   
RX    PsA ,M         ,10.5  ,11.5  ,2427683.      ,  366.          ,   
RY    PsA ,M         , 8.8  ,14.0  ,2437120.      ,  224.39        ,   
ST    PsA ,M         , 9.5  ,13.   ,2436006.      ,  179.          ,   
