S     Cir ,EA/DS     ,10.8  ,12.1  ,2429117.474   ,    9.976596    ,15 
T     Cir ,EA/SD     , 9.3  ,10.6  ,2429095.586   ,    3.2984345   ,13 
U     Cir ,SR        ,12.0  ,13.5  ,2423950.      ,  145.          ,   
V     Cir ,EB/DM     ,10.8  ,11.3  ,2438499.325   ,    4.40901     ,   
Y     Cir ,E/SD:     ,10.8  ,11.8  ,2425327.50    ,    3.17        ,   
RS    Cir ,SR        ,13.5  ,15.7  ,2425320.      ,  120.2         ,   
RT    Cir ,RRAB      ,14.2  ,15.5  ,2425355.50    ,    0.48373     ,28 
RU    Cir ,M         ,13.4  ,16.5  ,2426015.      ,  278.          ,   
RW    Cir ,M:        ,14.9  ,16.5  ,2425670.      ,  310.          ,   
RX    Cir ,RR        ,12.8  ,14.2  ,2425327.50    ,    0.46098     ,   
RY    Cir ,M         ,13.7  ,16.5  ,2425780.      ,  415.          ,   
RZ    Cir ,E/SD      ,14.1  ,15.2  ,2425384.34    ,    3.6933      ,   
ST    Cir ,M         ,12.4  ,16.0  ,2425410.      ,  193.8         ,   
SU    Cir ,M:        ,14.9  ,16.5  ,2426100.      ,  224.3         ,   
SW    Cir ,M         ,14.4  ,16.5  ,2425390.      ,  109.5         ,   
SX    Cir ,M         ,14.3  ,16.5  ,2426130.      ,  206.          ,   
SY    Cir ,RV        ,12.2  ,15.0  ,2425328.0     ,   46.36        ,   
SZ    Cir ,M         ,13.0  ,16.5  ,2424000.      ,  273.          ,   
TT    Cir ,M         ,14.0  ,17.5  ,2423960.      ,  326.          ,   
TU    Cir ,M         ,12.8  ,16.5  ,2426030.      ,  303.          ,   
TV    Cir ,M:        ,15.0  ,16.5  ,2425660.      ,  294.          ,   
TW    Cir ,E/SD      ,13.0  ,14.3  ,2425356.41    ,    1.11015     ,   
TX    Cir ,M:        ,14.9  ,16.4  ,2425810.      ,  425.          ,   
TZ    Cir ,M         ,14.0  ,16.5  ,2426030.      ,  169.7         ,   
UU    Cir ,M         ,13.5  ,16.5  ,2425400.      ,  132.5         ,   
UW    Cir ,SR        ,13.0  ,14.8  ,2426150.      ,  190.5         ,   
UZ    Cir ,M         ,11.1  ,15.8  ,2421700.      ,  538.          ,   
VV    Cir ,M         ,13.0  ,16.5  ,2425460.      ,  423.5         ,   
VW    Cir ,SRB       ,10.5  ,12.1  ,2414750.      ,  206.          ,47 
VX    Cir ,M         ,11.0  ,16.5  ,2425370.      ,  417.          ,   
WW    Cir ,M:        ,15.3  ,16.5  ,2425380.      ,  430.          ,   
WX    Cir ,M         ,13.4  ,16.5  ,2425320.      ,  266.          ,   
WY    Cir ,M         ,13.5  ,16.5  ,2426150.      ,  337.3         ,   
WZ    Cir ,M         ,13.3  ,16.5  ,2423970.      ,  252.          ,   
XX    Cir ,RR        ,14.0  ,15.5  ,2423991.50    ,    0.41905     ,   
XZ    Cir ,M         ,14.2  ,16.5  ,2423880.      ,  325.          ,   
YY    Cir ,M         ,14.0  ,16.6  ,2426045.      ,  220.          ,   
YZ    Cir ,M         ,14.2  ,16.5  ,2423990.      ,  320.          ,   
AA    Cir ,M         ,14.2  ,16.5  ,2425650.      ,  281.          ,   
AB    Cir ,M         ,13.8  ,16.5  ,2425380.      ,  273.          ,   
AK    Cir ,M         ,13.4  ,16.5  ,2425660.      ,  287.5         ,   
AM    Cir ,M         ,14.2  ,16.5  ,2425410.      ,  281.7         ,   
AN    Cir ,EA/SD     ,13.8  ,16.6  ,2425775.28    ,    4.6415      ,   
AO    Cir ,M         ,13.2  ,15.8  ,2426410.      ,  427.          ,   
AQ    Cir ,E/KE      ,11.0  ,11.7  ,2428656.350   ,    0.57284     ,   
AT    Cir ,EA/DM     , 8.4  , 8.8  ,2415221.517   ,    3.257494    ,15 
AU    Cir ,EA/SD     ,10.7  ,11.9  ,2428334.225   ,    2.0660680   ,14 
AV    Cir ,DCEP      , 8.0  , 8.6  ,2438206.05    ,    3.0651      ,40 
AX    Cir ,DCEP      , 5.65 , 6.09 ,2438199.54    ,    5.273268    ,32 
BB    Cir ,EA/SD:    , 9.4  ,10.2  ,2438195.225   ,    3.0872      ,   
BD    Cir ,EA/KE:    , 9.4  , 9.9  ,2438205.310   ,    0.86956     ,18 
BF    Cir ,EB/DM:    , 8.8  , 9.2  ,2438199.345   ,    6.458997    ,   
BG    Cir ,EB/DM     , 9.6  ,10.3  ,2434365.525   ,    1.911485    ,   
BN    Cir ,E         , 9.2  , 9.6  ,2438233.250   ,    6.7125      ,   
BO    Cir ,DSCTC     , 9.73 , 9.75,2443584.120   ,    0.1412      ,40 
