R     Lep ,M         , 5.5  ,11.7  ,2442506.      ,  427.07        ,55 
T     Lep ,M         , 7.4  ,14.3  ,2441844.      ,  368.13        ,47 
U     Lep ,RRAB      , 9.84 ,11.11 ,2441352.346   ,    0.5814762   ,13 
V     Lep ,EB/KE     , 9.6  ,10.1  ,2418873.723   ,    1.0701048   ,   
X     Lep ,M         ,10.6  ,16.   ,2438744.      ,  278.81        ,   
Z     Lep ,E         ,11.   ,12.5  ,2427424.311   ,    0.993715    ,   
RR    Lep ,EB        ,10.2  ,11.1  ,2430377.162   ,    0.915428    ,   
RS    Lep ,EA/SD     , 9.91 ,10.38 ,2436191.148   ,    1.2885439   ,18 
RT    Lep ,M         ,10.5  ,12.5  ,2432966.      ,  399.0         ,   
RU    Lep ,EA        ,11.23 ,12.12 ,2443516.670   ,    4.459601    ,07 
RW    Lep ,SRA       ,11.6  ,13.0  ,2425992.      ,  149.9         ,35 
ST    Lep ,M         ,12.   ,16.   ,2440590.      ,  700.          ,   
SU    Lep ,EA        ,12.2  ,12.8  ,2442038.960   ,    2.993       ,   
SY    Lep ,M         ,12.   ,16.   ,2442503.      ,  307.5         ,   
TT    Lep ,E         ,12.1  ,12.9  ,2430369.300   ,    4.28885     ,   
