
          CATALOG OF PARAMETERS FOR MILKY WAY GLOBULAR CLUSTERS:
		           THE DATABASE

            Compiled by William E. Harris, McMaster University

                   This revision:  February 2003 

        This catalog contains basic parameters on distances, velocities,
metallicities, luminosities, colors, and dynamical parameters
for 150 objects regarded as globular clusters in the Milky Way galaxy.

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

The data are presented in three parts, with quantities as defined below.
A complete list of source references and an explanation of the quantities,
along with their calibration information, is given in the companion 
"Bibliography" file accessible through the WorldWideWeb from either of 
the following links:

http://www.physics.mcmaster.ca/resources/globular.html
http://physwww.mcmaster.ca/%7Eharris/WEHarris.html

        Please acknowledge the use of this catalog in any published work
you derive from it.  The proper reference to the literature is the paper

        Harris, W.E. 1996, AJ, 112, 1487

which briefly describes the setup of the catalog.

        I would also greatly appreciate receiving any new information,
in published or preprint form, which would help me keep the list up to date.
Please also tell me about published data that I may have missed.  Thanks!

                        W. E. Harris
                        (harris@physics.mcmaster.ca)


THIS CATALOG IS IN THREE SECTIONS:

        PART I:    Cluster identifications and positions
        PART II:   Integrated magnitudes, colors, morphology parameters
        PART III:  Metallicities, radial velocities, structural parameters

___________________________________________________________________________


            Part I:  Identifications and Positional Data

Key to columns:
(1) Cluster identification number
(2) Other commonly used cluster name
(3,4) Right ascension and declination (epoch J2000)
(5,6) Galactic longitude and latitude (degrees)
(7) Distance from Sun (kiloparsecs)
(8) Distance from Galactic center (kpc), assuming R_0=8.0 kpc
(9-11) Distance components X,Y,Z in kiloparsecs, in a 
    Sun-centered coordinate system;
    X points toward Galactic center, Y in direction of Galactic
    rotation, Z toward North Galactic Pole


   ID      Name           RA  (2000)  DEC       L       B     R_Sun  R_gc    X     Y     Z


 NGC 104  47 Tuc       00 24 05.2  -72 04 51  305.90  -44.89    4.5   7.4   1.9  -2.6  -3.2
 NGC 288               00 52 47.5  -26 35 24  152.28  -89.38    8.8  12.0  -0.1   0.0  -8.8
 NGC 362               01 03 14.3  -70 50 54  301.53  -46.25    8.5   9.4   3.1  -5.0  -6.2
 NGC 1261              03 12 15.3  -55 13 01  270.54  -52.13   16.4  18.2   0.1 -10.1 -12.9
 Pal 1                 03 33 23.0  +79 34 50  130.07   19.03   10.9  17.0  -6.6   7.9   3.6
 AM 1     E 1          03 55 02.7  -49 36 52  258.36  -48.47  121.9 123.2 -16.3 -79.2 -91.3
 Eridanus              04 24 44.5  -21 11 13  218.11  -41.33   90.2  95.2 -53.3 -41.8 -59.6
 Pal 2                 04 46 05.9  +31 22 51  170.53   -9.07   27.6  35.4 -26.8   4.5  -4.3
 NGC 1851              05 14 06.3  -40 02 50  244.51  -35.04   12.1  16.7  -4.3  -8.9  -6.9
 NGC 1904 M 79         05 24 10.6  -24 31 27  227.23  -29.35   12.9  18.8  -7.6  -8.3  -6.3
 NGC 2298              06 48 59.2  -36 00 19  245.63  -16.01   10.7  15.7  -4.3  -9.4  -3.0
 NGC 2419              07 38 08.5  +38 52 55  180.37   25.24   84.2  91.5 -76.2  -0.5  35.9
 Pyxis                 09 07 57.8  -37 13 17  261.32    7.00   39.7  41.7  -5.9 -39.0   4.8
 NGC 2808              09 12 02.6  -64 51 47  282.19  -11.25    9.6  11.1   2.0  -9.2  -1.9
 E 3                   09 20 59.3  -77 16 57  292.27  -19.02    4.3   7.6   1.6  -3.8  -1.4
 Pal 3                 10 05 31.4  +00 04 17  240.14   41.86   92.7  95.9 -34.4 -59.9  61.8
 NGC 3201              10 17 36.8  -46 24 40  277.23    8.64    5.0   8.9   0.6  -4.9   0.8
 Pal 4                 11 29 16.8  +28 58 25  202.31   71.80  109.2 111.8 -31.6 -12.9 103.7
 NGC 4147              12 10 06.2  +18 32 31  252.85   77.19   19.3  21.3  -1.3  -4.1  18.8
 NGC 4372              12 25 45.4  -72 39 33  300.99   -9.88    5.8   7.1   2.9  -4.9  -1.0
 Rup 106               12 38 40.2  -51 09 01  300.89   11.67   21.2  18.5  10.7 -17.8   4.3
