M1,1952,Taurus,Planetary nebula,5h 34.5m,22° 1',8.2,6x4,!!,SNR (1054) - Crab Nebula
M2,7089,Aquarius,Globular cluster,21h 33.5m,0° -49',6.5,13,!!,II
M3,5272,Canes Venatici,Globular cluster,13h 42.2m,28° 23',6.4,16,!!!,VI - superb object
M4,6121,Scorpius,Globular cluster,16h 23.6m,-26° 32',5.9,26,*,IX
M5,5904,Serpens,Globular cluster,15h 18.6m,2° 5',5.8,17,!!,V - superb cluster
M6,6405,Scorpius,Open cluster,17h 40.1m,-32° 13',4.2,15,!!,n: 80 - Butterfly Cluster
M7,6475,Scorpius,Open cluster,17h 53.9m,-34° 49',3.3,80,!!,nmbr:80-fine naked-eye OC
M8,6523,Sagittarius,Diffuse nebula,18h 3.8m,-24° 23',6.8,80x40,!!!,spec: O7e - Lagoon Nebula
M9,6333,Ophiuchus,Globular cluster,17h 19.2m,-18° 31',7.9,2.4,*,VIII
M10,6254,Ophiuchus,Globular cluster,16h 57.1m,-4° 6',6.6,8.2,!,VII
M11,6705,Scutum,Open cluster,18h 51.1m,-6° 16',5.8,14,!,n:200 - Wild Duck Cluster
M12,6218,Ophiuchus,Globular cluster,16h 47.2m,-1° 57',6.6,9.3,!!,IX
M13,6205,Hercules,Globular cluster,16h 41.7m,36° 28',5.9,10,!!,V - Hercules Cluster
M14,6402,Ophiuchus,Globular cluster,17h 37.6m,-3° 15',7.6,3,*,
M15,7078,Pegasus,Globular cluster,21h 30m,12° 10',6.4,7.4,!,IV - fine object
M16,6611,Serpens,Diffuse nebula,18h 18.8m,-13° 47',6.4,25,!!,neb & clust- Eagle Nebula
M17,6618,Sagittarius,Diffuse nebula,18h 20.8m,-16° 11',7.5,46x37,!!,Swan or Omega Nebula
M18,6613,Sagittarius,Open cluster,18h 19.9m,-17° 8',6.9,9,*,number: 20
M19,6273,Ophiuchus,Globular cluster,17h 2.6m,-26° 16',7.2,4.3,*,VIII
M20,6514,Sagittarius,Diffuse nebula,18h 2.6m,-23° 2',9,29x27,!!,spec: O7 - Trifid Nebula
M21,6531,Sagittarius,Open cluster,18h 4.6m,-22° 30',5.9,13,*,number: 70 - M20 in field
M22,6656,Sagittarius,Globular cluster,18h 36.4m,-23° 54',5.1,17.3,!!,VII - one of finest GCs
M23,6494,Sagittarius,Open cluster,17h 56.8m,-19° 1',5.5,27,*,number: 150
M24,6603,Sagittarius,Open cluster,18h 16.9m,-18° 29',4.6,4,*,number: 50 - star cloud
M25,IC4725,Sagittarius,Open cluster,18h 31.6m,-19° 15',4.6,32,*,number: 30 - open cloud
M26,6694,Scutum,Open cluster,18h 45.2m,-9° 24',8,15,*,number: 30
M27,6853,Vulpecula,Planetary nebula,19h 59.6m,22° 43',7.6,8x4,!!,Dumbbell Nebula
M28,6626,Sagittarius,Globular cluster,18h 24.5m,-24° 52',6.9,6,!,IV
M29,6913,Cygnus,Open cluster,20h 23.9m,38° 32',6.6,7,*,number: 50
M30,7099,Capricornus,Globular cluster,21h 40.4m,-23° 11',7.5,5.7,!,V
M31,224,Andromeda,Spiral galaxy,0h 42.7m,41° 16',4.8,160x40,!!!,Sb - Andromeda Galaxy
M32,221,Andromeda,Elliptical galaxy,0h 42.7m,40° 52',8.7,3.6x3.1,*,E0 - companion of M31
M33,598,Triangulum,Spiral galaxy,1h 33.9m,30° 39',6.3,60x35,!!,Sc - Pinwheel Galaxy
M34,1039,Perseus,Open cluster,2h 42m,42° 47',5.5,35,*,number: 60
M35,2168,Gemini,Open cluster,6h 8.9m,24° 20',5.3,28,*,number: 200
M36,1960,Auriga,Open cluster,5h 36.1m,34° 8',6,12,*,number: 60
M37,2099,Auriga,Open cluster,5h 52.4m,32° 33',5.6,24,!,number: 150
M38,1912,Auriga,Open cluster,5h 28.7m,35° 50',6.4,21,*,number: 100
M39,7092,Cygnus,Open cluster,21h 32.2m,48° 26',4.6,32,*,number: 30
M40,WNC 4,Ursa Major,Double star,12h 22.4m,58° 5',9.1,"50""",*,"Winnnecke 4 - sep. 50"""
M41,2287,Canis Major,Open cluster,6h 47m,-20° 44',4.6,38,*,number: 80
M42,1976,Orion,Diffuse nebula,5h 35.4m,-5° 27',2.9,66x60,!!!,Great Orion Nebula
M43,1982,Orion,Diffuse nebula,5h 35.6m,-5° 16',6.9,20x15,*,detached portion of M42
M44,2632,Cancer,Open cluster,8h 40.1m,19° 59',3.1,95,!!,Praesepe - Beehive Clustr
M45,,Taurus,Open cluster,3h 47m,24° 7',1.2,110,*,nmber: 130 - The Pleiades
M46,2437,Puppis,Open cluster,7h 41.8m,-14° 49',6.1,27,!,n:100 - NGC 2438 in field
M47,2422,Puppis,Open cluster,7h 36.6m,-14° 30',4.5,30,*,number: 30
M48,2548,Hydra,Open cluster,8h 13.8m,-5° 48',5.8,54,*,number: 80
M49,4472,Virgo,Elliptical galaxy,12h 29.8m,8° 0',8.4,4.0x3.4,*,E4
M50,2323,Monoceros,Open cluster,7h 3.2m,-8° 20',5.9,10.0x5.5,*,number: 80
M51,5194,Canes Venatici,Spiral galaxy,13h 29.9m,47° 12',8.4,10.0x5.5,!!,Sc - Whirlpool Galaxy
M52,7654,Cassiopeia,Open cluster,23h 24.2m,61° 35',6.9,13,*,number: 100
M53,5024,Coma Berenices,Globular cluster,13h 12.9m,18° 10',7.7,3.3,*,V
M54,6715,Sagittarius,Globular cluster,18h 55.1m,-30° 29',7.7,6,*,III
M55,6809,Sagittarius,Globular cluster,19h 40m,-30° 58',7,15,*,XI
M56,6779,Lyra,Globular cluster,19h 16.6m,30° 11',8.3,1.8,*,X
M57,6720,Lyra,Planetary nebula,18h 53.6m,33° 2',9.3,1.3x1,!!,cnt str:15 - Ring Nebula
M58,4579,Virgo,Spiral galaxy,12h 37.7m,11° 49',9.8,4.0x3.5,*,Sb - fine compact spiral
M59,4621,Virgo,Elliptical galaxy,12h 42m,11° 39',9.8,2.0x1.8,*,E3
M60,4649,Virgo,Elliptical galaxy,12h 43.7m,11° 33',8.8,3.0x2.5,*,E1 - NGC 4647 in field
M61,4303,Virgo,Spiral galaxy,12h 21.9m,4° 28',9.7,5.7x5.5,*,Sc - large face-on spiral
M62,6266,Ophiuchus,Globular cluster,17h 1.2m,-30° 7',6.6,4.3,*,IV - Burnham's under Sco
M63,5055,Canes Venatici,Spiral galaxy,13h 15.8m,42° 2',8.6,10x5,*,Sb - Sunflower Nebula
