T     Aps ,M         , 8.4  ,15.0  ,2441096.      ,  261.03        ,43 
X     Aps ,M         ,14.0  ,16.5  ,2425670.      ,  240.          ,   
Y     Aps ,M         ,14.2  ,16.5  ,2426090.      ,  247.5         ,   
RR    Aps ,M         ,13.4  ,16.5  ,2425720.      ,  124.0         ,   
RS    Aps ,RRAB      ,14.5  ,16.0  ,2425327.48    ,    0.5652      ,   
RT    Aps ,M         ,12.6  ,16.5  ,2440353.      ,  244.73        ,   
RU    Aps ,SR        ,14.5  ,15.3  ,2425410.      ,  163.          ,   
RV    Aps ,EA/DS     ,10.6  ,15.2  ,2425360.4     ,   34.074       ,   
RW    Aps ,M         ,13.8  ,16.5  ,2425355.      ,  117.3         ,   
RX    Aps ,M         ,10.5  ,16.0  ,2425450.      ,  474.          ,   
RY    Aps ,M         ,10.0  ,16.0  ,2425660.      ,  383.          ,   
RZ    Aps ,M         ,13.5  ,16.5  ,2425330.      ,  222.7         ,   
ST    Aps ,M         ,13.0  ,16.5  ,2425390.      ,  256.3         ,   
SV    Aps ,M         ,10.0  ,16.0  ,2425410.      ,  303.          ,   
SZ    Aps ,EA/SD     ,14.0  ,16.3  ,2425330.55    ,    3.520       ,   
TX    Aps ,M         ,13.0  ,16.5  ,2425655.      ,  240.          ,   
TY    Aps ,RRAB      ,11.25 ,12.20 ,2439726.275   ,    0.5016935   ,32 
TZ    Aps ,M         ,13.5  ,16.5  ,2425740.      ,  315.1         ,   
UV    Aps ,RR        ,15.1  ,15.9  ,2425433.24    ,    0.4194      ,   
UX    Aps ,RR        ,14.7  ,15.8  ,2425327.52    ,    0.40075     ,   
UY    Aps ,RRAB      ,12.0  ,13.7  ,2425326.54    ,    0.48252     ,   
UZ    Aps ,SR        ,12.1  ,13.9  ,2425690.      ,   88.3         ,   
VV    Aps ,M         ,12.4  ,16.5  ,2439355.      ,  234.25        ,   
VX    Aps ,RRAB      ,11.5  ,12.6  ,2434239.361   ,    0.484578    ,35 
VY    Aps ,SRA       ,11.0  ,14.52 ,2427933.      ,  152.          ,   
VZ    Aps ,M         , 8.2  ,17.5  ,2436845.      ,  385.          ,   
