R     Ara ,EA/DM:    , 6.0  , 6.9  ,2425818.028   ,    4.42507     ,09 
S     Ara ,RRAB      , 9.96 ,11.20 ,2441152.417   ,    0.4518830   ,12 
U     Ara ,M         , 7.7  ,14.1  ,2440289.      ,  225.21        ,44 
V     Ara ,M         ,10.9  ,14.0  ,2430054.      ,  378.6         ,   
X     Ara ,M         , 9.0  ,14.5  ,2436705.      ,  175.78        ,51 
Y     Ara ,M         , 9.8  ,13.0  ,2429385.      ,  241.3         ,   
Z     Ara ,M         ,10.0  ,13.5  ,2430165.      ,  288.73        ,   
RR    Ara ,M         ,10.7  ,13.8  ,2424740.      ,  205.5         ,   
RS    Ara ,M         ,10.5  ,14.   ,2424000.      ,  199.7         ,   
RT    Ara ,SRD       ,10.1  ,11.8  ,2427898.      ,   38.3         ,   
RU    Ara ,M:        ,10.2  ,12.   ,2412648.      ,  252.          ,   
RV    Ara ,M         ,10.4  ,17.0  ,2429877.      ,  291.8         ,   
RW    Ara ,EA/SD     , 8.85 ,11.45 ,2441861.8801  ,    4.367215    ,13 
RY    Ara ,RV        , 9.2  ,12.1  ,2430220.      ,  143.5         ,   
RZ    Ara ,M         ,11.   ,14.   ,2424610.      ,  298.7         ,   
SW    Ara ,EA/SD     ,12.5  ,15.9  ,2426869.420   ,    6.23752     ,   
SY    Ara ,EA/SD     ,10.1  ,12.2  ,2425631.377   ,    1.856632    ,16 
SZ    Ara ,M         ,11.0  ,15.0  ,2427640.      ,  220.5         ,   
TT    Ara ,M         ,11.0  ,14.0  ,2424739.      ,  175.          ,   
TV    Ara ,M         ,12.   ,15.   ,2413346.      ,  367.          ,   
TZ    Ara ,M         ,13.0  ,17.5  ,2427170.      ,  280.          ,   
UU    Ara ,M         ,12.3  ,16.8  ,2427200.      ,  188.5         ,   
UV    Ara ,M         ,12.0  ,16.0  ,2423621.      ,  247.0         ,   
UW    Ara ,EA/SD     , 9.7  ,10.6  ,2419760.410   ,    3.297146    ,11 
UY    Ara ,RV        ,11.1  ,12.2  ,2426868.4     ,   57.22        ,   
UZ    Ara ,EA/SD:    ,11.4  ,12.4  ,2425534.961   ,    1.5999      ,10 
VV    Ara ,EA        ,13.2  ,13.8  ,2425598.723   ,    1.00937     ,22 
VW    Ara ,EA/SD     ,13.4  ,15.1  ,2425776.869   ,    3.71955     ,20 
VY    Ara ,M:        ,15.0  ,16.5  ,2423992.      ,  247.          ,   
VZ    Ara ,RRAB      ,13.2  ,14.8  ,2425678.320   ,    0.62563     ,13 
WW    Ara ,M         ,14.0  ,16.5  ,2424300.      ,  221.          ,   
WX    Ara ,M:        ,15.0  ,16.5  ,2425412.      ,  252.          ,   
WZ    Ara ,E/DS:     ,13.5  ,14.2  ,2426067.70    ,   14.1423      ,   
XX    Ara ,EA/DS     ,13.6  ,15.2  ,2425744.950   ,    9.8442      ,   
XY    Ara ,SR        ,15.0  ,16.5  ,2424273.      ,  219.5         ,   
XZ    Ara ,M:        ,15.0  ,16.5  ,2424680.      ,  224.          ,   
YZ    Ara ,M         ,13.0  ,16.2  ,2424270.      ,  263.          ,   
ZZ    Ara ,EA/SD     ,12.7  ,13.9  ,2425771.410   ,    1.79942     ,23 
AA    Ara ,EA/DS     ,13.0  ,14.9  ,2425822.590   ,    8.5207      ,20 
AB    Ara ,CWB:      ,12.1  ,14.3  ,2441147.22    ,    5.95746     ,20 
AC    Ara ,EA/DS     ,13.1  ,14.8  ,2425623.330   ,   16.4370      ,23 
AD    Ara ,CWA       ,12.4  ,15.4  ,2426127.54    ,   15.9556      ,50 
AF    Ara ,EA/SD     ,13.6  ,14.7  ,2425765.428   ,    0.844688    ,20 
AG    Ara ,M         ,13.2  ,16.0  ,2426014.      ,  193.          ,   
AH    Ara ,EA/SD     ,13.0  ,14.5  ,2425889.088   ,    1.00502     ,25 
AI    Ara ,M         ,14.4  ,16.5  ,2426505.      ,  310.4         ,   
AK    Ara ,M         ,12.9  ,16.5  ,2426080.      ,  293.3         ,   
AL    Ara ,M:        ,14.8  ,16.5  ,2426505.      ,  178.7         ,   
AM    Ara ,M         ,13.5  ,16.5  ,2426175.      ,  262.3         ,   
AN    Ara ,SR        ,12.7  ,14.0  ,2425780.      ,  153.          ,   
AO    Ara ,M         ,14.0  ,16.5  ,2425770.      ,  265.          ,   
AP    Ara ,M:        ,15.2  ,16.7  ,2426060.      ,  184.1         ,   
AQ    Ara ,M         ,12.9  ,15.5  ,2426125.      ,  237.2         ,   
AR    Ara ,SRA       ,13.7  ,16.0  ,2426560.      ,  190.          ,   
AS    Ara ,SR        ,14.5  ,16.5  ,2426550.      ,  269.5         ,   
AU    Ara ,SRA       ,14.5  ,16.3  ,2424330.      ,  248.          ,   
AV    Ara ,M         ,14.2  ,16.5  ,2425480.      ,  203.7         ,   
AW    Ara ,M         ,14.2  ,16.5  ,2423980.      ,  180.5         ,   
AX    Ara ,M         ,13.7  ,16.5  ,2426100.      ,  196.6         ,   
AY    Ara ,M         ,13.7  ,16.0  ,2425410.      ,  358.          ,   
AZ    Ara ,M         ,13.4  ,16.5  ,2425510.      ,  460.          ,   
BB    Ara ,M:        ,15.0  ,16.5  ,2424405.      ,  220.5         ,   
BC    Ara ,M:        ,15.1  ,16.5  ,2426460.      ,  151.2         ,   
BD    Ara ,M         ,14.3  ,16.5  ,2426500.      ,  259.          ,   
BE    Ara ,M:        ,14.6  ,16.5  ,2425410.      ,  224.          ,   
BG    Ara ,M         ,14.3  ,16.5  ,2425720.      ,  300.8         ,   
BH    Ara ,M:        ,14.5  ,16.5  ,2426100.      ,  275.3         ,   
BI    Ara ,M         ,13.6  ,16.4  ,2426185.      ,  158.7         ,   
BK    Ara ,M         ,13.6  ,16.0  ,2426580.      ,  209.4         ,   
BL    Ara ,M         ,13.7  ,16.5  ,2426150.      ,  232.5         ,   
BM    Ara ,M         ,14.2  ,16.5  ,2425780.      ,  232.          ,   
BN    Ara ,M         ,13.0  ,16.5  ,2425710.      ,  339.7         ,   
BO    Ara ,M         ,13.2  ,16.5  ,2425465.      ,  196.          ,   
BP    Ara ,M         ,13.4  ,16.5  ,2426150.      ,  203.5         ,   
BQ    Ara ,SR        ,11.9  ,13.8  ,2424405.      ,   81.1         ,   
BR    Ara ,M         ,13.6  ,16.5  ,2425720.      ,  260.          ,   
BS    Ara ,M:        ,15.0  ,16.5  ,2425500.      ,  270.          ,   
BT    Ara ,M         ,12.5  ,16.5  ,2420380.      ,  370.          ,   
BU    Ara ,M         ,14.4  ,16.5  ,2426065.      ,  217.2         ,   
BV    Ara ,SRA       ,14.7  ,16.5  ,2426860.      ,  198.          ,   
