R     CMa ,EA/SD     , 5.70 , 6.34 ,2444289.361   ,    1.1359405   ,15 
T     CMa ,SR        , 9.0  ,11.   ,2423692.      ,  309.          ,   
U     CMa ,SRA       ,10.0  ,12.0  ,2431437.      ,  304.90        ,40 
V     CMa ,M         ,10.3  ,13.3  ,2431478.      ,  242.54        ,40 
Y     CMa ,M         ,13.0  ,16.2  ,2426320.      ,  406.          ,   
RR    CMa ,EA/SD     ,12.5  ,14.2  ,2425704.282   ,    1.196242    ,   
RT    CMa ,EA/SD     ,11.4  ,12.9  ,2426625.547   ,    1.293772    ,17 
RU    CMa ,EA/SD     ,11.3  ,14.6  ,2426711.342   ,    1.976168    ,12 
RW    CMa ,DCEP      ,11.8  ,12.8  ,2441042.22    ,    5.729685    ,25 
RX    CMa ,EA/SD     ,11.0  ,13.0  ,2442413.0587  ,    2.0691121   ,16 
RY    CMa ,DCEP      , 7.71 , 8.45 ,2436416.937   ,    4.67825     ,24 
RZ    CMa ,DCEP      , 9.36 , 9.97 ,2436428.062   ,    4.254832    ,28 
SS    CMa ,DCEP      , 9.26 ,10.36 ,2441109.19    ,   12.361       ,45 
ST    CMa ,M         ,11.   ,15.   ,2439049.      ,  288.5         ,   
SU    CMa ,M         ,10.0  ,12.9  ,2426690.      ,  248.          ,32 
SW    CMa ,EA/DM     , 9.5  ,10.0  ,2426706.177   ,   10.091948    ,06 
SX    CMa ,EA/SD     ,10.1  ,11.0  ,2428095.400   ,    1.62425838  ,22 
SY    CMa ,M         ,10.4  ,14.3  ,2438821.      ,  220.0         ,   
SZ    CMa ,EA/SD:    ,10.2  ,11.1  ,2426743.337   ,    2.8560849   ,07 
TT    CMa ,M         ,12.3  ,16.3  ,2426020.      ,  314.          ,   
TU    CMa ,EA        , 9.7  ,10.7  ,2426977.445   ,    1.1278041   ,16 
TV    CMa ,DCEP      ,10.16 ,10.96 ,2440676.34    ,    4.67001     ,29 
TW    CMa ,DCEP      , 9.28 , 9.93 ,2439429.26    ,    6.99507     ,31 
TX    CMa ,EA/SD     , 9.6  ,10.8  ,2442363.504   ,    2.3973893   ,10 
TY    CMa ,M         ,11.5  ,14.   ,2427699.      ,  228.          ,   
TZ    CMa ,EA        , 9.8  ,10.5  ,2427124.871   ,    1.911446    ,17 
UU    CMa ,EA/SD     ,10.   ,12.5  ,2444598.412   ,    2.1664842   ,17 
UV    CMa ,M         ,10.5  ,14.   ,2427410.      ,  340.          ,   
UW    CMa ,EB/KE:    , 4.84 , 5.33 ,2436185.358   ,    4.393407    ,   
UX    CMa ,EB/KE     ,11.7  ,12.6  ,2426706.235   ,    0.962084    ,   
UZ    CMa ,SRC       ,10.18 ,12.3  ,2429324.      ,   82.5         ,47 
VV    CMa ,CEP       ,12.2  ,12.8  ,2426090.220   ,    3.8627      ,   
VW    CMa ,EB/KE     , 9.0  , 9.2  ,2427924.229   ,    0.720831    ,   
VX    CMa ,CWB       ,15.2  ,16.0  ,2427831.413   ,    2.04425     ,15 
VZ    CMa ,DCEPS     , 9.15 , 9.60 ,2426747.14    ,    3.12640     ,43 
WX    CMa ,SR        ,14.2  ,15.7  ,2428190.      ,  125.          ,   
WY    CMa ,CWB       ,14.2  ,14.6  ,2428065.51    ,    1.144379    ,30 
XX    CMa ,SR        ,13.3  ,15.5  ,2428144.      ,  421.          ,   
XY    CMa ,EA        ,13.3  ,13.9  ,2428060.751   ,    1.409696    ,18 
XZ    CMa ,CEP       ,13.0  ,14.4  ,2428060.31    ,    2.557705    ,26 
YY    CMa ,EA        ,12.3  ,12.7  ,2428068.441   ,    5.60945     ,20 
YZ    CMa ,CWB       ,12.8  ,13.9  ,2428054.65    ,    3.15664     ,30 
ZZ    CMa ,EA/SD     ,12.7  ,13.7  ,2428058.271   ,    2.703849    ,19 
AA    CMa ,EA/SD     ,13.8  ,15.9  ,2428055.390   ,    1.401912    ,16 
AB    CMa ,RRAB      ,13.5  ,14.5  ,2428048.337   ,    0.6231735   ,15 
AC    CMa ,EA/SD     ,12.8  ,15.3  ,2428069.195   ,    3.40641     ,10 
AD    CMa ,EA        ,13.5  ,13.7  ,2428060.944   ,    0.7933136   ,21 
AE    CMa ,EA/SD:    ,13.1  ,13.8  ,2428061.153   ,    3.493109    ,16 
AF    CMa ,EA/DS     ,12.3  ,15.5  ,2428073.265   ,    8.38100     ,10 
AG    CMa ,EA/SD     ,13.9  ,15.0  ,2428059.355   ,    2.672654    ,10 
AH    CMa ,EA/SD     ,13.9  ,15.5  ,2428059.06    ,    5.50783     ,10 
AI    CMa ,CEP       ,13.1  ,14.6  ,2428056.43    ,    3.27513     ,20 
AK    CMa ,EA/SD:    ,13.1  ,14.1  ,2428060.924   ,    1.8081903   ,15 
AL    CMa ,CEP       ,13.6  ,14.3  ,2428059.21    ,    2.82549     ,26 
AM    CMa ,CEP       ,13.1  ,14.4  ,2428060.69    ,    2.54554     ,20 
AN    CMa ,EA        ,14.7  ,15.3  ,2428050.257   ,    2.416532    ,14 
AO    CMa ,DCEP      ,12.9  ,14.1  ,2428062.70    ,    5.81634     ,28 
