R     Car ,M         , 3.9  ,10.5  ,2442000.      ,  308.71        ,48 
S     Car ,M         , 4.5  , 9.9  ,2442112.      ,  149.49        ,51 
U     Car ,DCEP      , 5.72 , 7.02 ,2437320.055   ,   38.7681      ,21 
V     Car ,DCEP      , 7.08 , 7.82 ,2437454.023   ,    6.69668     ,30 
X     Car ,EB/KE     , 7.90 , 8.65 ,2428857.146   ,    1.0826310   ,   
Y     Car ,DCEP(B)   , 7.53 , 8.48 ,2441041.39    ,    3.639760    ,29 
Z     Car ,M         ,10.2  ,15.2  ,2439448.      ,  384.01        ,37 
RV    Car ,M         ,10.2  ,16.   ,2438937.      ,  365.68        ,39 
RW    Car ,M         , 8.5  ,15.0  ,2438991.      ,  318.62        ,47 
RX    Car ,M         ,12.   ,14.   ,2419466.      ,  332.8         ,   
RY    Car ,M         ,12.5  ,17.2  ,2438744.      ,  424.3         ,45 
RZ    Car ,M         , 8.8  ,15.0  ,2439586.      ,  272.77        ,42 
SS    Car ,EA        ,12.3  ,13.0  ,2423828.36    ,    3.300759    ,07 
ST    Car ,EB/SD     , 9.6  ,10.75,2444317.7292  ,    0.90164965  ,   
SU    Car ,M         ,10.   ,17.5  ,2440096.      ,  575.6         ,   
SV    Car ,M         ,10.1  ,13.8  ,2429340.      ,  298.4         ,   
SW    Car ,EA/DS     ,10.8  ,12.4  ,2428947.643   ,    8.165878    ,10 
SX    Car ,DCEP      , 8.66 , 9.47 ,2435074.336   ,    4.8600      ,30 
TT    Car ,M         ,12.   ,17.   ,2420621.      ,  370.5         ,   
TU    Car ,M         ,12.   ,17.   ,2420347.      ,  258.          ,   
TX    Car ,RRAB      ,12.5  ,13.3  ,2424566.442   ,    0.6011360   ,27 
UU    Car ,M         , 9.9  ,12.9  ,2429523.      ,  197.68        ,47 
UW    Car ,DCEP      , 8.98 , 9.86 ,2434897.059   ,    5.345773    ,28 
UX    Car ,DCEP      , 7.81 , 8.67 ,2434906.805   ,    3.682246    ,26 
UY    Car ,DCEP      , 8.54 , 9.33 ,2434890.645   ,    5.543726    ,27 
UZ    Car ,DCEP      , 9.00 , 9.62 ,2434894.69    ,    5.20466     ,29 
VW    Car ,M         ,13.   ,16.   ,2424916.      ,  109.03        ,   
VY    Car ,DCEP      , 6.87 , 8.05 ,2410009.58    ,   18.990       ,36 
WW    Car ,DCEP      , 9.35 ,10.11 ,2434925.15    ,    4.67681     ,28 
WZ    Car ,DCEP      , 8.65 ,10.01 ,2444143.17    ,   23.0132      ,17 
XX    Car ,DCEP      , 8.67 , 9.89 ,2436221.730   ,   15.71624     ,33 
XY    Car ,DCEP      , 8.82 , 9.77 ,2436190.230   ,   12.43483     ,39 
XZ    Car ,DCEP      , 8.05 , 9.13 ,2436205.754   ,   16.6499      ,37 
YY    Car ,EA/SD     ,10.0  ,11.5  ,2423901.932   ,    2.64264     ,12 
YZ    Car ,DCEP      , 8.24 , 9.08 ,2434907.04    ,   18.1631      ,41 
AB    Car ,SRA       ,11.1  ,13.0  ,2429850.      ,  310.          ,32 
AF    Car ,M         ,10.0  ,15.0  ,2438125.      ,  453.0         ,   
AK    Car ,M         ,12.7  ,13.5  ,2428824.      ,  298.2         ,   
AL    Car ,M         ,11.5  ,15.5  ,2428267.      ,  424.          ,   
AM    Car ,SR        ,14.3  ,16.5  ,2421021.      ,  314.          ,   
AN    Car ,M         ,13.   ,17.   ,2438770.      ,  407.55        ,   
AP    Car ,M         ,12.5  ,17.   ,2420252.      ,  369.          ,   
AQ    Car ,DCEP      , 8.55 , 9.15 ,2436188.449   ,    9.76896     ,50 
AS    Car ,EA        ,11.   ,12.2  ,2423921.655   ,    2.76593     ,13 
AU    Car ,M:        ,13.8  ,15.6  ,2425750.      ,  332.          ,   
AW    Car ,EA/SD     ,12.2  ,16.5  ,2423997.328   ,    6.51070     ,09 
BL    Car ,EA/SD     ,14.5  ,16.5  ,2423900.874   ,    3.35531     ,13 
BP    Car ,EA/DS     ,11.5  ,12.5  ,2423879.931   ,    9.64492     ,04 
BS    Car ,EW/KW     ,14.7  ,15.3  ,2423866.298   ,    0.292506    ,   
BX    Car ,SRA       ,12.5  ,15.5  ,2423925.      ,  427.          ,   
CC    Car ,DCEP      ,11.71 ,12.83 ,2440741.35    ,    4.75995     ,24 
CD    Car ,EA        ,12.   ,12.9  ,2423900.198   ,    2.96756     ,08 
CF    Car ,DCEP      ,13.1  ,13.8  ,2423789.3     ,    5.4949      ,40 
CG    Car ,M         ,11.0  ,16.   ,2428746.      ,  224.7         ,   
CH    Car ,M         ,12.8  ,17.   ,2421004.      ,  273.          ,   
CI    Car ,EA/SD     ,11.8  ,13.8  ,2423901.246   ,    2.81849     ,11 
CK    Car ,SRC       , 9.2  ,10.5  ,2429500.      ,  525.          ,   
CL    Car ,SRC       , 9.7  ,12.2  ,2429530.      ,  513.          ,   
CM    Car ,M         ,11.5  ,14.   ,2428885.      ,  335.          ,   
CN    Car ,DCEP      ,10.24 ,11.00 ,2434510.24    ,    4.93261     ,30 
CO    Car ,EA/DS     , 9.6  ,10.8  ,2423877.983   ,    8.3121      ,10 
CP    Car ,EA        ,13.2  ,14.4  ,2423898.707   ,    2.3942      ,12 
CQ    Car ,DCEP      ,14.3  ,14.9  ,2424298.405   ,    5.318934    ,26 
CR    Car ,DCEP      ,11.30 ,11.89 ,2440737.25    ,    9.76094     ,50 
CS    Car ,DCEP      ,13.0  ,13.9  ,2424294.31    ,    6.66234     ,30 
CT    Car ,DCEP      ,11.70 ,12.82 ,2435095.840   ,   18.0565      ,33 
CU    Car ,EA        ,13.8  ,15.1  ,2423928.944   ,    4.10112     ,05 
CV    Car ,EA/DS:    ,11.1  ,13.2  ,2425759.730   ,   14.414897    ,10 
CW    Car ,EA/SD     ,12.8  ,14.2  ,2423940.986   ,    1.97398     ,13 
CX    Car ,EA/SD     ,10.0  ,10.8  ,2423909.914   ,    3.34717     ,12 
CY    Car ,DCEP      , 9.44 ,10.05 ,2435069.355   ,    4.26593     ,34 
CZ    Car ,EA        ,12.6  ,13.6  ,2423900.498   ,    2.2850      ,13 
DD    Car ,EA/SD     ,13.2  ,14.1  ,2423904.270   ,    1.44272     ,14 
DE    Car ,EA/SD     ,11.2  ,13.8  ,2423891.343   ,    3.71306     ,11 
DF    Car ,EA/DM     ,12.8  ,13.3  ,2423906.697   ,    1.8663      ,10 
DG    Car ,EA/DS     ,11.3  ,13.3  ,2418098.75    ,   34.7247      ,04 
DK    Car ,EA/DS     ,11.6  ,12.7  ,2423918.458   ,   11.335       ,10 
DL    Car ,EA/SD     ,12.8  ,14.4  ,2423901.355   ,    4.8215      ,09 
DM    Car ,EA/SD     ,13.1  ,15.1  ,2423911.648   ,    5.3163      ,14 
DN    Car ,EA/SD     ,13.   ,14.4  ,2423871.050   ,    1.4525      ,15 
DO    Car ,EA        , 9.3  , 9.5  ,2429765.533   ,    3.85194     ,09 
DP    Car ,EA        ,13.   ,14.0  ,2423877.795   ,    7.5637      ,10 
DQ    Car ,EA        ,11.1  ,11.5  ,2423872.929   ,    0.86691     ,19 
DR    Car ,EA/SD     ,11.7  ,12.5  ,2423849.5     ,    3.9957      ,10 
DS    Car ,EA/KE:    ,12.5  ,12.9  ,2423843.447   ,    1.0988      ,10 
DT    Car ,EA        ,14.5  ,14.9  ,2423869.293   ,    4.2866      ,11 
DU    Car ,EA        ,13.5  ,14.6  ,2423856.352   ,    4.9695      ,10 
DV    Car ,EA/KE:    ,10.0  ,10.3  ,2423840.321   ,    0.8405      ,24 
DW    Car ,EA/KE     , 9.6  ,10.3  ,2429241.997   ,    1.3277504   ,18 
DX    Car ,EA/DM     ,10.6  ,10.8  ,2423810.13    ,   10.466       ,10 
DY    Car ,DCEP      ,10.91 ,11.76 ,2440773.22    ,    4.67461     ,24 
DZ    Car ,EA/AR:    ,13.   ,13.7  ,2423899.235   ,    2.3921      ,15 
EE    Car ,RRAB      ,12.9  ,13.5  ,2424553.54    ,    0.6787054   ,16 
EF    Car ,EA        ,13.   ,13.6  ,2423899.42    ,    6.578       ,08 
EG    Car ,EA        ,13.5  ,14.1  ,2423874.264   ,    6.908       ,10 
EH    Car ,EA/DS     ,12.5  ,15.   ,2423916.48    ,   13.367       ,08 
EI    Car ,EA/SD     ,14.   ,15.3  ,2423870.557   ,    0.90145     ,16 
EK    Car ,EA/DM     ,14.   ,14.4  ,2423864.54    ,    1.75106     ,16 
EL    Car ,EA/SD     ,13.5  ,15.   ,2423912.93    ,    3.46824     ,12 
EM    Car ,EA/DM     , 8.73 , 9.0  ,2429551.574   ,    3.41427     ,14 
EN    Car ,EA/KE     ,10.58 ,10.9  ,2423879.894   ,    1.53498     ,15 
EO    Car ,EA        ,13.5  ,14.4  ,2423870.129   ,    2.15225     ,18 
EQ    Car ,EA/DS:    ,13.5  ,14.5  ,2425018.12    ,   25.5190      ,17 
ER    Car ,DCEP      , 6.58 , 7.13 ,2440277.88    ,    7.71855     ,34 
ET    Car ,DCEP      ,14.   ,15.4  ,2426883.217   ,    2.910837    ,17 
EU    Car ,EA/SD     ,14.   ,15.4  ,2423918.540   ,    2.52589     ,09 
EV    Car ,SRC       , 9.2  ,10.6  ,2429475.      ,  347.          ,   
EW    Car ,DCEP      ,14.5  ,15.3  ,2424560.83    ,    4.23873     ,17 
EX    Car ,EA/SD     ,10.0  ,11.5  ,2423997.641   ,    1.396366    ,14 
EY    Car ,DCEP      ,10.00 ,10.68 ,2435067.004   ,    2.87598     ,30 
EZ    Car ,EA/KE     , 9.5  ,10.0  ,2423995.421   ,    1.1886881   ,20 
FF    Car ,DCEP      ,13.2  ,14.2  ,2426007.10    ,   16.3285      ,37 
FG    Car ,EA        ,13.   ,14.1  ,2423903.885   ,    2.262515    ,14 
FH    Car ,DCEP      ,13.0  ,14.0  ,2425570.23    ,    5.66439     ,25 
FI    Car ,DCEP      ,11.34 ,11.92 ,2441122.8     ,   13.4582      ,50 
FK    Car ,DCEP      ,13.   ,14.4  ,2425382.96    ,   23.254       ,14 
FL    Car ,EA        ,12.5  ,12.8  ,2423940.386   ,    0.92576     ,25 
FM    Car ,DCEP      ,13.   ,14.1  ,2424298.06    ,    7.63861     ,29 
FN    Car ,DCEP      ,11.16 ,11.85 ,2434899.352   ,    4.58569     ,40 
FO    Car ,DCEP      ,10.51 ,11.11 ,2441115.8     ,   10.3568      ,45 
FP    Car ,EA        ,10.1  ,11.5  ,2421725.048   ,  176.027       ,04 
FQ    Car ,DCEP      ,12.8  ,14.0  ,2441148.24    ,   10.27399     ,44 
FR    Car ,DCEP      , 9.29 ,10.04 ,2441048.5     ,   10.71697     ,43 
FS    Car ,EB        ,10.8  ,11.5  ,2422746.105   ,    2.146587    ,   
FV    Car ,EA/SD     ,12.9  ,15.8  ,2430877.1073  ,    2.11149854  ,19 
FY    Car ,SR:       ,11.0  ,12.5  ,2428665.      ,   27.0         ,   
FZ    Car ,DCEPS     ,11.72 ,12.12 ,2425738.51    ,    3.57792     ,45 
GG    Car ,EB/GS     , 9.1  , 9.5  ,2429580.13    ,   62.086       ,   
GH    Car ,DCEPS     , 9.00 , 9.35 ,2435069.395   ,    5.72557     ,44 
GI    Car ,DCEPS     , 8.10 , 8.47 ,2434924.602   ,    4.43061     ,46 
GK    Car ,RV        ,12.5  ,14.0  ,2424239.      ,   55.6         ,14 
GL    Car ,EA/DM     , 9.73 ,10.33 ,2424264.448   ,    2.4222338   ,14 
GM    Car ,EB/KE     , 9.11 , 9.39 ,2429344.340   ,    1.535433    ,   
GN    Car ,EB        ,11.8  ,13.1  ,2423970.247   ,    4.34381     ,   
GO    Car ,EA        ,14.3  ,14.8  ,2424641.422   ,    2.75646     ,13 
GP    Car ,EA        ,12.4  ,12.8  ,2424445.440   ,    2.264192    ,23 
GQ    Car ,EW        ,13.0  ,13.7  ,2424001.220   ,    0.68371     ,   
GR    Car ,EA/DM     ,13.6  ,14.0  ,2423906.54    ,   17.13952     ,02 
GS    Car ,DCEP      ,12.8  ,14.1  ,2424072.10    ,    4.05515     ,20 
GT    Car ,DCEP      ,11.57 ,13.19 ,2426128.51    ,   13.1620      ,50 
GU    Car ,EA/SD     ,11.1  ,12.2  ,2428692.42    ,    3.49056     ,13 
GV    Car ,EA/DM     , 8.92 , 9.32 ,2423828.433   ,    4.294621    ,10 
GW    Car ,EB/KE     , 9.55 ,10.1  ,2430291.0395  ,    1.1289111   ,   
GX    Car ,DCEP      , 8.94 , 9.77 ,2440741.13    ,    7.19673     ,29 
GY    Car ,M         ,11.3  ,15.0  ,2430875.      ,  305.          ,   
GZ    Car ,DCEPS(B)  , 9.98 ,10.47 ,2440742.6     ,    4.15901     ,45 
HH    Car ,EA/DM     ,10.30 ,10.82 ,2441698.660   ,    3.231497    ,18 
