S     Cep ,M         , 7.4  ,12.9  ,2443787.      ,  486.84        ,55 
T     Cep ,M         , 5.2  ,11.3  ,2444177.      ,  388.14        ,54 
U     Cep ,EA/SD     , 6.75 , 9.24 ,2444541.6031  ,    2.4930475   ,15 
X     Cep ,M         , 8.1  ,16.0  ,2443834.      ,  535.19        ,42 
Y     Cep ,M         , 8.1  ,16.0  ,2444134.      ,  332.57        ,40 
Z     Cep ,M         ,10.1  ,15.7  ,2442156.      ,  279.16        ,48 
RR    Cep ,M         , 9.0  ,15.5  ,2443601.      ,  384.18        ,41 
RS    Cep ,EA/DS     ,10.2  ,11.9  ,2440862.677   ,   12.420105    ,08 
RT    Cep ,M         ,11.7  ,14.7  ,2439724.      ,  621.55        ,   
RV    Cep ,M         ,11.5  ,16.   ,2443041.      ,  272.45        ,48 
RY    Cep ,M         , 8.6  ,13.6  ,2444533.      ,  149.06        ,51 
RZ    Cep ,RRC       , 9.11 , 9.75 ,2442635.374   ,    0.3086853   ,32 
SU    Cep ,EB/KE     ,10.0  ,10.9  ,2426325.465   ,    0.9014011   ,   
SY    Cep ,EA/DM     ,12.05 ,12.98 ,2444103.330   ,    8.3455      ,03 
SZ    Cep ,M         , 8.6  ,15.5  ,2442624.      ,  326.59        ,   
TT    Cep ,SRA       ,12.7  ,14.1  ,2419822.      ,  176.0         ,   
TU    Cep ,SRA       ,12.9  ,15.2  ,2430611.      ,  102.15        ,   
TV    Cep ,EA/SD     ,12.2  ,14.7  ,2421366.623   ,    3.857082    ,08 
TW    Cep ,M         ,12.2  ,18.   ,2430670.      ,  281.2         ,37 
TX    Cep ,M         ,12.3  ,16.   ,2429534.      ,  377.0         ,   
TY    Cep ,SRA       , 9.7  ,13.3  ,2424510.      ,  330.          ,   
TZ    Cep ,SRD       , 9.0  ,11.0  ,2425840.      ,   83.0         ,48 
UU    Cep ,SRA       ,13.2  ,15.3  ,2429450.      ,  372.7         ,   
UY    Cep ,M         ,12.1  ,16.5  ,2434587.      ,  276.8         ,   
UZ    Cep ,M         ,11.3  ,15.   ,2444609.      ,  303.5         ,   
VV    Cep ,EA/GS+SRC , 4.80 , 5.36 ,2443360.      , 7430.          ,08 
VW    Cep ,EW/KW     , 7.23 , 7.68 ,2444157.4131  ,    0.27831460  ,   
VX    Cep ,M         ,11.4  ,15.5  ,2434692.      ,  532.3         ,   
VZ    Cep ,EA        , 9.74 ,10.15 ,2443720.420   ,    1.1833648   ,12 
WW    Cep ,EA/SD:    ,11.1  ,11.9  ,2425029.495   ,    1.53360     ,   
WX    Cep ,EA/DM     , 8.7  , 9.29 ,2425088.537   ,    3.3784535   ,13 
WY    Cep ,EB/KE:    ,10.8  ,11.7  ,2425123.080   ,    1.249056    ,   
WZ    Cep ,EW/KW     ,11.4  ,12.0  ,2428040.556   ,    0.4174471   ,   
XX    Cep ,EA/SD     , 9.13 ,10.28 ,2444839.8022  ,    2.3373266   ,14 
XY    Cep ,EA/SD     ,10.05 ,10.90 ,2443791.3160  ,    2.774527    ,12 
XZ    Cep ,EB/DM:    , 8.0  , 8.83 ,2443297.811   ,    5.0972267   ,   
YY    Cep ,M         ,12.0  ,16.   ,2438678.      ,  526.08        ,   
ZZ    Cep ,EA/DM     , 8.60 , 9.55 ,2427928.451   ,    2.141800    ,12 
AB    Cep ,M         ,12.0  ,15.5  ,2441160.      ,  324.5         ,   
AE    Cep ,M         ,11.0  ,16.   ,2428676.      ,  170.3         ,   
AF    Cep ,M         ,12.0  ,15.5  ,2428733.      ,  232.2         ,   
AG    Cep ,M         ,10.5  ,16.   ,2429975.      ,  445.          ,   
AH    Cep ,EB/DM     , 6.78 , 7.07 ,2434989.4026  ,    1.7747505   ,   
AI    Cep ,EB/DM     , 9.18 , 9.86 ,2426550.341   ,    4.225288    ,   
AK    Cep ,DCEP      ,10.86 ,11.52 ,2437022.531   ,    7.23268     ,28 
