R     Col ,M         , 7.8  ,15.0  ,2442016.      ,  327.62        ,39 
S     Col ,M         , 8.9  ,14.2  ,2440559.      ,  325.85        ,46 
T     Col ,M         , 6.6  ,12.7  ,2441973.      ,  225.84        ,50 
U     Col ,EA/SD     ,10.4  ,11.0  ,2428521.774   ,    1.24617466  ,16 
V     Col ,M         ,10.4  ,15.   ,2414980.      ,  300.          ,   
W     Col ,M         , 9.3  ,11.5  ,2415411.      ,  327.          ,   
X     Col ,M         ,11.   ,13.   ,2429500.      ,  321.9         ,   
Z     Col ,RRAB      ,15.3  ,17.3  ,2442662.860   ,    0.52059     ,10 
RR    Col ,EA        ,10.2  ,10.7  ,2414277.3     ,   11.305       ,   
RS    Col ,EW/DW     , 9.54 , 9.99 ,2440612.6483  ,    0.672355    ,   
RT    Col ,RRAB      ,12.4  ,13.5  ,2427779.550   ,    0.5365936   ,14 
RV    Col ,SRD       , 9.3  ,10.3  ,2427800.      ,  105.7         ,40 
RW    Col ,RRAB      ,11.5  ,12.5  ,2427808.515   ,    0.529234    ,15 
RX    Col ,RRAB      ,11.4  ,12.6  ,2428812.567   ,    0.594043    ,   
RY    Col ,RRAB      ,10.44 ,11.24 ,2434310.565   ,    0.4788571   ,15 
RZ    Col ,EW/KE     ,11.0  ,11.58 ,2434326.2824  ,    0.56522725  ,   
SU    Col ,CWA       ,11.3  ,12.3  ,2428763.700   ,   21.55        ,   
SV    Col ,EA/SD:    ,11.4  ,12.2  ,2438708.300   ,    3.6218      ,   
TV    Col ,NL+X      ,13.6  ,14.5  ,2444171.46    ,    0.21631     ,   
