U     CrA ,M         , 9.9  ,14.3  ,2433175.      ,  147.50        ,42 
Z     CrA ,M         ,11.0  ,12.9  ,2411189.      ,  303.          ,   
RR    CrA ,M         , 9.8  ,14.0  ,2429050.      ,  280.10        ,   
RT    CrA ,M         ,11.0  ,13.5  ,2410223.      ,  218.          ,   
RW    CrA ,EA/SD     , 9.3  ,10.3  ,2431017.297   ,    1.6835995   ,18 
RX    CrA ,M         ,10.6  ,15.   ,2411862.      ,  285.9         ,   
RY    CrA ,M         ,12.1  ,14.   ,2428845.      ,  195.          ,   
RZ    CrA ,M         , 9.9  ,13.5  ,2428744.      ,  460.          ,   
SS    CrA ,M         ,12.2  ,15.7  ,2431290.      ,  237.          ,   
ST    CrA ,M         ,13.5  ,17.0  ,2423755.      ,  244.3         ,   
SU    CrA ,M         ,14.5  ,17.0  ,2423699.      ,  230.2         ,   
SV    CrA ,M         ,13.5  ,17.0  ,2423643.      ,  353.5         ,   
SW    CrA ,M         ,13.0  ,17.0  ,2423675.      ,  212.4         ,   
SX    CrA ,M         ,12.0  ,16.5  ,2423678.      ,  215.8         ,   
SY    CrA ,M         ,13.0  ,16.5  ,2423687.      ,  268.0         ,   
SZ    CrA ,RRAB      ,14.5  ,16.0  ,2423311.83    ,    0.5058      ,   
TT    CrA ,M         ,13.0  ,17.0  ,2423730.      ,  252.0         ,   
TU    CrA ,M         ,13.5  ,17.0  ,2423549.      ,  207.5         ,   
TV    CrA ,RRAB      ,13.3  ,14.6  ,2430927.280   ,    0.5083144   ,09 
TW    CrA ,M         ,13.0  ,17.0  ,2423619.      ,  185.9         ,   
TX    CrA ,RRAB      ,14.6  ,15.6  ,2430930.294   ,    0.4366280   ,07 
TY    CrA ,EA        , 9.39 , 9.81 ,2442954.29    ,    2.888777    ,06 
TZ    CrA ,EA/SD     , 9.6  ,10.33 ,2436080.035   ,    0.68674954  ,20 
UU    CrA ,EA/SD     ,10.9  ,11.6  ,2416208.865   ,    2.2379960   ,21 
UV    CrA ,RRAB      ,14.9  ,15.9  ,2424018.335   ,    0.4730841   ,23 
UW    CrA ,RRAB      ,13.4  ,15.2  ,2423996.259   ,    0.5159405   ,16 
UX    CrA ,M         ,10.9  ,17.0  ,2427160.      ,  347.5         ,   
UY    CrA ,CWB       ,14.5  ,16.0  ,2426571.55    ,    6.9963      ,37 
UZ    CrA ,M         ,12.0  ,16.   ,2416283.      ,  107.          ,   
VW    CrA ,M         ,12.5  ,16.   ,2413710.      ,  312.          ,   
VX    CrA ,M         ,12.5  ,16.   ,2413704.      ,  310.          ,   
VY    CrA ,M         ,13.2  ,16.5  ,2426490.      ,  192.          ,   
VZ    CrA ,M         ,13.5  ,16.5  ,2426540.      ,  355.          ,   
WW    CrA ,RRAB      ,12.0  ,12.7  ,2431287.228   ,    0.5594749   ,20 
WZ    CrA ,M         ,12.5  ,16.5  ,2426480.      ,  276.          ,   
XX    CrA ,RRAB      ,13.7  ,14.9  ,2431672.310   ,    0.5551489   ,20 
