R     Del ,M         , 7.6  ,13.8  ,2444091.      ,  285.07        ,45 
S     Del ,M         , 8.3  ,12.4  ,2444887.      ,  277.75        ,52 
T     Del ,M         , 8.5  ,15.2  ,2443296.      ,  332.02        ,45 
V     Del ,M         , 8.1  ,16.1  ,2441065.      ,  533.51        ,42 
W     Del ,EA/SD     , 9.69 ,12.33 ,2443328.5495  ,    4.806100    ,12 
X     Del ,M         , 8.2  ,14.8  ,2441551.      ,  281.04        ,42 
Y     Del ,M         , 8.8  ,16.5  ,2442707.      ,  468.40        ,43 
Z     Del ,M         , 8.3  ,15.3  ,2442317.      ,  304.48        ,48 
RR    Del ,EA/SD     ,10.2  ,11.8  ,2418183.422   ,    4.599535    ,16 
RU    Del ,M         , 9.9  ,14.   ,2438900.      ,  260.58        ,   
RV    Del ,RRAB      ,12.8  ,13.9  ,2426162.531   ,    0.4981281   ,25 
RW    Del ,M         ,11.   ,16.   ,2436502.      ,  237.4         ,   
RX    Del ,M         , 9.7  ,16.0  ,2442320.      ,  185.63        ,   
RY    Del ,M         ,11.8  ,16.0  ,2435348.      ,  248.26        ,   
RZ    Del ,M         ,11.0  ,16.0  ,2432455.      ,  311.8         ,   
SS    Del ,M         ,11.6  ,16.0  ,2436521.      ,  194.59        ,   
SU    Del ,M         ,12.0  ,16.2  ,2428430.      ,  238.1         ,   
SW    Del ,M         ,11.1  ,14.0  ,2428751.      ,  289.4         ,   
SZ    Del ,M         ,11.   ,16.   ,2440732.      ,  235.92        ,   
TT    Del ,EA/SD     ,10.6  ,12.5  ,2445232.419   ,    2.871119    ,12 
TU    Del ,SRB       ,11.2  ,13.0  ,2432120.5     ,  107.5         ,43 
TV    Del ,M         ,12.7  ,16.0  ,2425852.      ,  217.          ,   
TW    Del ,SRB       , 9.7  ,13.1  ,2438687.5     ,  115.6         ,   
TX    Del ,CWB:      , 8.84 , 9.54 ,2442947.009   ,    6.165907    ,33 
TY    Del ,EA/SD     , 9.7  ,10.9  ,2442959.4450  ,    1.19112689  ,20 
TZ    Del ,SR        ,13.3  ,14.4  ,2425800.      ,  308.          ,   
UU    Del ,SR        ,14.1  ,16.3  ,2427650.      ,  111.          ,   
UW    Del ,M         ,12.7  ,16.5  ,2427596.      ,  409.          ,   
UX    Del ,SR        ,13.5  ,14.7  ,2427624.      ,  125.3         ,   
UZ    Del ,SR        ,11.7  ,14.1  ,2425865.      ,   85.          ,   
VV    Del ,EA/SD     ,14.4  ,15.5  ,2425827.482   ,    2.60595     ,14 
VW    Del ,M         ,10.8  ,15.7  ,2441040.      ,  219.50        ,   
VX    Del ,SR        ,13.5  ,15.7  ,2425510.      ,  248.          ,   
WW    Del ,SR        ,13.8  ,15.5  ,2426212.      ,  147.3         ,   
WX    Del ,M         ,11.8  ,15.0  ,2435330.      ,  526.3         ,   
WY    Del ,M         ,14.3  ,16.2  ,2426620.      ,  330.          ,   
WZ    Del ,M         ,12.2  ,15.3  ,2425850.      ,  259.          ,   
XX    Del ,EA/SD     ,13.0  ,14.8  ,2425882.366   ,    2.12363     ,10 
XY    Del ,M         ,13.2  ,15.7  ,2426169.      ,  204.          ,   
XZ    Del ,M         ,13.6  ,16.1  ,2426925.      ,  165.          ,   
YY    Del ,EA        ,11.3  ,12.0  ,2442959.512   ,    0.7930922   ,19 
YZ    Del ,SR        ,12.1  ,14.5  ,2425813.      ,  139.6         ,   
ZZ    Del ,RRAB      ,12.4  ,13.2  ,2437690.317   ,    0.52019172  ,20 
AB    Del ,SR        ,13.8  ,15.2  ,2425850.      ,  137.3         ,   
AD    Del ,SRA       ,11.3  ,13.3  ,2425840.      ,   88.6         ,   
AE    Del ,SR        ,12.7  ,14.8  ,2425840.      ,  260.          ,   
AF    Del ,M         ,13.1  ,16.0  ,2426677.      ,  392.          ,   
AG    Del ,M         ,10.7  ,15.5  ,2436720.      ,  239.73        ,   
AH    Del ,SR        ,14.8  ,15.9  ,2425870.      ,  112.          ,   
AL    Del ,EB/KE     ,12.2  ,12.9  ,2425807.520   ,    1.485485    ,   
AN    Del ,M         ,11.4  ,16.2  ,2436457.      ,  194.38        ,   
AQ    Del ,SRB       ,10.4  ,11.9  ,2430674.      ,   71.9         ,43 
AV    Del ,EA/SD     ,10.7  ,12.7  ,2443689.515   ,    3.85343     ,10 
AX    Del ,RRAB      ,12.4  ,13.4  ,2425804.460   ,    0.563731    ,09 
AZ    Del ,M         ,10.8  ,16.0  ,2438625.      ,  255.65        ,   
BB    Del ,M         ,11.3  ,15.3  ,2436539.      ,  245.20        ,   
BC    Del ,M:        ,14.5  ,15.5  ,2427365.      ,  230.          ,   
BD    Del ,M         ,13.   ,15.5  ,2427325.      ,  262.          ,   
BE    Del ,EA        ,14.2  ,14.7  ,2425866.46    ,    6.3091      ,07 
BF    Del ,EA/SD     ,13.8  ,15.1  ,2425808.49    ,    3.76016     ,18 
BG    Del ,EB/KE     ,13.6  ,14.0  ,2425865.469   ,    0.563610    ,   
BH    Del ,EA/SD     ,13.2  ,15.6  ,2425498.37    ,    1.614145    ,16 
BI    Del ,EA/SD     ,11.4  ,13.3  ,2428366.29    ,    7.25238     ,07 
BK    Del ,RRAB      ,13.0  ,14.6  ,2425527.300   ,    0.3604045   ,14 
BL    Del ,EA/SD:    ,15.2  ,16.2  ,2425863.485   ,    3.83474     ,   
BM    Del ,RRAB      ,13.8  ,14.8  ,2439739.39    ,    0.541149    ,   
BN    Del ,EA/SD:    ,12.7  ,13.6  ,2428051.600   ,    2.47872     ,10 
BO    Del ,EA/SD     ,14.3  ,15.8  ,2425938.260   ,    1.2876085   ,   
BP    Del ,EA/SD:    ,13.8  ,15.1  ,2427281.51    ,    2.          ,15 
BQ    Del ,EA/SD     ,15.2  ,16.4  ,2425830.36    ,    3.42658     ,13 
BR    Del ,M         ,10.   ,12.5  ,2438962.      ,  336.55        ,   
BS    Del ,EA/SD     ,12.8  ,14.6  ,2425527.40    ,    2.97751     ,17 
BT    Del ,EA/SD     ,14.6  ,16.9  ,2425881.41    ,    3.54262     ,12 
BU    Del ,M         ,13.5  ,15.5  ,2427327.      ,  225.5         ,   
BV    Del ,RRAB      ,12.3  ,13.4  ,2425527.314   ,    0.423450505 ,18 
BW    Del ,EA        ,11.4  ,11.8  ,2425795.39    ,    2.423114    ,14 
BX    Del ,CWB:      ,11.79 ,12.57 ,2438219.531   ,    1.0917795   ,25 
BY    Del ,EA/DM     ,11.4  ,11.9  ,2425830.34    ,    5.01713     ,14 
CC    Del ,SR        ,13.2  ,14.0  ,2425539.      ,   64.3         ,50 
CD    Del ,RRAB      ,13.0  ,14.4  ,2430614.531   ,    0.4995263   ,11 
CE    Del ,RRC       ,13.3  ,13.8  ,2429789.39    ,    0.42669     ,47 
CG    Del ,RRAB      ,13.8  ,15.1  ,2425795.495   ,    0.630923    ,13 
CH    Del ,RRC       ,13.0  ,13.4  ,2429790.55    ,    0.45960     ,39 
CK    Del ,RRAB      ,11.7  ,13.35 ,2434598.368   ,    0.4427899   ,15 
CN    Del ,EW/KE     ,14.2  ,14.6  ,2429790.54    ,    0.590825    ,   
CP    Del ,RRAB      ,14.3  ,15.7  ,2425830.393   ,    0.5274728   ,17 
CQ    Del ,M         ,13.1  ,16.5  ,2425718.      ,  290.5         ,   
CR    Del ,EB/KE     ,13.5  ,13.9  ,2429789.52    ,    0.71363     ,   
CS    Del ,RRC       ,13.0  ,13.3  ,2425535.40    ,    0.365737    ,49 
CU    Del ,RVB       ,13.2  ,14.9  ,2426893.      ,  127.          ,   
CV    Del ,RRAB      ,13.5  ,14.8  ,2425831.471   ,    0.7394559   ,20 
CW    Del ,RRAB      ,13.9  ,15.3  ,2429790.460   ,    0.582121    ,15 
CX    Del ,SR        ,14.4  ,15.5  ,2425517.      ,   65.          ,   
CY    Del ,RRAB      ,14.8  ,16.1  ,2425921.292   ,    0.4523633   ,12 
DD    Del ,RRAB      ,14.6  ,16.0  ,2425535.416   ,    0.490247    ,11 
DE    Del ,RRAB      ,14.9  ,15.9  ,2425830.400   ,    0.2972254   ,27 
DF    Del ,SR        ,13.9  ,14.8  ,2425782.      ,   98.          ,   
DG    Del ,RRAB      ,14.4  ,16.1  ,2429789.448   ,    0.326961    ,35 
