R     Gru ,M         , 7.4  ,14.9  ,2440957.      ,  331.96        ,42 
S     Gru ,M         , 6.0  ,15.0  ,2440608.      ,  401.51        ,43 
T     Gru ,M         , 7.8  ,12.3  ,2442072.      ,  136.49        ,48 
U     Gru ,EA/SD     ,11.0  ,14.0  ,2411202.754   ,    1.88048     ,15 
V     Gru ,EW/KW     , 9.5  , 9.8  ,2444463.8040  ,    0.4834455   ,   
W     Gru ,EA/AR     , 9.4  ,10.0  ,2430132.149   ,    2.9685036   ,11 
X     Gru ,EA/SD     ,10.64 ,14.33 ,2441858.8235  ,    2.1236413   ,16 
Y     Gru ,EA/SD     ,10.4  ,12.1  ,2427987.535   ,    1.716897    ,12 
Z     Gru ,RR        ,11.80 ,12.61 ,2439773.362   ,    0.266387    ,25 
RR    Gru ,RRAB      ,12.0  ,12.7  ,2434385.582   ,    0.552532    ,18 
RS    Gru ,DSCT      , 7.92 , 8.51 ,2434325.2931  ,    0.14701131  ,24 
RT    Gru ,RRAB      ,12.15 ,13.20 ,2441151.555   ,    0.5121749   ,20 
RU    Gru ,EA        ,11.00 ,11.4  ,2434546.648   ,    1.89664     ,12 
RV    Gru ,EW/KW     ,11.00 ,11.4  ,2434356.434   ,    0.2595186   ,   
RW    Gru ,RRAB      ,11.76 ,12.85 ,2434360.388   ,    0.550306    ,15 
RX    Gru ,EB/KE     ,10.5  ,10.8  ,2434357.410   ,    0.743128    ,   
RY    Gru ,EA/SD:    ,11.7  ,12.3  ,2434275.281   ,    2.01063     ,14 
SS    Gru ,RRAB      ,11.8  ,13.2  ,2428336.628   ,    0.4896194   ,14 
TT    Gru ,RRAB      ,13.3  ,14.6  ,2428016.550   ,    0.4760338   ,12 
TZ    Gru ,RRAB      ,12.6  ,13.8  ,2427992.554   ,    0.7024718   ,10 
UW    Gru ,RRAB      ,12.60 ,13.62 ,2443689.640   ,    0.5482104   ,12 
VV    Gru ,RRAB      ,13.6  ,14.8  ,2436814.478   ,    0.45213     ,15 
WW    Gru ,RRAB      ,14.4  ,15.4  ,2436813.276   ,    0.682       ,08 
WX    Gru ,RRAB      ,15.1  ,15.9  ,2436813.276   ,    0.59285     ,10 
WY    Gru ,RRAB      ,14.7  ,16.0  ,2436788.432   ,    0.54685     ,08 
XX    Gru ,RRAB      ,15.3  ,16.3  ,2436776.402   ,    0.54        ,10 
XZ    Gru ,RRC       ,10.4  ,10.7  ,2438260.438   ,    0.34741     ,50 
YZ    Gru ,RRAB      ,15.8  ,16.7  ,2436813.471   ,    0.6974      ,10 
ZZ    Gru ,EA/SD:    ,13.9  ,15.3  ,2436813.370   ,    5.049       ,   
AC    Gru ,RRAB      ,14.4  ,15.7  ,2436814.385   ,    0.6405      ,14 
AD    Gru ,RRAB      ,14.7  ,15.6  ,2436793.506   ,    0.75924     ,15 
AG    Gru ,RRAB      ,15.6  ,16.6  ,2436813.276   ,    0.47215     ,15 
AH    Gru ,RRAB      ,14.5  ,15.5  ,2436813.488   ,    0.558788    ,10 
AK    Gru ,EA        ,11.0  ,11.5  ,2436732.607   ,    0.49389     ,20 
AL    Gru ,RRAB      ,15.3  ,16.0  ,2436813.330   ,    0.6909      ,15 
AO    Gru ,RRAB      ,12.5  ,13.8  ,2436813.276   ,    0.5725      ,15 
AP    Gru ,RRAB      ,12.4  ,13.5  ,2427992.643   ,    0.5079836   ,   
AR    Gru ,EB        ,10.   ,10.6  ,2427994.600   ,    2.296720    ,   
AW    Gru ,E:        ,10.5  ,11.0  ,2436758.      ,  120.          ,   
BB    Gru ,RRAB      ,13.8  ,14.7  ,2436781.498   ,    0.597       ,20 
BC    Gru ,EW:/KW:   , 9.9  ,10.3  ,2436814.292   ,    0.26617     ,   
BD    Gru ,EW/KE:    ,14.3  ,15.0  ,2436758.582   ,    0.718       ,   
BE    Gru ,RRAB      ,13.1  ,14.3  ,2436813.300   ,    0.6054      ,12 
BF    Gru ,E:        ,11.2  ,11.8  ,2436731.569   ,   55.8         ,   
BG    Gru ,RRAB      ,14.0  ,14.9  ,2436816.287   ,    0.560295    ,15 
BH    Gru ,EW/KW:    ,14.5  ,15.3  ,2436732.592   ,    0.340184    ,   
