R     Hor ,M         , 4.7  ,14.3  ,2441494.      ,  407.6         ,40 
S     Hor ,M         ,10.   ,13.   ,2416854.      ,  335.8         ,   
T     Hor ,M         , 7.2  ,13.7  ,2441957.      ,  217.60        ,48 
U     Hor ,M         , 7.8  ,15.1  ,2434638.      ,  348.4         ,   
X     Hor ,SRA       ,10.3  ,12.4  ,2430063.      ,  279.6         ,   
RS    Hor ,M         , 9.8  ,15.0  ,2430100.      ,  202.85        ,   
RT    Hor ,M         ,10.0  ,14.0  ,2428104.      ,  335.          ,   
RV    Hor ,RR        ,12.9  ,14.5  ,2427425.40    ,    0.57247     ,   
RW    Hor ,RR        ,14.9  ,15.9  ,2427422.36    ,    0.300939    ,   
RX    Hor ,RR        ,13.5  ,14.8  ,2427425.30    ,    0.68800     ,   
RY    Hor ,RR        ,14.4  ,16.0  ,2427477.30    ,    0.59396     ,   
RZ    Hor ,E         ,11.2  ,13.5  ,2426715.0     ,    3.3402      ,   
SS    Hor ,RR        ,13.0  ,15.0  ,2427443.276   ,    0.73844     ,   
SU    Hor ,RR        ,13.0  ,15.0  ,2427425.28    ,    0.46972     ,   
SV    Hor ,RR        ,14.4  ,15.2  ,2427425.30    ,    0.548932    ,   
SY    Hor ,EW/KW     ,11.4  ,12.1  ,2434243.382   ,    0.3116392   ,   
SZ    Hor ,EW/KW     ,10.4  ,10.8  ,2428048.610   ,    0.4804562   ,   
TT    Hor ,EA        , 9.8  ,10.5  ,2428761.512   ,    2.6081127   ,15 
TU    Hor ,ELL       , 5.90 , 6.04 ,2443055.620   ,    0.935971    ,   
TX    Hor ,M         ,13.0  ,15.8  ,2426244.      ,  287.37        ,45 
UU    Hor ,RRAB      ,12.1  ,12.9  ,2424722.571   ,    0.6436812   ,17 
UV    Hor ,RRAB      ,12.9  ,14.3  ,2424800.467   ,    0.56466857  ,17 
UW    Hor ,RRAB      ,12.7  ,13.4  ,2430200.634   ,    0.6621484   ,20 
UX    Hor ,EW        ,14.0  ,14.4  ,2430585.587   ,    0.712760    ,   
UY    Hor ,RRAB      ,14.2  ,15.1  ,2426566.625   ,    0.6496638   ,14 
UZ    Hor ,RRC       ,13.9  ,14.6  ,2431062.505   ,    0.3381547   ,40 
VV    Hor ,SRA       ,13.6  ,15.0  ,2430610.      ,  182.6         ,   
VW    Hor ,SRB       ,12.7  ,13.6  ,2430217.      ,  102.76        ,   
