R     LMi ,M         , 6.3  ,13.2  ,2445094.      ,  372.19        ,41 
S     LMi ,M         , 7.5  ,14.3  ,2445292.      ,  233.83        ,42 
T     LMi ,EA/SD     ,10.87 ,12.92 ,2445397.368   ,    3.019885    ,12 
U     LMi ,SRA       ,10.0  ,13.3  ,2434354.      ,  272.2         ,40 
V     LMi ,RRAB      ,11.10 ,12.23 ,2419530.341   ,    0.5439187   ,15 
W     LMi ,SRD       ,10.5  ,13.5  ,2428303.      ,  117.2         ,46 
X     LMi ,RRAB      ,11.76 ,12.81 ,2439200.007   ,    0.6843193   ,17 
Y     LMi ,RRAB      ,11.4  ,13.3  ,2435556.0394  ,    0.5244710   ,32 
RT    LMi ,EW/KW     ,11.4  ,11.7  ,2445002.4147  ,    0.3749180   ,   
RW    LMi ,SRA       ,12.8  ,16.5  ,2441880.      ,  640.          ,65 
