R     Lac ,M         , 8.5  ,14.8  ,2441526.      ,  299.86        ,41 
S     Lac ,M         , 7.6  ,13.9  ,2443804.      ,  241.50        ,46 
V     Lac ,DCEP      , 8.38 , 9.42 ,2428901.285   ,    4.983458    ,25 
W     Lac ,M         ,10.3  ,15.0  ,2439439.      ,  328.5         ,   
X     Lac ,DCEPS     , 8.20 , 8.64 ,2442738.132   ,    5.444990    ,38 
Y     Lac ,DCEP      , 8.76 , 9.50 ,2441746.745   ,    4.323776    ,34 
Z     Lac ,DCEP      , 7.88 , 8.93 ,2442827.123   ,   10.885613    ,43 
RR    Lac ,DCEP      , 8.38 , 9.30 ,2442776.686   ,    6.416243    ,30 
RS    Lac ,SRD       , 9.6  ,12.5  ,2440884.      ,  237.26        ,53 
RT    Lac ,EB/AR/RS  , 8.84 , 9.89 ,2444873.3648  ,    5.0739496   ,   
RU    Lac ,M         ,10.8  ,13.0  ,2435310.      ,  203.24        ,   
RW    Lac ,EA/DM     ,10.4  ,11.0  ,2418657.440   ,   10.36922     ,04 
SS    Lac ,EA/D      ,10.1  ,10.5  ,2415900.76    ,   14.41629     ,05 
ST    Lac ,M         ,12.7  ,16.   ,2433195.      ,  312.5         ,   
SU    Lac ,M         ,11.3  ,16.   ,2444216.      ,  302.0         ,40 
SV    Lac ,M         ,12.6  ,16.5  ,2424590.      ,  305.          ,   
SW    Lac ,EW/KW     , 8.51 , 9.39 ,2445275.3477  ,    0.3207209   ,   
SZ    Lac ,M         ,12.8  ,16.5  ,2425678.      ,  332.5         ,   
TU    Lac ,M         ,11.7  ,15.0  ,2427307.      ,  277.          ,   
TW    Lac ,EA/SD     ,11.5  ,13.3  ,2441500.534   ,    3.037417    ,15 
TY    Lac ,M         ,13.3  ,15.7  ,2433916.      ,  304.          ,   
TZ    Lac ,EA/SD     ,13.9  ,15.8  ,2424775.591   ,    2.875086    ,12 
UU    Lac ,M         ,14.2  ,16.5  ,2434334.      ,  322.          ,   
UV    Lac ,M         ,14.0  ,16.5  ,2432824.      ,  305.          ,   
UW    Lac ,EA/SD     ,11.4  ,12.5  ,2437188.335   ,    5.29023     ,12 
UX    Lac ,M         ,13.2  ,16.0  ,2433918.      ,  218.2         ,   
UY    Lac ,EA/DS     ,12.3  ,13.7  ,2435782.44    ,   11.4489      ,09 
UZ    Lac ,M         ,13.8  ,16.0  ,2424725.      ,  363.          ,   
VV    Lac ,EA/SD     ,13.9  ,15.5  ,2424492.37    ,    3.4547      ,   
VW    Lac ,M         ,12.3  ,16.5  ,2436835.      ,  300.2         ,   
VX    Lac ,EA/SD     ,10.9  ,13.0  ,2445258.466   ,    1.0744942   ,15 
VY    Lac ,EB/KE     ,10.2  ,11.0  ,2443749.467   ,    1.03625     ,   
WW    Lac ,SRB       ,14.4  ,15.5  ,2424794.      ,  550.          ,   
WX    Lac ,CEP       ,13.9  ,15.1  ,2424776.      ,    7.516       ,40 
WZ    Lac ,SRA       ,13.6  ,14.8  ,2424840.      ,  287.          ,44 
XZ    Lac ,RRAB      ,12.8  ,13.9  ,2437888.54    ,    0.6302      ,21 
YZ    Lac ,SRA       ,14.3  ,15.5  ,2424838.      ,  190.          ,37 
ZZ    Lac ,E         ,13.6  ,15.8  ,2425121.35    ,    2.889       ,10 
AC    Lac ,EA/SD     ,14.7  ,15.9  ,2424829.32    ,    1.6192      ,   
AE    Lac ,EA/SD:    ,14.2  ,15.1  ,2424492.45    ,    1.4207      ,   
AG    Lac ,EB/SD     ,13.6  ,15.0  ,2424786.34    ,    0.75218     ,   
AH    Lac ,M         ,13.9  ,16.   ,2424820.      ,  273.          ,   
AI    Lac ,EA        ,13.7  ,15.1  ,2424775.51    ,    2.80832     ,   
AK    Lac ,EA        ,12.8  ,13.4  ,2424492.4     ,   18.435       ,11 
AM    Lac ,M         ,13.5  ,16.5  ,2424935.      ,  250.          ,   
AN    Lac ,M:        ,14.7  ,16.5  ,2425080.      ,  400.          ,   
AO    Lac ,M         ,12.7  ,15.9  ,2425030.      ,  300.          ,45 
AP    Lac ,M         ,11.3  ,19.   ,2433483.      ,  524.          ,   
AQ    Lac ,M         ,11.7  ,16.   ,2436790.      ,  362.9         ,   
AR    Lac ,EA/AR/RS  , 6.08 , 6.77 ,2441593.7123  ,    1.98319204  ,15 
AS    Lac ,M         ,12.3  ,18.   ,2433920.      ,  218.2         ,   
AT    Lac ,M         ,12.4  ,15.8  ,2432770.      ,  171.3         ,   
AU    Lac ,EA/SD     ,12.0  ,13.2  ,2434195.441   ,    1.392441    ,18 
AV    Lac ,M         ,12.5  ,15.4  ,2433516.      ,  347.0         ,   
AW    Lac ,EB/KE     ,10.6  ,11.3  ,2426624.222   ,    1.1428498   ,   
AX    Lac ,EA        ,15.0  ,15.9  ,2425622.313   ,    3.4778      ,14 
AY    Lac ,M:        ,14.5  ,20.   ,2437885.      , 1159.          ,   
AZ    Lac ,M         ,14.9  ,18.   ,2425556.      ,  297.          ,   
BB    Lac ,EA/SD     ,13.0  ,14.6  ,2425328.612   ,    3.86596     ,10 
BC    Lac ,M         ,12.2  ,15.7  ,2425451.      ,  247.          ,   
BG    Lac ,DCEP      , 8.51 , 9.18 ,2435315.273   ,    5.331908    ,33 
BK    Lac ,SRA       ,13.8  ,14.9  ,2433483.      ,  295.8         ,   
BM    Lac ,SRB       ,13.9  ,15.2  ,2425830.      ,  146.4         ,   
BN    Lac ,M         ,13.1  ,15.2  ,2433473.      ,  331.3         ,   
BP    Lac ,EA        ,15.0  ,16.2  ,2437959.37    ,    2.04568     ,08 
BQ    Lac ,SR        ,13.3  ,14.9  ,2425310.      ,  209.          ,   
BR    Lac ,SRA       ,13.6  ,15.4  ,2425705.      ,  350.          ,   
