R     Psc ,M         , 7.0  ,14.8  ,2444920.      ,  344.50        ,44 
S     Psc ,M         , 8.2  ,15.3  ,2442325.      ,  404.62        ,42 
U     Psc ,M         ,10.3  ,14.9  ,2443432.      ,  173.1         ,48 
W     Psc ,M         ,11.4  ,14.8  ,2445337.      ,  188.1         ,48 
X     Psc ,M         , 9.8  ,15.   ,2442314.      ,  349.6         ,   
Y     Psc ,EA/SD     ,10.1  ,13.1  ,2445635.241   ,    3.765767    ,10 
RR    Psc ,M         ,12.1  ,16.   ,2432076.      ,  270.6         ,   
RU    Psc ,RRC       , 9.93 ,10.40 ,2440143.4027  ,    0.390385    ,48 
RV    Psc ,EA/DW     ,11.3  ,12.0  ,2424381.480   ,    0.55399145  ,18 
RW    Psc ,SRB       ,11.2  ,12.4  ,2427139.      ,  154.          ,48 
RX    Psc ,M         , 8.8  ,14.6  ,2443035.      ,  280.54        ,43 
RY    Psc ,RRAB      ,11.82 ,12.72 ,2442681.147   ,    0.5297106   ,15 
SS    Psc ,RRC       ,10.73 ,11.21 ,2419130.305   ,    0.28779276  ,44 
SU    Psc ,EB/D:     ,10.95 ,11.9  ,2426004.344   ,    2.681409    ,   
SW    Psc ,RRAB      ,13.3  ,14.9  ,2438652.441   ,    0.521265    ,18 
SX    Psc ,EA/SD:    ,11.2  ,12.1  ,2445992.289   ,    0.8258808   ,25 
SY    Psc ,RRAB      ,12.4  ,13.8  ,2420398.400   ,    0.67354111  ,40 
SZ    Psc ,EA/DS/RS  , 7.18 , 7.72 ,2435741.8461  ,    3.9657900   ,11 
TT    Psc ,SRB       ,10.9  ,13.0  ,2428939.      ,  144.8         ,44 
TU    Psc ,SR        ,11.8  ,13.0  ,2436193.      ,  179.          ,   
TV    Psc ,SR        , 4.65 , 5.42 ,2431387.      ,   49.1         ,   
TZ    Psc ,M         ,11.2  ,16.   ,2437298.      ,  376.0         ,   
UU    Psc ,ELL/DW:   , 6.01 , 6.05 ,2439765.175   ,    0.841678    ,   
UV    Psc ,EA/D:/RS  , 8.91 ,10.05 ,2443406.5225  ,    0.8610482   ,12 
UW    Psc ,EA/DM     ,10.8  ,11.3  ,2426027.261   ,    2.490830    ,15 
UZ    Psc ,ACV       , 6.43 , 6.65 ,2439757.91    ,    4.1327      ,50 
VW    Psc ,M         ,14.8  ,17.6  ,2444602.      ,  296.5         ,   
VZ    Psc ,EW/KW     ,10.20 ,10.45 ,2443832.206   ,    0.2611865   ,   
WX    Psc ,M         , 0.9  , 4.3  ,2440460.      ,  660.          ,40 
AO    Psc ,XPR       ,13.20 ,13.59 ,2444815.0674  ,    0.1496263   ,29 
