R     Pyx ,M         ,10.4  ,15.1  ,2418606.      ,  364.7         ,   
S     Pyx ,M         , 8.0  ,14.3  ,2443565.      ,  206.10        ,45 
T     Pyx ,NR        , 7.0  ,15.77 ,2439501.      , 7000.          ,   
W     Pyx ,SRA       ,10.8  ,12.5  ,2426766.      ,  166.          ,   
X     Pyx ,M         ,12.7  ,16.0  ,2425980.      ,  330.          ,   
Z     Pyx ,M         ,12.2  ,16.0  ,2426450.      ,  237.          ,   
RR    Pyx ,RRAB      ,13.5  ,15.0  ,2426382.30    ,    0.49106     ,   
RS    Pyx ,M         ,12.0  ,16.0  ,2426500.      ,  320.          ,   
RT    Pyx ,RRAB      ,14.5  ,16.2  ,2426382.30    ,    0.57600     ,   
RV    Pyx ,M         ,12.5  ,16.4  ,2426130.      ,  296.          ,   
RX    Pyx ,M         ,13.6  ,16.0  ,2426770.      ,  214.          ,   
RZ    Pyx ,EB/KE     , 8.83 , 9.72 ,2438431.474   ,    0.656273    ,   
SU    Pyx ,EA        ,11.4  ,12.5  ,2428952.208   ,    5.06953     ,05 
SV    Pyx ,EA        ,10.0  ,11.0  ,2428876.52    ,    1.4424      ,   
TT    Pyx ,EA        , 8.80 , 9.48 ,2444234.800   ,    1.515778    ,30 
TU    Pyx ,SRB       , 9.9  ,10.7  ,2426042.1     ,   88.0         ,   
TV    Pyx ,EB        ,12.1  ,12.5  ,2434424.306   ,    0.646765    ,   
TX    Pyx ,E/KE      , 9.5  , 9.9  ,2427844.475   ,    1.123745    ,   
TY    Pyx ,EA/D/RS   , 6.85 , 7.50 ,2443187.2304  ,    3.1985787   ,07 
TZ    Pyx ,EW        ,10.7  ,11.1  ,2428847.550   ,    0.6973125   ,   
VV    Pyx ,EA/DM     , 6.57 , 7.05 ,2444620.65895 ,    4.5961832   ,06 
VW    Pyx ,*         ,16.47 ,17.74 ,2444379.861   ,    0.67059     ,50 
