R     Ret ,M         , 6.5  ,14.2  ,2441703.      ,  278.46        ,48 
U     Ret ,EW/KW     ,13.6  ,14.7  ,2427658.62    ,    0.354956    ,   
V     Ret ,RR        ,13.4  ,14.4  ,2427425.275   ,    0.582415    ,   
W     Ret ,RRAB      ,14.9  ,16.3  ,2427425.25    ,    0.65907     ,   
X     Ret ,RRAB      ,11.16 ,12.14 ,2439438.500   ,    0.4919885   ,   
Y     Ret ,RR        ,14.7  ,15.8  ,2428125.54    ,    0.53383     ,   
Z     Ret ,RR        ,15.0  ,15.8  ,2427750.38    ,    0.587325    ,   
RS    Ret ,RRAB      ,14.4  ,15.6  ,2427425.30    ,    0.63252     ,   
RU    Ret ,RRAB      ,14.5  ,15.9  ,2427425.43    ,    0.54853     ,   
RV    Ret ,M         ,11.4  ,16.5  ,2427400.      ,  269.5         ,   
RY    Ret ,SRA       ,11.0  ,12.2  ,2427375.      ,  237.          ,   
RZ    Ret ,RRAB      ,14.9  ,16.3  ,2427422.32    ,    0.54215     ,   
SW    Ret ,EW        ,13.0  ,13.4  ,2434419.462   ,    0.52274     ,   
SX    Ret ,SRB       , 9.24 , 9.80 ,2440622.      ,  100.          ,   
