R     Sct ,RVA       , 4.2  , 8.6  ,2444872.      ,  146.5         ,   
U     Sct ,EB/SD     ,10.08 ,11.04 ,2444468.6658  ,    0.95498575  ,   
V     Sct ,M         ,12.   ,16.   ,2435988.      ,  252.9         ,   
W     Sct ,EA/DM     , 9.92 ,10.57 ,2420665.47    ,   10.2703      ,12 
X     Sct ,DCEP      , 9.50 ,10.42 ,2434905.58    ,    4.19807     ,31 
Y     Sct ,DCEP      , 9.22 ,10.02 ,2434947.20    ,   10.341504    ,46 
Z     Sct ,DCEP      , 9.05 ,10.16 ,2436247.160   ,   12.901325    ,40 
RS    Sct ,EB/SD     , 9.78 ,10.91 ,2444437.1658  ,    0.6642384   ,   
RU    Sct ,DCEP      , 8.82 ,10.02 ,2431174.67    ,   19.70062     ,36 
RW    Sct ,SRB       ,10.0  ,11.5  ,2429772.      ,  116.7         ,   
RY    Sct ,EB/GS     , 9.12 , 9.72 ,2443342.42    ,   11.12471     ,   
RZ    Sct ,EA/GS     , 7.34 , 8.84 ,2419261.1025  ,   15.1902079   ,17 
SS    Sct ,DCEP      , 7.90 , 8.43 ,2435315.625   ,    3.671253    ,37 
ST    Sct ,M         ,11.5  ,15.0  ,2433858.      ,  219.5         ,   
SU    Sct ,DCEP      ,13.8  ,15.7  ,2441129.493   ,    1.467978    ,25 
SV    Sct ,M         ,12.0  ,15.4  ,2413103.      ,  310.          ,   
SW    Sct ,M         ,12.7  ,16.5  ,2435275.      ,  453.          ,   
SX    Sct ,M         ,14.0  ,16.5  ,2414241.      ,  192.1         ,   
SY    Sct ,EA/SD     ,13.9  ,15.8  ,2439321.07    ,    7.37683     ,12 
SZ    Sct ,SRA       ,14.0  ,16.8  ,2439311.      ,  302.22        ,   
TT    Sct ,RRAB      ,13.8  ,15.5  ,2428671.532   ,    0.45293934  ,10 
TU    Sct ,SRA       ,14.4  ,16.6  ,2424760.      ,  128.          ,   
TV    Sct ,SR        ,14.9  ,17.0  ,2440458.      ,  295.6         ,   
TX    Sct ,SRA:      ,12.5  ,14.5  ,2425830.      ,   24.344       ,20 
TY    Sct ,DCEP      ,10.31 ,11.25 ,2437377.090   ,   11.05302     ,47 
UX    Sct ,SRA       ,14.5  ,15.8  ,2427622.      ,  204.          ,   
UZ    Sct ,DCEP      ,10.79 ,11.76 ,2441101.5     ,   14.7442      ,37 
VV    Sct ,M         ,14.0  ,16.5  ,2423540.      ,  440.          ,   
VW    Sct ,M         ,10.6  ,18.0  ,2434616.      ,  234.0         ,   
VX    Sct ,EA/GS:    ,13.6  ,14.2  ,2427926.8     ,   33.623       ,09 
VY    Sct ,EA/SD     ,13.5  ,17.5  ,2428369.268   ,    2.64510     ,17 
VZ    Sct ,EB        ,11.8  ,13.0  ,2428368.260   ,    2.19612     ,   
WW    Sct ,M         ,12.0  ,16.5  ,2423954.      ,  250.          ,   
WX    Sct ,M         ,13.5  ,16.0  ,2423667.      ,  263.          ,   
WY    Sct ,RRAB      ,13.8  ,16.1  ,2439326.495   ,    0.585816    ,25 
XY    Sct ,EW        ,13.8  ,14.5  ,2428729.5293  ,    0.7852563   ,   
XZ    Sct ,EA/SD     ,14.0  ,15.0  ,2427902.014   ,    1.99721     ,15 
YY    Sct ,M         ,12.5  ,16.0  ,2423964.      ,  348.          ,   
YZ    Sct ,SRA       ,14.9  ,16.6  ,2428054.      ,  129.          ,   
ZZ    Sct ,EA        ,14.6  ,16.0  ,2427929.9650  ,    2.199133    ,11 
AA    Sct ,M         ,12.4  ,15.3  ,2443700.      ,  264.7         ,25 
AB    Sct ,M         ,13.3  ,17.0  ,2432454.      ,  222.5         ,   
AC    Sct ,EA/SD     ,10.0  ,12.6  ,2428817.143   ,    4.797584    ,14 
AD    Sct ,E         ,12.5  ,13.2  ,2423259.307   ,    1.076482    ,   
AE    Sct ,EA        ,14.0  ,15.4  ,2427984.521   ,    4.664435    ,10 
AF    Sct ,RRAB      ,11.9  ,13.3  ,2427355.204   ,    0.5289735   ,16 
AH    Sct ,M         ,13.5  ,17.0  ,2430833.      ,  292.          ,   
AI    Sct ,M         ,12.9  ,16.0  ,2426410.      ,  408.          ,   
AL    Sct ,CWA       ,13.56 ,14.88 ,2427385.69    ,   15.5751      ,51 
AN    Sct ,RV:       ,13.1  ,14.2  ,2445213.17    ,   65.466       ,   
AO    Sct ,M:        ,14.2  ,16.0  ,2423669.      ,  271.5         ,   
AP    Sct ,SRA       ,14.1  ,16.1  ,2435007.4     ,  104.6         ,   
AS    Sct ,M         ,13.3  ,16.0  ,2420300.      ,  297.7         ,   
AU    Sct ,EA/SD     ,14.4  ,16.6  ,2428745.51    ,    5.45651     ,15 
AV    Sct ,M         ,12.8  ,16.6  ,2427996.      ,  242.          ,   
AW    Sct ,M         ,12.8  ,18.4  ,2432775.      ,  237.          ,   
AX    Sct ,M         ,13.5  ,16.5  ,2425420.      ,  200.          ,   
AY    Sct ,RRAB      ,14.0  ,16.4  ,2438727.514   ,    0.54463178  ,15 
AZ    Sct ,RRAB      ,15.6  ,17.3  ,2438942.466   ,    0.332519    ,26 
BB    Sct ,M         ,12.7  ,16.8  ,2423359.      ,  389.5         ,45 
BC    Sct ,M:        ,14.6  ,16.0  ,2414130.      ,  254.5         ,   
BF    Sct ,M         ,14.0  ,17.5  ,2428633.      ,  247.6         ,   
BH    Sct ,EA/D:     ,14.1  ,14.9  ,2427929.887   ,    3.207784    ,10 
BI    Sct ,M         ,13.2  ,16.7  ,2432398.      ,  244.6         ,   
BK    Sct ,M         ,13.7  ,17.1  ,2427626.      ,  292.          ,   
BN    Sct ,EA        ,11.4  ,14.6  ,2428745.175   ,   14.61155     ,09 
BQ    Sct ,M         ,14.4  ,17.   ,2439653.      ,  377.5         ,   
BR    Sct ,M         ,14.3  ,17.   ,2437142.      ,  315.          ,   
BS    Sct ,EA/SD     ,11.00 ,12.40 ,2440148.620   ,    3.8210104   ,11 
BU    Sct ,RRAB      ,12.4  ,14.5  ,2440412.216   ,    0.420252    ,20 
BX    Sct ,DCEP      ,11.7  ,12.62 ,2427901.83    ,    6.41133     ,33 
CD    Sct ,EW        ,13.5  ,13.7  ,2426567.353   ,    0.6063230   ,   
CF    Sct ,EA/DS     ,13.4  ,15.0  ,2429434.9     ,   31.9415      ,07 
CG    Sct ,M         ,12.6  ,17.5  ,2428744.      ,  408.          ,   
CH    Sct ,M         ,11.2  ,16.2  ,2435327.      ,  190.48        ,48 
CI    Sct ,M         ,13.4  ,16.2  ,2430967.      ,  178.          ,   
CK    Sct ,DCEP      ,10.30 ,10.88 ,2440855.25    ,    7.41522     ,32 
CL    Sct ,EA/DM:    ,14.0  ,14.7  ,2428753.391   ,    1.638566    ,22 
CM    Sct ,DCEP      ,10.79 ,11.49 ,2435111.320   ,    3.916977    ,25 
CN    Sct ,DCEP      ,12.13 ,12.78 ,2428670.16    ,    9.9923      ,48 
CO    Sct ,CWA       ,13.64 ,15.11 ,2428776.66    ,   17.13799     ,34 
CP    Sct ,EA/DM:    ,14.5  ,15.1  ,2429015.525   ,    1.79524     ,20 
CQ    Sct ,EA/SD     ,15.0  ,16.7  ,2428671.491   ,    2.550086    ,09 
CR    Sct ,EA/D      ,11.6  ,12.1  ,2428069.626   ,    4.192325    ,06 
CS    Sct ,EA/DS     ,14.6  ,15.6  ,2428777.83    ,   16.5347      ,08 
CT    Sct ,EA/SD     ,10.9  ,11.9  ,2428727.374   ,    4.95360     ,15 
CU    Sct ,RRAB      ,14.5  ,15.5  ,2428774.294   ,    0.4944679   ,20 
CV    Sct ,EA        ,14.9  ,15.7  ,2428780.50    ,    5.25581     ,10 
CW    Sct ,EB/DM     , 9.8  ,10.2  ,2427978.655   ,    1.786183    ,   
CX    Sct ,RRAB      ,14.7  ,15.7  ,2428755.344   ,    0.4497060   ,11 
CY    Sct ,EA/SD:    ,14.0  ,15.4  ,2428727.42    ,    2.866296    ,08 
CZ    Sct ,CWA       ,13.99 ,15.10 ,2438584.45    ,   15.38153     ,43 
DD    Sct ,EA/SD     ,16.6  ,17.9  ,2427990.823   ,    0.512547    ,   
DE    Sct ,EW/KW     ,15.8  ,16.3  ,2427990.7503  ,    0.443758    ,   
DF    Sct ,RRAB      ,16.5  ,17.7  ,2428007.694   ,    0.62804     ,18 
