R     Tel ,M         , 7.6  ,14.8  ,2439439.      ,  461.88        ,43 
T     Tel ,M:        ,11.3  ,12.7  ,2410201.      ,  256.          ,   
U     Tel ,M         ,10.6  ,13.0  ,2429960.      ,  445.          ,   
W     Tel ,M         , 9.6  ,12.6  ,2429395.      ,  303.9         ,   
X     Tel ,M         ,10.4  ,14.0  ,2414783.      ,  309.8         ,   
Z     Tel ,M         ,10.4  ,13.2  ,2430215.      ,  230.2         ,   
RU    Tel ,M         ,10.1  ,13.8  ,2429684.      ,  271.          ,   
RV    Tel ,EA/DS     ,10.3  ,12.0  ,2418641.1876  ,    8.328078    ,10 
RY    Tel ,M         ,11.   ,15.   ,2414817.      ,  238.8         ,   
RZ    Tel ,M         ,12.5  ,16.1  ,2428340.      ,  375.          ,   
SS    Tel ,M         ,12.0  ,16.2  ,2428407.      ,  415.          ,   
SV    Tel ,M         ,10.2  ,13.2  ,2430045.      ,  225.5         ,   
SW    Tel ,M         ,11.0  ,14.   ,2424815.      ,  229.7         ,   
TU    Tel ,M         ,12.0  ,16.0  ,2423624.      ,  238.4         ,   
TX    Tel ,M         ,13.0  ,16.0  ,2423619.      ,  112.2         ,   
TY    Tel ,M         ,10.5  ,16.0  ,2417800.      ,  361.          ,   
VV    Tel ,M         ,11.9  ,14.8  ,2428024.      ,  135.          ,   
VZ    Tel ,SRA       ,11.2  ,13.8  ,2438190.      ,   63.66        ,   
AB    Tel ,EW/KW     ,13.4  ,14.10,2444441.7580  ,    0.32597     ,   
AW    Tel ,EB/SD:    ,12.8  ,13.6  ,2427978.599   ,    1.188672    ,   
AX    Tel ,CWA       ,13.0  ,14.2  ,2444916.0     ,    9.895       ,   
BI    Tel ,RRAB      ,11.6  ,13.3  ,2427987.502   ,    0.538363    ,20 
BK    Tel ,M         ,11.0  ,13.2  ,2427990.      ,  254.          ,   
BL    Tel ,EA/GS+SR  , 7.09 , 9.41 ,2434692.6     ,  778.6         ,10 
BM    Tel ,M         ,10.7  ,17.5  ,2428303.      ,  415.          ,   
BN    Tel ,M         ,10.4  ,14.5  ,2428764.      ,  269.5         ,   
BO    Tel ,CWA       ,12.08 ,13.4  ,2444172.49    ,   14.8454      ,42 
BP    Tel ,M         ,11.3  ,17.5  ,2427960.      ,  241.          ,   
BQ    Tel ,M         ,10.0  ,16.3  ,2428011.      ,  290.          ,   
BR    Tel ,RV:       , 9.5  ,11.4  ,2428686.      ,  142.          ,   
FG    Tel ,M:        ,13.9  ,15.8  ,2428420.      ,  357.          ,   
GY    Tel ,EB/KE:    ,11.5  ,12.7  ,2434247.460   ,    0.446100    ,   
GZ    Tel ,RRAB      ,12.1  ,13.4  ,2434236.446   ,    0.4553469   ,10 
HH    Tel ,RRAB      ,11.6  ,12.6  ,2428372.473   ,    0.4820801   ,20 
HN    Tel ,RRAB      ,12.2  ,13.2  ,2428006.390   ,    0.6003494   ,15 
HO    Tel ,EA/D      , 8.27 , 8.73 ,2442615.8350  ,    1.6131045   ,15 
HP    Tel ,RRAB      ,15.1  ,16.0  ,2436785.374   ,    0.536       ,15 
HR    Tel ,RRC:      ,14.3  ,14.8  ,2436788.417   ,    0.2811      ,   
HS    Tel ,RRAB      ,13.2  ,14.2  ,2436785.531   ,    0.697       ,   
HU    Tel ,RRAB      ,15.0  ,16.0  ,2436815.312   ,    0.5747      ,15 
HW    Tel ,RRAB      ,15.0  ,16.0  ,2436788.245   ,    1.          ,   
HY    Tel ,RRAB      ,12.1  ,13.0  ,2428722.414   ,    0.402503    ,13 
HZ    Tel ,RRAB      ,13.0  ,14.5  ,2436787.499   ,    0.459334    ,20 
