R     Tri ,M         , 5.4  ,12.6  ,2445215.      ,  266.9         ,44 
S     Tri ,M         , 8.9  ,12.4  ,2435850.      ,  241.6         ,48 
T     Tri ,M         ,10.0  ,14.   ,2438294.      ,  324.0         ,   
U     Tri ,RRAB      ,11.88 ,13.20 ,2419100.2275  ,    0.44725300  ,16 
V     Tri ,EB/SD     ,10.7  ,11.8  ,2424474.305   ,    0.5852057   ,   
X     Tri ,EA/SD     , 8.55 ,11.27 ,2442502.721   ,    0.9715352   ,18 
Z     Tri ,M         ,11.2  ,14.8  ,2432915.      ,  216.1         ,   
RS    Tri ,EA/DM     ,10.27 ,11.0  ,2437940.490   ,    1.9089234   ,22 
RT    Tri ,M         ,12.5  ,15.5  ,2432835.      ,  115.4         ,   
RU    Tri ,EB/D      ,11.6  ,12.3  ,2435722.36    ,    3.26856     ,26 
RV    Tri ,EA/SD     ,11.5  ,13.3  ,2446033.308   ,    0.75366648  ,14 
RW    Tri ,EA/WD+NL  ,12.50 ,15.61 ,2443512.6615  ,    0.231883276 ,07 
RX    Tri ,SRA       ,11.8  ,13.2  ,2439842.      ,  192.          ,   
ST    Tri ,EB/SD:    ,14.3  ,15.2  ,2439025.468   ,    0.4790536   ,   
SV    Tri ,RRAB      ,15.2  ,16.5  ,2441217.436   ,    0.4663857   ,17 
SW    Tri ,RRAB      ,14.6  ,16.1  ,2441597.427   ,    0.4631558   ,18 
SX    Tri ,RRAB      ,14.4  ,15.2  ,2441222.421   ,    0.7429594   ,20 
SY    Tri ,RRAB      ,15.2  ,17.3  ,2441619.307   ,    0.4661479   ,16 
SZ    Tri ,SR        ,13.6  ,16.5  ,2441210.      , 2454.          ,   
TZ    Tri ,ELL/RS    , 5.19 , 5.28,2443729.8     ,   14.732       ,   
UU    Tri ,RRC       ,14.6  ,15.3  ,2440153.384   ,    0.276536    ,40 
