R     Equ ,M         , 8.7  ,15.0  ,2442921.      ,  260.76        ,44 
S     Equ ,EA/SD     , 8.0  ,10.08 ,2442596.74348 ,    3.4360969   ,13 
T     Equ ,SRA       ,10.2  ,11.9  ,2425188.      ,  147.5         ,46 
V     Equ ,RRAB      ,14.5  ,15.7  ,2437198.385   ,    0.5250877   ,   
W     Equ ,EA/DM     ,11.8  ,12.4  ,2425070.400   ,    4.236855    ,17 
X     Equ ,RR        ,13.6  ,15.0  ,2436894.180   ,    0.4764435   ,   
Z     Equ ,M         ,11.8  ,16.0  ,2435690.      ,  211.6         ,   
RR    Equ ,M         ,10.8  ,15.7  ,2443716.      ,  271.3         ,   
RS    Equ ,SRA       ,14.0  ,16.3  ,2427660.      ,  260.          ,   
RT    Equ ,RRAB      ,12.5  ,14.1  ,2437872.416   ,    0.4447564   ,24 
RW    Equ ,RR        ,13.1  ,13.7  ,2424436.271   ,    0.3575315   ,   
RX    Equ ,RRAB      ,14.4  ,16.1  ,2437554.39    ,    0.636274    ,15 
RZ    Equ ,EA/SD     ,12.0  ,14.2  ,2437161.373   ,    1.96143     ,10 
SS    Equ ,RRAB      ,15.7  ,16.7  ,2437231.25    ,    0.605369    ,10 
ST    Equ ,RRAB      ,15.1  ,16.7  ,2437165.372   ,    0.4990      ,15 
SU    Equ ,EW/KE     ,16.1  ,16.6  ,2437233.364   ,    0.70184     ,   
SV    Equ ,EW/KE     , 9.25 , 9.45,2439382.427   ,    0.881       ,   
SW    Equ ,EW/KE     ,15.2  ,15.7  ,2437199.465   ,    0.83632     ,   
