    1   0.03   0.13 17 42  -28 50     4   4   0.002 4 5   0 S 17
    2   0.09  -0.61 17 45  -29 10    14  10   0.028 4 4   0 S 19
    3   0.33  -0.20 17 44  -28 45     2   2   0.001 4 5   0 S 20
    4   0.64  -1.04 17 48  -28 55     3   3   0.002 4 5   0 S 21
    5   0.84  18.64 16 38  -17 30    25  12   0.060 2 5 104
    6   1.05  20.01 16 34  -16 30    90   8   0.180 4 6   0
    7   1.27  21.09 16 31  -15 40    50  10   0.120 4 6   0 DG 144
    8   2.34  35.48 15 48  -05 50    45  12   0.106 3 6   0
    9   2.41   1.34 17 43  -26 10     5   5   0.006 4 4   0
   10   4.14  35.71 15 51  -04 33    60  30   0.384 4 6   0
   11   4.19  36.70 15 48  -03 54    15  15   0.038 4 5  87
   12   4.21  24.12 16 28  -11 40    65  20   0.894 3 4  89
   13   4.48  29.93 16 10  -07 55    35  15   0.085 3 6   0 S 14
   14   4.60   0.29 17 52  -24 50    60  40   0.613 3 4   0 S 22
   15   4.67  36.70 15 49  -03 36    20  12   0.074 4 5  87
   16   4.97  24.03 16 30  -11 10   150  30   0.278 3 5  89
   17   5.01  30.90 16 08  -06 58    30  10   0.049 3 5   0 S 24
   18   5.32  37.42 15 48  -02 45    28  10   0.053 3 5  87
   19   5.40  37.47 15 48  -02 40   140  90   2.430 3 6  87
   20   5.46  26.22 16 24  -09 30    50  20   0.187 3 4  89
   21   5.79  25.82 16 26  -09 30    18   6   0.018 3 3  89
   22   5.86  25.87 16 26  -09 25    40  20   0.130 3 5  89
   23   5.88  38.40 15 46  -01 48    30   8   0.060 3 5  87
   24   6.00  24.73 16 30  -10 00   480 240  23.020 3 6  89 S 27
   25   6.06  -1.23 18 01  -24 20    45  30   0.289 2 1 105 NGC 6523
   26   6.18  -1.43 18 02  -24 20    90  40   0.468 3 2 105
   27   6.99  -0.17 17 59  -23 00    20  20   0.085 3 1   0 NGC 6514
   28   7.03  -2.26 18 07  -24 00    15  10   0.039 3 1 106 NGC 6559
   29   7.03  -2.26 18 07  -24 00    45  45   0.254 3 3 106 S 29
   30   7.08  27.91 16 22  -07 20   140  10   0.335 3 4  89
   31   7.28  -1.59 18 05  -23 27     3   3   0.002 1 6   0 IC 4681
   32   7.33  25.62 16 30  -08 30    65  20   0.331 3 4  89
   33   7.35  -2.33 18 08  -23 45    20   5   0.025 3 1 106 IC 1274
   34   7.39  -1.79 18 06  -23 27     3   2   0.002 1 3   0 IC 4684
