i0	document-new
i1	document-open
i2	document-save-as
i3	document-print
i4	window-list
i5	window-split-top-bottom
i6	view-zoom-in
i7	view-zoom-out
i8	view-FOV
i9	document-print-preview
i10	configure
i11	application-exit
i12	help
i13	document-close
i14	window-split-left-right
i15	chart-flip-horizontal
i16	chart-flip-horizontal-off
i17	chart-flip-vertical
i18	chart-flip-vertical-off
i19	edit-undo
i20	edit-redo
i21	chart-rotate-right
i22	chart-rotate-left
i23	show-custom-objects
i24	show-eq-grid
i25	show-grid
i26	view-varobs
i27	view-trajectories-simulation
i28	view-connect-SAMP
i29	view-disconnect-SAMP
i30	view-SAMP-status
i31	view-SAMP-setup
i32	FOV-bar
i33	view-observer-tools
i34	chart-style
i35	sky-color
i36	document-save-image
i37	go-east
i38	go-north
i39	go-south
i40	go-west
i41	go-zenith
i42	chart-FOV-allsky
i43	animation-step-back
i44	animation-step-forward
i45	set-date-time
i46	view-object-list
i47	document-print-settings
i48	telescope-connect-off
i49	telescope-connect-on
i50	telescope-move
i51	telescope-synch
i52	show-stars-more
i53	show-stars-less
i54	show-dso-more
i55	show-dso-less
i56	show-stars
i57	show-dso
i58	show-images
i59	show-dso-lines
i60	show-asteroids
i61	show-comets
i62	show-planets
i63	show-milkyway
i64	show-labels
i65	show-constellation-lines
i66	show-constellations-boundaries
i67	show-galactic-equator
i68	show-ecliptic
i69	show-fields
i70	show-below-horizon
i71	chart-eq-coords
i72	chart-az-coords
i73	chart-ec-coords
i74	chart-gl-coords
i75	view-calendar
i76	edit-find
i77	show-fits-image
i78	view-position
i79	window-link
i80	anchor
i81	get-dss-images
i82	night-vision
i83	edit-label
i84	animation-now
i85	set-observer
i86	show-fits-image-flashing
i87	window-maximize
i88	animation-forward
i89	show-virtual-observatory
i90	view-ruler
i91	compass
i92	chart-rotate-180
i93	chart-rotate-180-off
i94	view-solar-system-info
i95	telescope-stop-move
i96	mouse-zoom
i97	mouse-move
i98	view-observing-list
i99	stars-nebulae-limits
i100	divider
i101	separator
i102	search-box
i103	animation-edit-time-increment
i104	animation-edit-time-units
i105	edit-copy
i106	view-fullscreen
i107	view-server-info
i108	view-clock
i109	view-image-list
i110	telescope-follow
i111	telescope-control-panel
i112	show-chart-info
i113	show-chart-legend
i114	chart-rotate-reset
i115	configure-all
i116	configure-save
i117	chart-style-line
i118	chart-style-photo
i119	chart-style-parametric
i120	animation-back
i121	window-close
i122	window-list-reverse
i123	update-comets
i124	update-asteroids
i125	update-artificial-satellites
i126	view-mosaic
i127	update-grs
i128	update-deltat
i129	set-display
i130	set-chart
i131	set-catalog
i132	set-general
i133	set-internet
i134	lock-magnitude
