# "IAU Catalog of Star Names (IAU-CSN)"
# IAU Division C Working Group on Star Names (WGSN)
# https://www.iau.org/science/scientific_bodies/working_groups/280/
# WGSN Chair: Eric Mamajek. Email questions or comments to: IAUWGSN@gmail.com
# Last updated 2017-11-19
#
# For use of the contents of the data of this file, we encourage users
# to refer to the (identical) official IAU version of the data at:
# https://www.iau.org/public/themes/naming_stars/. All IAU-produced
# products (Images, Videos, Texts) are released under Creative Commons
# Attribution (i.e. free to use in all perpetuity, world-wide, as long
# as the source is mentioned).
#
# Name            Designation  ID    Con #    WDS_J       Vmag    HIP#    HD#  RA(J2000) Dec(J2000) Approved   Notes
Acamar            HR 897       tet01 Eri A    02583-4018  2.88   13847  18622  44.565311 -40.304672 2016-07-20 * 
Achernar          HR 472       alf   Eri -    -           0.45    7588  10144  24.428523 -57.236753 2016-06-30 
Achird            HR 219       eta   Cas A    00491+5749  3.46    3821   4614  12.276213  57.815187 2017-09-05 
Acrab             HR 5984      bet   Sco Aa   16054-1948  2.56   78820 144217 241.359300 -19.805453 2016-08-21 
Acrux             HR 4730      alf   Cru Aa   12266-6306  1.33   60718 108248 186.649563 -63.099093 2016-07-20 
Acubens           HR 3572      alf   Cnc Aa   08585+1151  4.26   44066  76756 134.621761  11.857700 2016-07-20
Adhafera          HR 4031      zet   Leo Aa   10167+2325  3.43   50335  89025 154.172567  23.417312 2016-07-20 
Adhara            HR 2618      eps   CMa A    06586-2858  1.50   33579  52089 104.656453 -28.972086 2016-08-21 
Adhil             HR 390       ksi   And -    -           4.87    6411   8207  20.585080  45.528778 2016-08-21 
Ain               HR 1409      eps   Tau Aa1  04286+1911  3.53   20889  28305  67.154163  19.180435 2015-12-15 
Ainalrami         HR 7116      nu01  Sgr A    18542-2245  4.86   92761 174974 283.542404 -22.744840 2017-09-05  
Aladfar           HR 7298      eta   Lyr Aa   19138+3909  4.43   94481 180163 288.439531  39.145970 2017-09-05 
Albaldah          HR 7264      pi    Sgr A    19098-2101  2.88   94141 178524 287.440971 -21.023615 2017-09-05 
Albali            HR 7950      eps   Aqr -    -           3.78  102618 198001 311.918969  -9.495775 2016-09-12 
Albireo           HR 7417      bet   Cyg Aa   19307+2758  3.37   95947 183912 292.680351  27.959692 2016-07-20 
Alchiba           HR 4623      alf   Crv -    -           4.02   59199 105452 182.103402 -24.728875 2016-09-12 
Alcor             HR 5062      80    UMa Ca   13239+5456  3.99   65477 116842 201.306403  54.987954 2016-06-30 *
Alcyone           HR 1165      eta   Tau A    03475+2406  2.85   17702  23630  56.871152  24.105136 2016-06-30 
Aldebaran         HR 1457      alf   Tau -    04359+1631  0.87   21421  29139  68.980163  16.509302 2016-06-30 
Alderamin         HR 8162      alf   Cep -    21186+6235  2.45  105199 203280 319.644885  62.585574 2016-07-20 
Aldhanab          HR 8353      gam   Gru -    -           3.00  108085 207971 328.482192 -37.364855 2017-09-05 
Aldhibah          HR 6396      zet   Dra A    17088+6543  3.17   83895 155763 257.196650  65.714684 2017-09-05 
