    CJ95O010  1997 03 29.5083  0.925416  0.994913  130.7332  283.3050   89.0159  20190514  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.4503  2.590272  0.313578  333.2847   40.0514    2.6008  20190514  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK   1615
    PJ97B010  2022 03 28.6849  2.051403  0.760216  183.4139  328.9199   12.3447  20190514  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC 30063
    PJ98V24S  2018 01 18.5487  3.437795  0.241587  244.8510  159.0361    5.0228  20190514  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 75703
    PJ99R28O  2019 06 26.0188  1.124468  0.671796  231.2795  137.8848    7.5650  20190514  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK    731
    PJ99XC0N  2017 06 12.0761  3.297744  0.210916  161.9842  285.2968    5.0297  20190514  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 75704
    PK00R020  2019 06 17.2999  1.623393  0.531374  176.4618  160.3103   11.6835  20190514  18.0  4.0  P/2000 R2 (LINEAR)                                       NK    744
    PK01B50B  2014 09  2.9167  2.372884  0.586547  193.6619  351.2023   10.3540  20190514  13.0  4.0  P/2001 BB50 (LINEAR-NEAT)                                MPC 75704
    PK01H050  2015 10 21.3289  2.441844  0.599522  224.8515  328.6967    8.3729  20190514  12.0  4.0  P/2001 H5 (NEAT)                                         MPC 43019
    PK01Q060  2024 03  1.1158  1.409030  0.822580   43.0209   22.0486   56.8751  20190514  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC 75704
    PK02E57J  2018 06 18.6765  2.627833  0.593443  167.0706  330.4230    4.9763  20190514  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC 47727
    PK02T050  2021 12 16.5393  3.936074  0.437238  326.8715  123.0972   30.8559  20190514   8.0  4.0  P/2002 T5 (LINEAR)                                       MPC109588
    PK02T060  2024 07 26.4505  3.373141  0.559245  219.1145  207.1094   10.8499  20190514  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC109588
